"Capital Formation, at Constant 2000 Prices"

"Indicator";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Capital Formation at Constant 2000 Prices Growth Rate (%)";2.7;11.6;11.0;-14.8;-13.1;1.1;24.0;15.7;-0.4;-2.2;3.0;-15.1;-0.5;23.4;-8.7;31.6;2.8;-4.3;27.9;4.2;18.4;24.6;9.4;13.2
"Capital Formation at Constant 2000 Prices As % of GDP";23.6;24.9;26.2;22.5;19.0;18.4;22.1;24.7;23.4;21.5;21.1;17.0;15.9;18.8;17.0;20.8;20.6;18.5;22.1;21.7;24.2;28.2;28.9;30.8
"Capital Formation at Constant 2000 Prices (PhP million)";708977;791164;878162;748344;650557;657691;815374;943086;938864;917875;945024;802113;798328;984810;899333;1183650;1216884;1164718;1490196;1553029;1838432;2290308;2505449;2835865
"Gross Domestic Product at Constant 2000 Prices (PhP million)";3005541;3181241;3346200;3326902;3429434;3580714;3684340;3818667;4008469;4276941;4481279;4716231;5028288;5237101;5297240;5701539;5910201;6305229;6750631;7165478;7600175;8123375;8665818;9206889
