"Manufacturing Wage Index"

"Indicator";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Manufacturing Wage Index, Nominal Terms (2006=100)";..;..;..;..;..;..;85.1;86.5;90.0;90.9;93.4;100.0;103.8;108.2;112.4;116.3;118.1;123.9;129.0;130.3;134.2;142.6;147.7;156.5
"Average Daily Basic Pay in Manufacturing (PhP)";..;..;..;..;..;..;226.17;228.98;237.42;239.36;246.59;264.99;277.19;289.56;299.93;310.57;316.49;330.03;343.97;346.74;358.71;383.65;394.15;418.50
