"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020"

"Number of Occupants";"Geographic Location";"Total";"Less than 5 sq.m/ Less than 54 sq.ft.";"5 - 9 sq.m./ 54 - 107 sq.ft.";"10 - 19 sq.m./ 108 - 209 sq.ft.";"20 - 29 sq.m./ 210 - 317 sq.ft.";"30 - 49 sq.m./ 318 - 532 sq.ft.";"50 - 69 sq.m./ 533 - 748 sq.ft.";"70 - 89 sq.m./ 749 - 963 sq.ft.";"90 - 119 sq.m./ 964 - 1,286 sq.ft.";"120 - 149 sq.m./ 1,287 - 1,609 sq.ft.";"150 - 199 sq.m./ 1,610 - 2,147 sq.ft.";"200 sq.m. and over/ 2,148 sq.ft. and over";"Not Reported";"Not applicable"
"Seven Occupants";"....Capiz";9064;105;569;1814;1994;1531;1053;616;560;378;225;211;8;0
"Seven Occupants";"....Guimaras";2200;17;206;501;529;406;228;122;87;46;36;22;0;0
"Seven Occupants";"....Iloilo *";26067;377;1550;4412;4774;4482;3223;2297;2021;1306;719;869;35;2
"Seven Occupants";"....Negros Occidental *";32056;739;3346;8285;6288;4454;3073;2221;1518;1002;590;538;2;0
"Seven Occupants";"....City of Bacolod";7674;71;227;567;848;1189;1653;1149;745;499;320;402;4;0
"Seven Occupants";"....City of Iloilo";6628;18;148;450;659;1089;1401;881;710;447;368;435;20;2
"Seven Occupants";"..REGION VII (CENTRAL VISAYAS)";103590;3150;10629;23447;19067;16699;11332;6386;5078;3130;2141;2480;49;2
"Seven Occupants";"....Bohol";20521;545;1897;4313;3878;3386;2111;1379;1159;708;542;580;22;1
"Seven Occupants";"....Cebu *";42484;1641;5088;10301;7376;6302;4393;2442;2033;1197;781;917;13;0
"Seven Occupants";"....Negros Oriental";17869;589;2289;5437;3449;2260;1323;819;640;442;288;326;7;0
"Seven Occupants";"....Siquijor";1308;2;16;51;136;331;329;248;77;69;32;16;1;0
"Seven Occupants";"....City of Cebu";12589;207;760;2022;2590;2490;1794;805;708;442;326;440;4;1
"Seven Occupants";"....City of Lapu-Lapu (Opon)";5660;118;369;833;992;1234;936;480;312;174;108;104;0;0
"Seven Occupants";"....City of Mandaue";3159;48;210;490;646;696;446;213;149;98;64;97;2;0
"Seven Occupants";"..REGION VIII (EASTERN VISAYAS)";65607;1066;3898;10419;13210;13790;8705;5416;3778;2396;1498;1421;9;1
"Seven Occupants";"....Biliran";2519;3;48;180;423;702;483;267;190;119;58;46;0;0
"Seven Occupants";"....Eastern Samar";6676;22;93;488;1148;1757;1341;798;492;289;147;100;1;0
"Seven Occupants";"....Leyte *";23784;366;1716;4560;4994;4141;2817;1811;1265;844;564;705;1;0
"Seven Occupants";"....Northern Samar";10337;529;1341;1966;2134;2170;902;502;345;195;139;114;0;0
"Seven Occupants";"....Samar (Western Samar)";12097;15;125;1608;2889;2958;1832;1157;748;421;232;104;7;1
"Seven Occupants";"....Southern Leyte";6380;102;463;1176;1135;1181;765;479;402;320;184;173;0;0
"Seven Occupants";"....City of Tacloban";3814;29;112;441;487;881;565;402;336;208;174;179;0;0
"Seven Occupants";"..REGION IX (ZAMBOANGA PENINSULA)";50770;739;3060;8835;10075;9379;6947;4138;3468;1925;1067;1084;52;1
"Seven Occupants";"....Zamboanga del Norte";13923;478;1871;4194;2745;1784;955;614;496;340;195;242;9;0
"Seven Occupants";"....Zamboanga del Sur *";15131;47;310;1493;3847;4031;2709;1161;864;350;209;107;3;0
"Seven Occupants";"....Zamboanga Sibugay";8208;59;439;2196;2224;1585;755;376;237;158;85;84;10;0
"Seven Occupants";"....City of Isabela **";1857;5;21;196;367;334;291;230;180;105;63;62;3;0
"Seven Occupants";"....City of Zamboanga";11651;150;419;756;892;1645;2237;1757;1691;972;515;589;27;1
"Seven Occupants";"..REGION X (NORTHERN MINDANAO)";60588;1050;4706;11594;11576;10569;7429;4888;3668;2298;1398;1390;22;0
"Seven Occupants";"....Bukidnon";19848;599;2620;4999;3770;2492;1623;1177;928;674;460;493;13;0
"Seven Occupants";"....Camiguin";1315;17;58;132;162;229;198;165;145;86;55;68;0;0
"Seven Occupants";"....Lanao del Norte *";8221;38;360;1107;1667;1644;1275;848;568;376;193;144;1;0
"Seven Occupants";"....Misamis Occidental";7824;224;877;1823;1553;1124;702;463;415;268;175;198;2;0
"Seven Occupants";"....Misamis Oriental *";11859;86;471;2360;2705;2736;1478;821;572;308;171;148;3;0
"Seven Occupants";"....City of Cagayan de Oro";7126;48;169;681;1160;1519;1314;899;632;334;187;180;3;0
"Seven Occupants";"....City of Iligan";4395;38;151;492;559;825;839;515;408;252;157;159;0;0
"Seven Occupants";"..REGION XI (DAVAO REGION)";57850;1156;4999;12222;10923;9271;6812;4385;3777;2053;1249;976;25;2
"Seven Occupants";"....Davao de Oro (Compostela Valley)";9650;232;1136;2778;2419;1408;664;349;316;164;82;96;5;1
"Seven Occupants";"....Davao del Norte";13005;217;762;2463;2582;2400;1692;1076;885;438;297;188;5;0
"Seven Occupants";"....Davao del Sur *";5997;197;828;1626;1093;729;491;378;269;161;113;109;3;0
"Seven Occupants";"....Davao Occidental";4118;53;530;1462;1069;624;205;81;38;41;7;6;2;0
"Seven Occupants";"....Davao Oriental";7098;77;514;1648;1535;1126;712;502;451;293;140;95;5;0
"Seven Occupants";"....City of Davao";17982;380;1229;2245;2225;2984;3048;1999;1818;956;610;482;5;1
"Seven Occupants";"..REGION XII (SOCCSKSARGEN)";51830;772;4316;11692;12673;9622;5597;3095;1937;1066;578;464;9;9
"Seven Occupants";"....Cotabato (North Cotabato)";15928;562;2332;4731;3509;2026;1042;659;424;304;172;157;2;8
"Seven Occupants";"....Sarangani";6946;97;880;2372;1788;932;403;216;112;91;32;22;1;0
"Seven Occupants";"....South Cotabato *";10556;43;447;2044;3098;2454;1168;558;376;178;111;77;1;1
"Seven Occupants";"....Sultan Kudarat";10641;39;369;1511;2759;2564;1669;834;431;242;122;96;5;0
"Seven Occupants";"....City of General Santos (Dadiangas)";7759;31;288;1034;1519;1646;1315;828;594;251;141;112;0;0
"Seven Occupants";"..REGION XIII (CARAGA)";36872;526;2181;6127;7735;7607;4989;2930;2024;1228;765;744;16;0
"Seven Occupants";"....Agusan del Norte *";5126;152;655;1291;918;673;391;324;272;171;123;151;5;0
"Seven Occupants";"....Agusan del Sur";9884;31;217;1680;2851;2498;1365;557;332;184;103;62;4;0
"Seven Occupants";"....Dinagat Islands";1718;87;212;442;352;327;88;74;31;40;30;34;1;0
"Seven Occupants";"....Surigao del Norte";7060;136;631;1355;1340;1246;817;557;392;242;188;155;1;0
"Seven Occupants";"....Surigao del Sur";8583;29;178;768;1677;2219;1683;868;552;302;162;144;1;0
"Seven Occupants";"....City of Butuan";4501;91;288;591;597;644;645;550;445;289;159;198;4;0
"Seven Occupants";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";58314;649;2134;7224;11957;11227;9223;6470;4057;2274;1193;961;938;7
"Seven Occupants";"....Basilan";5874;39;197;541;1261;1540;990;685;376;124;61;37;22;1
"Seven Occupants";"....Lanao del Sur";11801;123;396;916;1576;2004;1889;1844;1312;889;441;359;48;4
"Seven Occupants";"....Maguindanao";22489;234;818;3099;5305;4499;3752;2141;1194;673;388;352;32;2
"Seven Occupants";"....Sulu";12199;138;453;1997;2703;2186;1495;979;756;399;191;67;835;0
"Seven Occupants";"....Tawi-Tawi";3189;11;65;442;883;677;442;225;206;117;76;44;1;0
"Seven Occupants";"....Eight (8) Area Clusters ***";2762;104;205;229;229;321;655;596;213;72;36;102;0;0
"Eight Occupants";"PHILIPPINES";712091;11341;40255;103185;129117;146039;101107;64759;47943;29202;17664;18926;2518;35
"Eight Occupants";"..NATIONAL CAPITAL REGION (NCR)";70720;1049;3442;9645;14735;15752;8574;4710;3471;2601;2135;3175;1421;10
"Eight Occupants";"....City of Manila";9760;214;821;1632;2121;2025;1066;586;454;319;243;171;103;5
"Eight Occupants";"....City of Mandaluyong";2177;33;146;414;518;424;255;101;59;39;33;49;106;0
"Eight Occupants";"....City of Marikina";3163;23;60;288;799;622;407;245;218;163;103;234;1;0
"Eight Occupants";"....City of Pasig";4164;36;148;587;953;1071;461;241;165;127;104;179;92;0
"Eight Occupants";"....Quezon City";18332;323;881;2403;3552;4309;2179;1104;798;673;638;1213;259;0
"Eight Occupants";"....City of San Juan";873;6;27;89;148;123;95;58;51;36;39;62;138;1
"Eight Occupants";"....City of Caloocan";8026;114;289;779;1420;1931;1317;877;597;371;168;160;3;0
"Eight Occupants";"....City of Malabon";1758;26;56;275;478;384;244;143;61;34;28;25;2;2
"Eight Occupants";"....City of Navotas";965;50;112;238;179;147;109;84;20;11;11;3;0;1
"Eight Occupants";"....City of Valenzuela";2433;34;78;335;655;553;297;136;106;91;57;89;2;0
"Eight Occupants";"....City of Las Piñas";3105;28;111;391;687;686;354;189;156;148;149;206;0;0
"Eight Occupants";"....City of Makati";3330;27;106;341;559;647;380;188;154;126;87;194;521;0
"Eight Occupants";"....City of Muntinlupa";2432;15;81;244;477;651;240;139;111;102;130;168;74;0
"Eight Occupants";"....City of Parañaque";4152;72;258;650;864;697;394;274;213;190;216;316;8;0
"Eight Occupants";"....Pasay City";2063;11;111;384;475;423;221;112;106;47;54;51;67;1
"Eight Occupants";"....City of Taguig";3571;37;151;536;751;943;507;202;175;110;67;47;45;0
"Eight Occupants";"....Pateros";416;0;6;59;99;116;48;31;27;14;8;8;0;0
"Eight Occupants";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";13687;17;133;683;2113;3005;2636;1769;1383;856;557;534;1;0
"Eight Occupants";"....Abra";1983;4;6;25;264;503;413;284;203;146;67;68;0;0
"Eight Occupants";"....Apayao";981;6;20;111;228;273;134;84;52;30;25;18;0;0
"Eight Occupants";"....Benguet *";3204;2;34;161;438;645;611;406;367;217;167;156;0;0
"Eight Occupants";"....Ifugao";1834;1;34;184;354;394;346;207;130;90;51;42;1;0
"Eight Occupants";"....Kalinga";2496;0;4;53;389;602;541;371;273;151;61;51;0;0
"Eight Occupants";"....Mountain Province";1429;3;18;110;320;344;265;172;97;50;32;18;0;0
"Eight Occupants";"....City of Baguio";1760;1;17;39;120;244;326;245;261;172;154;181;0;0
"Eight Occupants";"..REGION I (ILOCOS REGION)";31483;389;1290;2542;4403;6506;5825;4135;2946;1631;926;865;25;0
"Eight Occupants";"....Ilocos Norte";3465;15;60;143;465;874;665;455;368;185;119;115;1;0
"Eight Occupants";"....Ilocos Sur";4551;110;353;453;570;719;632;540;451;303;183;237;0;0
"Eight Occupants";"....La Union";4814;9;80;314;682;1098;944;656;445;280;178;127;1;0
"Eight Occupants";"....Pangasinan";18653;255;797;1632;2686;3815;3584;2484;1682;863;446;386;23;0
"Eight Occupants";"..REGION II (CAGAYAN VALLEY)";21481;196;782;1979;3703;5114;3477;2488;1724;1024;489;503;2;0
"Eight Occupants";"....Batanes";79;7;7;6;9;18;9;7;8;1;5;2;0;0
"Eight Occupants";"....Cagayan";8450;95;363;878;1604;2012;1225;882;662;376;172;180;1;0
"Eight Occupants";"....Isabela";8771;60;271;732;1417;2156;1471;1107;705;431;220;200;1;0
"Eight Occupants";"....Nueva Vizcaya";2818;34;140;332;464;515;448;300;234;158;78;115;0;0
"Eight Occupants";"....Quirino";1363;0;1;31;209;413;324;192;115;58;14;6;0;0
"Eight Occupants";"..REGION III (CENTRAL LUZON)";69371;855;2189;5743;9570;15367;11721;8321;6769;3861;2200;2636;133;6
"Eight Occupants";"....Aurora";1562;5;25;168;285;365;260;185;137;60;41;29;2;0
"Eight Occupants";"....Bataan";5104;45;161;447;749;992;915;622;476;330;172;192;3;0
"Eight Occupants";"....Bulacan";18396;230;509;1396;2422;5666;3054;1767;1321;855;506;591;75;4
"Eight Occupants";"....Nueva Ecija";11887;130;550;1442;2221;2270;1721;1328;938;626;299;355;7;0
"Eight Occupants";"....Pampanga *";15412;288;515;1122;1678;2615;2443;2088;2157;1070;596;821;19;0
"Eight Occupants";"....Tarlac";9512;78;329;750;1232;1821;1795;1286;956;551;335;360;19;0
"Eight Occupants";"....Zambales *";3790;11;60;282;606;874;782;509;348;156;94;64;3;1
"Eight Occupants";"....City of Angeles";2130;66;23;84;180;435;356;299;271;136;97;177;5;1
"Eight Occupants";"....City of Olongapo";1578;2;17;52;197;329;395;237;165;77;60;47;0;0
"Eight Occupants";"..REGION IV-A (CALABARZON)";92309;1042;3044;8270;12469;24612;16221;9747;7341;4396;2576;2546;39;6
"Eight Occupants";"....Batangas";17229;380;926;2076;2620;3224;2698;1830;1535;943;506;485;3;3
"Eight Occupants";"....Cavite";23614;112;402;1197;2552;7202;4591;2900;2198;1215;602;614;26;3
"Eight Occupants";"....Laguna";15669;155;385;965;1693;4449;2858;1887;1365;826;578;504;4;0
"Eight Occupants";"....Quezon *";12233;157;732;2467;2459;2420;1768;920;643;331;179;153;4;0
"Eight Occupants";"....Rizal";21847;236;566;1466;2921;6822;3925;2022;1449;1014;673;751;2;0
"Eight Occupants";"....City of Lucena";1717;2;33;99;224;495;381;188;151;67;38;39;0;0
"Eight Occupants";"..MIMAROPA REGION";22705;1017;2886;5278;4699;3596;1998;1212;826;580;325;277;11;0
"Eight Occupants";"....Marinduque";1683;87;232;425;272;229;132;79;92;62;33;33;7;0
"Eight Occupants";"....Occidental Mindoro";3668;95;452;881;843;594;306;182;112;95;63;43;2;0
"Eight Occupants";"....Oriental Mindoro";6857;139;590;1650;1553;1226;689;419;260;179;73;79;0;0
"Eight Occupants";"....Palawan *";6881;603;1311;1669;1355;908;429;240;150;100;64;51;1;0
"Eight Occupants";"....Romblon";2174;21;155;437;465;421;260;182;103;64;39;26;1;0
"Eight Occupants";"....City of Puerto Princesa";1442;72;146;216;211;218;182;110;109;80;53;45;0;0
"Eight Occupants";"..REGION V (BICOL REGION)";55680;1227;4403;9340;12277;11953;6274;3964;2791;1643;946;832;29;1
"Eight Occupants";"....Albay";11959;448;1260;1829;2283;2364;1337;903;686;396;234;214;5;0
"Eight Occupants";"....Camarines Norte";5215;15;135;831;1080;1201;734;513;328;207;99;68;4;0
"Eight Occupants";"....Camarines Sur";20085;409;1531;3195;4495;4645;2356;1404;878;536;331;292;12;1
"Eight Occupants";"....Catanduanes";2648;3;38;216;477;770;415;240;252;130;61;43;3;0
"Eight Occupants";"....Masbate";8218;231;993;2206;1995;1209;565;385;257;156;116;103;2;0
"Eight Occupants";"....Sorsogon";7555;121;446;1063;1947;1764;867;519;390;218;105;112;3;0
"Eight Occupants";"..REGION VI (WESTERN VISAYAS)";54463;752;3457;9791;10079;8996;7222;4701;3757;2409;1514;1732;52;1
"Eight Occupants";"....Aklan";4249;6;62;408;773;1039;771;436;320;173;132;127;2;0
"Eight Occupants";"....Antique";4759;51;339;1006;1146;752;508;312;269;151;111;114;0;0
"Eight Occupants";"....Capiz";4701;54;287;886;996;778;589;365;303;195;131;114;3;0
"Eight Occupants";"....Guimaras";1216;11;85;260;290;244;145;80;46;30;10;15;0;0
"Eight Occupants";"....Iloilo *";14725;198;798;2315;2610;2582;1958;1273;1196;772;452;534;36;1
"Eight Occupants";"....Negros Occidental *";17139;382;1719;4379;3424;2348;1604;1240;812;584;316;329;2;0
"Eight Occupants";"....City of Bacolod";4002;45;112;281;472;601;885;551;403;251;171;229;1;0
"Eight Occupants";"....City of Iloilo";3672;5;55;256;368;652;762;444;408;253;191;270;8;0
"Eight Occupants";"..REGION VII (CENTRAL VISAYAS)";56830;1596;5382;12844;10485;9117;6319;3619;2905;1861;1216;1452;34;0
"Eight Occupants";"....Bohol";12065;285;1007;2485;2244;1945;1279;860;729;454;329;432;16;0
"Eight Occupants";"....Cebu *";23503;841;2616;5707;4193;3474;2419;1373;1172;764;439;496;9;0
"Eight Occupants";"....Negros Oriental";9802;270;1092;2946;1935;1293;757;480;385;260;174;205;5;0
"Eight Occupants";"....Siquijor";762;3;13;24;65;178;210;150;47;40;18;14;0;0
"Eight Occupants";"....City of Cebu";6280;122;360;1027;1209;1254;959;422;348;203;152;220;4;0
"Eight Occupants";"....City of Lapu-Lapu (Opon)";2699;51;174;398;504;572;432;231;148;87;55;47;0;0
"Eight Occupants";"....City of Mandaue";1719;24;120;257;335;401;263;103;76;53;49;38;0;0
"Eight Occupants";"..REGION VIII (EASTERN VISAYAS)";38190;591;2091;5669;7375;8105;5404;3418;2309;1458;911;844;14;1
"Eight Occupants";"....Biliran";1451;2;32;111;235;376;296;173;110;57;28;31;0;0
"Eight Occupants";"....Eastern Samar";3945;11;62;259;616;1009;836;535;288;169;85;73;2;0
"Eight Occupants";"....Leyte *";13168;175;806;2436;2643;2366;1574;1068;802;554;353;385;6;0
"Eight Occupants";"....Northern Samar";6626;330;850;1173;1333;1433;647;349;208;142;87;72;2;0
"Eight Occupants";"....Samar (Western Samar)";7193;8;54;852;1639;1768;1213;739;479;234;132;70;4;1
"Eight Occupants";"....Southern Leyte";3597;46;223;613;642;669;489;293;227;182;113;100;0;0
"Eight Occupants";"....City of Tacloban";2210;19;64;225;267;484;349;261;195;120;113;113;0;0
"Eight Occupants";"..REGION IX (ZAMBOANGA PENINSULA)";29312;375;1637;4766;5606;5392;4213;2701;2060;1273;625;636;26;2
"Eight Occupants";"....Zamboanga del Norte";7960;235;973;2280;1647;1110;585;384;310;191;123;118;4;0
"Eight Occupants";"....Zamboanga del Sur *";8962;23;160;776;1888;2241;1863;876;570;351;117;95;1;1
"Eight Occupants";"....Zamboanga Sibugay";4947;36;273;1216;1381;993;483;245;140;75;52;44;9;0
"Eight Occupants";"....City of Isabela **";1018;3;9;97;202;173;156;140;107;59;38;34;0;0
"Eight Occupants";"....City of Zamboanga";6425;78;222;397;488;875;1126;1056;933;597;295;345;12;1
"Eight Occupants";"..REGION X (NORTHERN MINDANAO)";33246;562;2437;6130;6253;5752;4231;2797;2115;1272;855;831;11;0
"Eight Occupants";"....Bukidnon";11052;347;1447;2674;2044;1411;931;684;523;382;287;317;5;0
"Eight Occupants";"....Camiguin";721;1;16;88;102;144;102;65;70;55;36;42;0;0
"Eight Occupants";"....Lanao del Norte *";4783;21;144;601;923;979;780;554;364;221;123;73;0;0
"Eight Occupants";"....Misamis Occidental";4320;116;451;1020;901;612;394;237;245;139;100;102;3;0
"Eight Occupants";"....Misamis Oriental *";6483;46;229;1199;1438;1471;898;478;345;177;113;87;2;0
"Eight Occupants";"....City of Cagayan de Oro";3587;17;85;337;564;710;696;481;335;158;104;100;0;0
"Eight Occupants";"....City of Iligan";2300;14;65;211;281;425;430;298;233;140;92;110;1;0
"Eight Occupants";"..REGION XI (DAVAO REGION)";28825;572;2433;5866;5404;4670;3483;2184;1826;1106;664;603;13;1
"Eight Occupants";"....Davao de Oro (Compostela Valley)";4827;110;546;1329;1167;754;379;170;143;96;67;64;2;0
"Eight Occupants";"....Davao del Norte";6821;100;393;1205;1294;1297;939;586;458;260;152;134;3;0
"Eight Occupants";"....Davao del Sur *";2858;82;379;744;542;350;249;170;131;106;51;51;2;1
"Eight Occupants";"....Davao Occidental";2028;38;240;660;530;332;120;43;28;15;10;9;3;0
"Eight Occupants";"....Davao Oriental";3992;47;273;900;833;611;409;287;289;190;83;68;2;0
"Eight Occupants";"....City of Davao";8299;195;602;1028;1038;1326;1387;928;777;439;301;277;1;0
"Eight Occupants";"..REGION XII (SOCCSKSARGEN)";26853;374;2038;5915;6334;4965;3083;1887;1067;589;309;284;5;3
"Eight Occupants";"....Cotabato (North Cotabato)";8304;253;1121;2504;1865;1069;606;351;222;127;87;96;1;2
"Eight Occupants";"....Sarangani";3734;56;435;1242;925;535;218;154;78;52;20;19;0;0
"Eight Occupants";"....South Cotabato *";5423;19;201;985;1527;1262;679;337;200;102;55;55;1;0
"Eight Occupants";"....Sultan Kudarat";5479;21;158;703;1343;1286;917;520;259;152;73;45;2;0
"Eight Occupants";"....City of General Santos (Dadiangas)";3913;25;123;481;674;813;663;525;308;156;74;69;1;1
"Eight Occupants";"..REGION XIII (CARAGA)";21846;312;1190;3450;4470;4413;3138;1887;1309;757;462;451;6;1
"Eight Occupants";"....Agusan del Norte *";2980;86;362;746;552;398;235;169;166;88;75;101;2;0
"Eight Occupants";"....Agusan del Sur";5994;14;123;1006;1688;1469;851;380;214;131;76;40;1;1
"Eight Occupants";"....Dinagat Islands";1117;64;146;264;223;208;67;43;32;21;25;23;1;0
"Eight Occupants";"....Surigao del Norte";3990;80;298;702;731;698;499;355;257;159;99;112;0;0
"Eight Occupants";"....Surigao del Sur";5070;19;88;424;902;1253;1074;608;365;178;86;73;0;0
"Eight Occupants";"....City of Butuan";2695;49;173;308;374;387;412;332;275;180;101;102;2;0
"Eight Occupants";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";45090;415;1421;5274;9142;8724;7288;5219;3344;1885;954;725;696;3
"Eight Occupants";"....Basilan";4445;25;131;392;977;1171;800;518;268;96;37;24;6;0
"Eight Occupants";"....Lanao del Sur";9260;108;302;690;1150;1468;1546;1454;1092;735;403;287;23;2
"Eight Occupants";"....Maguindanao";16730;140;514;2313;3948;3287;2756;1760;946;496;283;257;29;1
"Eight Occupants";"....Sulu";10057;84;326;1387;2132;1893;1333;898;711;407;167;82;637;0
"Eight Occupants";"....Tawi-Tawi";3106;8;62;379;803;730;483;236;200;122;50;32;1;0
"Eight Occupants";"....Eight (8) Area Clusters ***";1492;50;86;113;132;175;370;353;127;29;14;43;0;0
"Nine Occupants";"PHILIPPINES";385728;5856;20370;53654;68080;78731;56002;36340;27457;16705;10092;10872;1556;13
"Nine Occupants";"..NATIONAL CAPITAL REGION (NCR)";35149;529;1557;4609;7114;7910;4421;2262;1725;1379;1090;1747;802;4
"Nine Occupants";"....City of Manila";5067;104;366;809;1086;1084;607;346;246;163;140;83;30;3
"Nine Occupants";"....City of Mandaluyong";1101;17;67;197;251;257;100;47;32;30;21;35;47;0
"Nine Occupants";"....City of Marikina";1619;9;31;132;433;297;212;122;108;79;59;137;0;0
"Nine Occupants";"....City of Pasig";1997;19;63;260;450;532;213;112;85;54;51;107;51;0
"Nine Occupants";"....Quezon City";9382;170;414;1162;1763;2219;1154;528;402;385;315;673;196;1
"Nine Occupants";"....City of San Juan";442;4;14;41;76;71;44;21;22;14;21;29;85;0
"Nine Occupants";"....City of Caloocan";3882;57;107;345;646;925;718;409;277;202;92;103;1;0
"Nine Occupants";"....City of Malabon";837;18;23;122;231;195;103;69;28;24;9;14;1;0
"Nine Occupants";"....City of Navotas";406;18;47;108;77;54;46;31;9;11;2;3;0;0
"Nine Occupants";"....City of Valenzuela";1093;15;47;157;248;271;130;60;56;34;32;43;0;0
"Nine Occupants";"....City of Las Piñas";1394;14;61;183;308;289;162;80;74;66;70;87;0;0
"Nine Occupants";"....City of Makati";1633;18;35;184;257;300;194;91;80;60;44;100;270;0
"Nine Occupants";"....City of Muntinlupa";1264;3;41;106;225;322;115;59;54;58;87;131;63;0
"Nine Occupants";"....City of Parañaque";2079;42;116;336;422;351;212;139;109;102;92;157;1;0
"Nine Occupants";"....Pasay City";968;6;49;165;223;205;120;44;44;31;23;19;39;0
"Nine Occupants";"....City of Taguig";1772;14;73;274;361;480;264;89;90;57;29;23;18;0
"Nine Occupants";"....Pateros";213;1;3;28;57;58;27;15;9;9;3;3;0;0
"Nine Occupants";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";7763;10;67;397;1103;1675;1463;1014;866;496;342;328;1;1
"Nine Occupants";"....Abra";1152;1;6;30;131;282;243;162;128;81;44;44;0;0
"Nine Occupants";"....Apayao";552;0;10;55;119;165;87;44;27;19;20;5;1;0
"Nine Occupants";"....Benguet *";1779;4;10;101;217;355;316;203;249;125;101;97;0;1
"Nine Occupants";"....Ifugao";1053;2;18;106;191;211;178;148;85;53;28;33;0;0
"Nine Occupants";"....Kalinga";1514;2;2;30;201;353;341;234;171;97;49;34;0;0
"Nine Occupants";"....Mountain Province";883;0;17;59;191;199;166;103;68;39;23;18;0;0
"Nine Occupants";"....City of Baguio";830;1;4;16;53;110;132;120;138;82;77;97;0;0
"Nine Occupants";"..REGION I (ILOCOS REGION)";16890;196;670;1296;2128;3425;3195;2315;1648;939;557;509;12;0
"Nine Occupants";"....Ilocos Norte";1803;3;22;68;220;421;389;260;172;108;83;57;0;0
"Nine Occupants";"....Ilocos Sur";2538;50;194;245;262;412;363;306;254;177;132;143;0;0
"Nine Occupants";"....La Union";2563;5;47;162;333;575;490;358;269;151;97;76;0;0
"Nine Occupants";"....Pangasinan";9986;138;407;821;1313;2017;1953;1391;953;503;245;233;12;0
"Nine Occupants";"..REGION II (CAGAYAN VALLEY)";11224;81;349;965;1738;2696;1918;1346;944;573;316;296;2;0
"Nine Occupants";"....Batanes";37;0;3;7;5;4;4;3;5;1;3;2;0;0
"Nine Occupants";"....Cagayan";4560;43;177;442;790;1112;687;499;348;220;118;124;0;0
"Nine Occupants";"....Isabela";4506;28;106;333;632;1108;797;583;411;250;144;112;2;0
"Nine Occupants";"....Nueva Vizcaya";1442;10;62;173;219;286;248;160;111;78;40;55;0;0
"Nine Occupants";"....Quirino";679;0;1;10;92;186;182;101;69;24;11;3;0;0
"Nine Occupants";"..REGION III (CENTRAL LUZON)";35581;433;1069;2895;4846;7850;6020;4246;3585;1991;1134;1428;81;3
"Nine Occupants";"....Aurora";805;2;21;85;148;180;127;89;77;43;11;22;0;0
"Nine Occupants";"....Bataan";2604;16;63;186;406;499;499;319;273;143;91;108;1;0
"Nine Occupants";"....Bulacan";9152;100;252;692;1216;2877;1562;823;643;399;236;305;45;2
"Nine Occupants";"....Nueva Ecija";5967;69;267;722;1037;1147;866;665;535;299;194;163;3;0
"Nine Occupants";"....Pampanga *";7891;157;271;549;899;1391;1222;1054;1050;531;296;460;11;0
"Nine Occupants";"....Tarlac";5186;53;154;433;681;935;946;701;551;330;180;205;16;1
"Nine Occupants";"....Zambales *";1995;3;29;162;273;446;423;287;194;102;38;36;2;0
"Nine Occupants";"....City of Angeles";1073;33;8;38;83;197;176;143;150;87;50;105;3;0
"Nine Occupants";"....City of Olongapo";908;0;4;28;103;178;199;165;112;57;38;24;0;0
"Nine Occupants";"..REGION IV-A (CALABARZON)";46990;523;1450;4139;6250;12338;8360;5004;3864;2301;1412;1322;25;2
"Nine Occupants";"....Batangas";9240;196;449;1121;1451;1668;1472;971;805;514;320;270;1;2
"Nine Occupants";"....Cavite";12017;57;186;568;1244;3563;2355;1523;1171;680;345;309;16;0
"Nine Occupants";"....Laguna";7615;61;173;479;862;2128;1366;897;706;387;306;250;0;0
"Nine Occupants";"....Quezon *";6136;76;334;1196;1217;1195;923;514;333;178;88;79;3;0
"Nine Occupants";"....Rizal";11138;133;291;724;1384;3539;2028;1009;780;503;335;407;5;0
"Nine Occupants";"....City of Lucena";844;0;17;51;92;245;216;90;69;39;18;7;0;0
"Nine Occupants";"..MIMAROPA REGION";11525;485;1331;2668;2374;1829;1085;650;466;288;179;163;7;0
"Nine Occupants";"....Marinduque";853;47;111;194;132;116;82;63;39;28;21;19;1;0
"Nine Occupants";"....Occidental Mindoro";1875;54;210;490;415;307;155;73;57;50;35;28;1;0
"Nine Occupants";"....Oriental Mindoro";3659;66;280;835;815;685;403;250;150;88;53;34;0;0
"Nine Occupants";"....Palawan *";3328;274;604;843;666;420;204;120;82;49;28;35;3;0
"Nine Occupants";"....Romblon";1136;10;63;213;258;214;167;71;68;31;19;22;0;0
"Nine Occupants";"....City of Puerto Princesa";674;34;63;93;88;87;74;73;70;42;23;25;2;0
"Nine Occupants";"..REGION V (BICOL REGION)";31969;698;2407;5067;6892;6967;3739;2323;1674;1034;585;575;8;0
"Nine Occupants";"....Albay";6538;236;705;945;1217;1308;766;452;395;227;138;148;1;0
