"Cases of Occupational Injuries With Workdays Lost in Agricultural and Non-Agricultural Establishments Employing 20 or More Workers by Industry Group and Major Occupation Group, Philippines: 2013"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/3001B3GI050.px/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Major Industry Group";"Major Occupation";"2013"
"ALL INDUSTRIES";"Total";20702
"ALL INDUSTRIES";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";209
"ALL INDUSTRIES";"..Professionals";455
"ALL INDUSTRIES";"..Technicians and Associate Professionals";1491
"ALL INDUSTRIES";"..Clerks";479
"ALL INDUSTRIES";"..Service Workers and Shop and Market Sales Workers";2683
"ALL INDUSTRIES";"..Farmers, Forestry Workers and Fishermen";511
"ALL INDUSTRIES";"..Craft and Related Trades Workers";537
"ALL INDUSTRIES";"..Plant and Machine Operators and Assemblers";4620
"ALL INDUSTRIES";"..Laborers and Unskilled Workers";9719
"..Agriculture, Forestry and Fishing";"Total";2846
"..Agriculture, Forestry and Fishing";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";41
"..Agriculture, Forestry and Fishing";"..Professionals";12
"..Agriculture, Forestry and Fishing";"..Technicians and Associate Professionals";89
"..Agriculture, Forestry and Fishing";"..Clerks";0
"..Agriculture, Forestry and Fishing";"..Service Workers and Shop and Market Sales Workers";59
"..Agriculture, Forestry and Fishing";"..Farmers, Forestry Workers and Fishermen";440
"..Agriculture, Forestry and Fishing";"..Craft and Related Trades Workers";23
"..Agriculture, Forestry and Fishing";"..Plant and Machine Operators and Assemblers";339
"..Agriculture, Forestry and Fishing";"..Laborers and Unskilled Workers";1846
"..Mining and Quarrying";"Total";136
"..Mining and Quarrying";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";0
"..Mining and Quarrying";"..Professionals";0
"..Mining and Quarrying";"..Technicians and Associate Professionals";12
"..Mining and Quarrying";"..Clerks";0
"..Mining and Quarrying";"..Service Workers and Shop and Market Sales Workers";2
"..Mining and Quarrying";"..Farmers, Forestry Workers and Fishermen";0
"..Mining and Quarrying";"..Craft and Related Trades Workers";10
"..Mining and Quarrying";"..Plant and Machine Operators and Assemblers";18
"..Mining and Quarrying";"..Laborers and Unskilled Workers";95
"..Manufacturing";"Total";10126
"..Manufacturing";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";61
"..Manufacturing";"..Professionals";78
"..Manufacturing";"..Technicians and Associate Professionals";510
"..Manufacturing";"..Clerks";104
"..Manufacturing";"..Service Workers and Shop and Market Sales Workers";108
"..Manufacturing";"..Farmers, Forestry Workers and Fishermen";49
"..Manufacturing";"..Craft and Related Trades Workers";285
"..Manufacturing";"..Plant and Machine Operators and Assemblers";3696
"..Manufacturing";"..Laborers and Unskilled Workers";5231
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total";399
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Corporate Executives, Managers, Managing Proprietors and Supervisors";14
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Professionals";67
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Technicians and Associate Professionals";218
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Clerks";8
