"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Occupied Housing Units";"Number of Households /a";"Household Population /a"
"Apartment/accessoria/rowhouse";"....City of Bacolod";2462;2489;7537
"Apartment/accessoria/rowhouse";"....City of Iloilo";3935;4107;15137
"Apartment/accessoria/rowhouse";"..REGION VII (CENTRAL VISAYAS)";56212;57755;185946
"Apartment/accessoria/rowhouse";"....Bohol";1186;1192;3895
"Apartment/accessoria/rowhouse";"....Cebu *";18985;19522;70174
"Apartment/accessoria/rowhouse";"....Negros Oriental";2265;2296;7538
"Apartment/accessoria/rowhouse";"....Siquijor";28;28;64
"Apartment/accessoria/rowhouse";"....City of Cebu";11002;11506;34654
"Apartment/accessoria/rowhouse";"....City of Lapu-Lapu (Opon)";14696;14943;46444
"Apartment/accessoria/rowhouse";"....City of Mandaue";8050;8268;23177
"Apartment/accessoria/rowhouse";"..REGION VIII (EASTERN VISAYAS)";22263;22466;93129
"Apartment/accessoria/rowhouse";"....Biliran";1007;1008;3761
"Apartment/accessoria/rowhouse";"....Eastern Samar";1047;1049;4065
"Apartment/accessoria/rowhouse";"....Leyte *";8021;8082;33095
"Apartment/accessoria/rowhouse";"....Northern Samar";177;178;756
"Apartment/accessoria/rowhouse";"....Samar (Western Samar)";1881;1892;7220
"Apartment/accessoria/rowhouse";"....Southern Leyte";639;643;2397
"Apartment/accessoria/rowhouse";"....City of Tacloban";9491;9614;41835
"Apartment/accessoria/rowhouse";"..REGION IX (ZAMBOANGA PENINSULA)";7386;7565;26225
"Apartment/accessoria/rowhouse";"....Zamboanga del Norte";2282;2304;7475
"Apartment/accessoria/rowhouse";"....Zamboanga del Sur *";577;580;2022
"Apartment/accessoria/rowhouse";"....Zamboanga Sibugay";212;213;674
"Apartment/accessoria/rowhouse";"....City of Isabela **";79;101;435
"Apartment/accessoria/rowhouse";"....City of Zamboanga";4236;4367;15619
"Apartment/accessoria/rowhouse";"..REGION X (NORTHERN MINDANAO)";14923;15681;55879
"Apartment/accessoria/rowhouse";"....Bukidnon";1225;1259;4245
"Apartment/accessoria/rowhouse";"....Camiguin";36;38;147
"Apartment/accessoria/rowhouse";"....Lanao del Norte *";300;311;1246
"Apartment/accessoria/rowhouse";"....Misamis Occidental";1572;1606;5627
"Apartment/accessoria/rowhouse";"....Misamis Oriental *";915;932;2971
"Apartment/accessoria/rowhouse";"....City of Cagayan de Oro";6951;7290;24966
"Apartment/accessoria/rowhouse";"....City of Iligan";3924;4245;16677
"Apartment/accessoria/rowhouse";"..REGION XI (DAVAO REGION)";15803;16363;46425
"Apartment/accessoria/rowhouse";"....Davao de Oro (Compostela Valley)";878;900;2734
"Apartment/accessoria/rowhouse";"....Davao del Norte";4356;4421;14169
"Apartment/accessoria/rowhouse";"....Davao del Sur *";1393;1432;3914
"Apartment/accessoria/rowhouse";"....Davao Occidental";4;4;6
"Apartment/accessoria/rowhouse";"....Davao Oriental";175;176;640
"Apartment/accessoria/rowhouse";"....City of Davao";8997;9430;24962
"Apartment/accessoria/rowhouse";"..REGION XII (SOCCSKSARGEN)";17197;17349;48223
"Apartment/accessoria/rowhouse";"....Cotabato (North Cotabato)";1178;1191;3614
"Apartment/accessoria/rowhouse";"....Sarangani";222;225;663
"Apartment/accessoria/rowhouse";"....South Cotabato *";3483;3510;9625
"Apartment/accessoria/rowhouse";"....Sultan Kudarat";874;881;3001
"Apartment/accessoria/rowhouse";"....City of General Santos (Dadiangas)";11440;11542;31320
"Apartment/accessoria/rowhouse";"..REGION XIII (CARAGA)";4363;4432;14467
"Apartment/accessoria/rowhouse";"....Agusan del Norte *";437;443;1455
"Apartment/accessoria/rowhouse";"....Agusan del Sur";431;431;1380
"Apartment/accessoria/rowhouse";"....Dinagat Islands";8;8;26
"Apartment/accessoria/rowhouse";"....Surigao del Norte";1230;1269;4178
"Apartment/accessoria/rowhouse";"....Surigao del Sur";347;360;1144
"Apartment/accessoria/rowhouse";"....City of Butuan";1910;1921;6284
"Apartment/accessoria/rowhouse";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";1318;1440;7363
"Apartment/accessoria/rowhouse";"....Basilan";36;38;211
"Apartment/accessoria/rowhouse";"....Lanao del Sur";234;267;1625
"Apartment/accessoria/rowhouse";"....Maguindanao";986;1073;5177
"Apartment/accessoria/rowhouse";"....Sulu";29;29;180
"Apartment/accessoria/rowhouse";"....Tawi-Tawi";33;33;170
"Apartment/accessoria/rowhouse";"....Eight (8) Area Clusters ***";0;0;0
"Condominium/condotel";"PHILIPPINES";169327;173806;506166
"Condominium/condotel";"..NATIONAL CAPITAL REGION (NCR)";158648;162912;478600
"Condominium/condotel";"....City of Manila";23798;24097;75052
"Condominium/condotel";"....City of Mandaluyong";21781;22652;64780
"Condominium/condotel";"....City of Marikina";218;218;770
"Condominium/condotel";"....City of Pasig";11535;12054;38414
"Condominium/condotel";"....Quezon City";20385;20807;67361
"Condominium/condotel";"....City of San Juan";3538;3557;13376
"Condominium/condotel";"....City of Caloocan";1077;1093;3560
"Condominium/condotel";"....City of Malabon";63;68;269
"Condominium/condotel";"....City of Navotas";0;0;0
"Condominium/condotel";"....City of Valenzuela";1002;1011;3472
"Condominium/condotel";"....City of Las Piñas";1091;1131;3399
"Condominium/condotel";"....City of Makati";46489;47532;126482
"Condominium/condotel";"....City of Muntinlupa";1771;1835;4167
"Condominium/condotel";"....City of Parañaque";5764;5924;16096
"Condominium/condotel";"....Pasay City";15484;15957;45207
"Condominium/condotel";"....City of Taguig";4652;4976;16195
"Condominium/condotel";"....Pateros";0;0;0
"Condominium/condotel";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";1099;1103;2510
"Condominium/condotel";"....Abra";0;0;0
"Condominium/condotel";"....Apayao";0;0;0
"Condominium/condotel";"....Benguet *";0;0;0
"Condominium/condotel";"....Ifugao";0;0;0
"Condominium/condotel";"....Kalinga";0;0;0
"Condominium/condotel";"....Mountain Province";0;0;0
"Condominium/condotel";"....City of Baguio";1099;1103;2510
"Condominium/condotel";"..REGION I (ILOCOS REGION)";10;10;29
"Condominium/condotel";"....Ilocos Norte";7;7;15
"Condominium/condotel";"....Ilocos Sur";0;0;0
"Condominium/condotel";"....La Union";0;0;0
"Condominium/condotel";"....Pangasinan";3;3;14
"Condominium/condotel";"..REGION II (CAGAYAN VALLEY)";0;0;0
"Condominium/condotel";"....Batanes";0;0;0
"Condominium/condotel";"....Cagayan";0;0;0
"Condominium/condotel";"....Isabela";0;0;0
"Condominium/condotel";"....Nueva Vizcaya";0;0;0
"Condominium/condotel";"....Quirino";0;0;0
"Condominium/condotel";"..REGION III (CENTRAL LUZON)";357;360;1268
"Condominium/condotel";"....Aurora";0;0;0
"Condominium/condotel";"....Bataan";0;0;0
"Condominium/condotel";"....Bulacan";227;229;818
"Condominium/condotel";"....Nueva Ecija";3;3;9
"Condominium/condotel";"....Pampanga *";4;4;13
"Condominium/condotel";"....Tarlac";38;39;132
"Condominium/condotel";"....Zambales *";0;0;0
"Condominium/condotel";"....City of Angeles";7;7;17
"Condominium/condotel";"....City of Olongapo";78;78;279
"Condominium/condotel";"..REGION IV-A (CALABARZON)";4510;4640;12668
"Condominium/condotel";"....Batangas";7;7;19
"Condominium/condotel";"....Cavite";1590;1702;3187
"Condominium/condotel";"....Laguna";342;345;1121
"Condominium/condotel";"....Quezon *";0;0;0
"Condominium/condotel";"....Rizal";2571;2586;8341
"Condominium/condotel";"....City of Lucena";0;0;0
"Condominium/condotel";"..MIMAROPA REGION";12;12;55
"Condominium/condotel";"....Marinduque";0;0;0
"Condominium/condotel";"....Occidental Mindoro";0;0;0
"Condominium/condotel";"....Oriental Mindoro";0;0;0
"Condominium/condotel";"....Palawan *";0;0;0
"Condominium/condotel";"....Romblon";0;0;0
"Condominium/condotel";"....City of Puerto Princesa";12;12;55
"Condominium/condotel";"..REGION V (BICOL REGION)";11;11;36
"Condominium/condotel";"....Albay";11;11;36
"Condominium/condotel";"....Camarines Norte";0;0;0
"Condominium/condotel";"....Camarines Sur";0;0;0
"Condominium/condotel";"....Catanduanes";0;0;0
"Condominium/condotel";"....Masbate";0;0;0
"Condominium/condotel";"....Sorsogon";0;0;0
"Condominium/condotel";"..REGION VI (WESTERN VISAYAS)";74;75;226
"Condominium/condotel";"....Aklan";3;3;6
"Condominium/condotel";"....Antique";1;1;1
"Condominium/condotel";"....Capiz";2;2;4
"Condominium/condotel";"....Guimaras";0;0;0
"Condominium/condotel";"....Iloilo *";4;4;14
"Condominium/condotel";"....Negros Occidental *";0;0;0
"Condominium/condotel";"....City of Bacolod";10;10;24
"Condominium/condotel";"....City of Iloilo";54;55;177
"Condominium/condotel";"..REGION VII (CENTRAL VISAYAS)";3688;3762;8648
"Condominium/condotel";"....Bohol";0;0;0
"Condominium/condotel";"....Cebu *";5;5;7
"Condominium/condotel";"....Negros Oriental";12;12;23
"Condominium/condotel";"....Siquijor";0;0;0
"Condominium/condotel";"....City of Cebu";2289;2345;5635
"Condominium/condotel";"....City of Lapu-Lapu (Opon)";276;277;642
"Condominium/condotel";"....City of Mandaue";1106;1123;2341
"Condominium/condotel";"..REGION VIII (EASTERN VISAYAS)";1;1;6
"Condominium/condotel";"....Biliran";0;0;0
"Condominium/condotel";"....Eastern Samar";0;0;0
"Condominium/condotel";"....Leyte *";1;1;6
"Condominium/condotel";"....Northern Samar";0;0;0
"Condominium/condotel";"....Samar (Western Samar)";0;0;0
"Condominium/condotel";"....Southern Leyte";0;0;0
"Condominium/condotel";"....City of Tacloban";0;0;0
"Condominium/condotel";"..REGION IX (ZAMBOANGA PENINSULA)";0;0;0
"Condominium/condotel";"....Zamboanga del Norte";0;0;0
"Condominium/condotel";"....Zamboanga del Sur *";0;0;0
"Condominium/condotel";"....Zamboanga Sibugay";0;0;0
"Condominium/condotel";"....City of Isabela **";0;0;0
"Condominium/condotel";"....City of Zamboanga";0;0;0
"Condominium/condotel";"..REGION X (NORTHERN MINDANAO)";99;99;239
"Condominium/condotel";"....Bukidnon";1;1;3
"Condominium/condotel";"....Camiguin";0;0;0
"Condominium/condotel";"....Lanao del Norte *";0;0;0
"Condominium/condotel";"....Misamis Occidental";0;0;0
"Condominium/condotel";"....Misamis Oriental *";0;0;0
"Condominium/condotel";"....City of Cagayan de Oro";98;98;236
"Condominium/condotel";"....City of Iligan";0;0;0
"Condominium/condotel";"..REGION XI (DAVAO REGION)";806;808;1802
"Condominium/condotel";"....Davao de Oro (Compostela Valley)";4;4;21
"Condominium/condotel";"....Davao del Norte";7;7;29
"Condominium/condotel";"....Davao del Sur *";0;0;0
"Condominium/condotel";"....Davao Occidental";0;0;0
"Condominium/condotel";"....Davao Oriental";0;0;0
"Condominium/condotel";"....City of Davao";795;797;1752
"Condominium/condotel";"..REGION XII (SOCCSKSARGEN)";0;0;0
"Condominium/condotel";"....Cotabato (North Cotabato)";0;0;0
"Condominium/condotel";"....Sarangani";0;0;0
"Condominium/condotel";"....South Cotabato *";0;0;0
"Condominium/condotel";"....Sultan Kudarat";0;0;0
"Condominium/condotel";"....City of General Santos (Dadiangas)";0;0;0
"Condominium/condotel";"..REGION XIII (CARAGA)";0;0;0
"Condominium/condotel";"....Agusan del Norte *";0;0;0
"Condominium/condotel";"....Agusan del Sur";0;0;0
"Condominium/condotel";"....Dinagat Islands";0;0;0
"Condominium/condotel";"....Surigao del Norte";0;0;0
"Condominium/condotel";"....Surigao del Sur";0;0;0
"Condominium/condotel";"....City of Butuan";0;0;0
"Condominium/condotel";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";12;13;79
"Condominium/condotel";"....Basilan";3;3;21
"Condominium/condotel";"....Lanao del Sur";0;0;0
"Condominium/condotel";"....Maguindanao";6;7;45
"Condominium/condotel";"....Sulu";0;0;0
"Condominium/condotel";"....Tawi-Tawi";3;3;13
"Condominium/condotel";"....Eight (8) Area Clusters ***";0;0;0
"Other multi-unit residential";"PHILIPPINES";541490;565763;2069913
"Other multi-unit residential";"..NATIONAL CAPITAL REGION (NCR)";310346;326385;1179786
"Other multi-unit residential";"....City of Manila";115917;122986;450583
"Other multi-unit residential";"....City of Mandaluyong";19864;20693;74141
"Other multi-unit residential";"....City of Marikina";2403;2481;10213
"Other multi-unit residential";"....City of Pasig";20491;22045;79727
"Other multi-unit residential";"....Quezon City";31110;32094;119041
"Other multi-unit residential";"....City of San Juan";5547;5897;22461
"Other multi-unit residential";"....City of Caloocan";15721;16535;65188
"Other multi-unit residential";"....City of Malabon";2099;2138;8426
"Other multi-unit residential";"....City of Navotas";3393;3609;14842
"Other multi-unit residential";"....City of Valenzuela";7273;7600;30781
"Other multi-unit residential";"....City of Las Piñas";4813;5063;18613
"Other multi-unit residential";"....City of Makati";28077;28882;91497
"Other multi-unit residential";"....City of Muntinlupa";3730;3969;14370
"Other multi-unit residential";"....City of Parañaque";7828;8228;30151
"Other multi-unit residential";"....Pasay City";6537;6922;23055
"Other multi-unit residential";"....City of Taguig";35232;36927;125456
"Other multi-unit residential";"....Pateros";311;316;1241
"Other multi-unit residential";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";474;484;1549
"Other multi-unit residential";"....Abra";69;73;262
"Other multi-unit residential";"....Apayao";14;14;55
"Other multi-unit residential";"....Benguet *";59;59;193
"Other multi-unit residential";"....Ifugao";75;75;290
"Other multi-unit residential";"....Kalinga";45;45;138
"Other multi-unit residential";"....Mountain Province";107;113;296
"Other multi-unit residential";"....City of Baguio";105;105;315
"Other multi-unit residential";"..REGION I (ILOCOS REGION)";8033;8341;30990
"Other multi-unit residential";"....Ilocos Norte";1171;1218;4278
"Other multi-unit residential";"....Ilocos Sur";736;770;3008
"Other multi-unit residential";"....La Union";1059;1094;3967
"Other multi-unit residential";"....Pangasinan";5067;5259;19737
"Other multi-unit residential";"..REGION II (CAGAYAN VALLEY)";5176;5260;19203
"Other multi-unit residential";"....Batanes";9;9;23
"Other multi-unit residential";"....Cagayan";1423;1453;5518
"Other multi-unit residential";"....Isabela";2709;2754;10079
"Other multi-unit residential";"....Nueva Vizcaya";903;911;3142
"Other multi-unit residential";"....Quirino";132;133;441
"Other multi-unit residential";"..REGION III (CENTRAL LUZON)";55961;57562;224585
"Other multi-unit residential";"....Aurora";92;92;346
"Other multi-unit residential";"....Bataan";2509;2574;9650
"Other multi-unit residential";"....Bulacan";18770;19468;76441
"Other multi-unit residential";"....Nueva Ecija";5933;6023;22873
"Other multi-unit residential";"....Pampanga *";13485;13980;56314
"Other multi-unit residential";"....Tarlac";4836;4893;19424
"Other multi-unit residential";"....Zambales *";2457;2480;9012
"Other multi-unit residential";"....City of Angeles";4369;4477;17333
"Other multi-unit residential";"....City of Olongapo";3510;3575;13192
"Other multi-unit residential";"..REGION IV-A (CALABARZON)";63617;67007;249394
"Other multi-unit residential";"....Batangas";9654;10046;37293
"Other multi-unit residential";"....Cavite";22166;23232;86230
"Other multi-unit residential";"....Laguna";15139;16554;58870
"Other multi-unit residential";"....Quezon *";3569;3685;13730
"Other multi-unit residential";"....Rizal";12334;12708;50343
"Other multi-unit residential";"....City of Lucena";755;782;2928
"Other multi-unit residential";"..MIMAROPA REGION";3822;3878;12805
"Other multi-unit residential";"....Marinduque";138;141;484
"Other multi-unit residential";"....Occidental Mindoro";628;631;2256
"Other multi-unit residential";"....Oriental Mindoro";571;581;2207
"Other multi-unit residential";"....Palawan *";706;711;2339
"Other multi-unit residential";"....Romblon";231;243;911
"Other multi-unit residential";"....City of Puerto Princesa";1548;1571;4608
"Other multi-unit residential";"..REGION V (BICOL REGION)";6100;6176;24538
"Other multi-unit residential";"....Albay";1748;1769;6893
"Other multi-unit residential";"....Camarines Norte";481;487;1954
"Other multi-unit residential";"....Camarines Sur";2852;2890;11587
"Other multi-unit residential";"....Catanduanes";59;60;225
"Other multi-unit residential";"....Masbate";439;441;1802
"Other multi-unit residential";"....Sorsogon";521;529;2077
"Other multi-unit residential";"..REGION VI (WESTERN VISAYAS)";8348;8459;31538
"Other multi-unit residential";"....Aklan";321;325;1096
"Other multi-unit residential";"....Antique";308;308;1131
"Other multi-unit residential";"....Capiz";560;570;2161
"Other multi-unit residential";"....Guimaras";17;17;49
"Other multi-unit residential";"....Iloilo *";2144;2155;7835
"Other multi-unit residential";"....Negros Occidental *";2551;2588;9818
"Other multi-unit residential";"....City of Bacolod";1246;1250;4480
"Other multi-unit residential";"....City of Iloilo";1201;1246;4968
"Other multi-unit residential";"..REGION VII (CENTRAL VISAYAS)";29433;30097;104783
"Other multi-unit residential";"....Bohol";1187;1195;4410
"Other multi-unit residential";"....Cebu *";7543;7660;28363
"Other multi-unit residential";"....Negros Oriental";2165;2205;8789
"Other multi-unit residential";"....Siquijor";10;10;35
"Other multi-unit residential";"....City of Cebu";6728;7056;24234
"Other multi-unit residential";"....City of Lapu-Lapu (Opon)";7516;7607;25931
"Other multi-unit residential";"....City of Mandaue";4284;4364;13021
"Other multi-unit residential";"..REGION VIII (EASTERN VISAYAS)";4563;4612;17253
"Other multi-unit residential";"....Biliran";34;35;103
"Other multi-unit residential";"....Eastern Samar";360;362;1393
"Other multi-unit residential";"....Leyte *";2130;2153;7982
"Other multi-unit residential";"....Northern Samar";303;305;1174
"Other multi-unit residential";"....Samar (Western Samar)";986;996;3844
"Other multi-unit residential";"....Southern Leyte";319;323;1295
"Other multi-unit residential";"....City of Tacloban";431;438;1462
"Other multi-unit residential";"..REGION IX (ZAMBOANGA PENINSULA)";6683;6909;26144
"Other multi-unit residential";"....Zamboanga del Norte";438;448;1551
"Other multi-unit residential";"....Zamboanga del Sur *";645;649;2430
"Other multi-unit residential";"....Zamboanga Sibugay";1043;1047;3697
"Other multi-unit residential";"....City of Isabela **";228;232;1119
"Other multi-unit residential";"....City of Zamboanga";4329;4533;17347
"Other multi-unit residential";"..REGION X (NORTHERN MINDANAO)";12749;13492;49934
"Other multi-unit residential";"....Bukidnon";1774;1821;6706
"Other multi-unit residential";"....Camiguin";19;19;77
"Other multi-unit residential";"....Lanao del Norte *";730;834;3602
"Other multi-unit residential";"....Misamis Occidental";908;940;3701
"Other multi-unit residential";"....Misamis Oriental *";1913;1983;7538
"Other multi-unit residential";"....City of Cagayan de Oro";5432;5843;20418
"Other multi-unit residential";"....City of Iligan";1973;2052;7892
"Other multi-unit residential";"..REGION XI (DAVAO REGION)";16707;17178;56332
"Other multi-unit residential";"....Davao de Oro (Compostela Valley)";1816;1830;6588
"Other multi-unit residential";"....Davao del Norte";3624;3767;13782
"Other multi-unit residential";"....Davao del Sur *";878;901;2832
"Other multi-unit residential";"....Davao Occidental";23;23;61
"Other multi-unit residential";"....Davao Oriental";702;716;2612
"Other multi-unit residential";"....City of Davao";9664;9941;30457
"Other multi-unit residential";"..REGION XII (SOCCSKSARGEN)";3531;3560;12320
"Other multi-unit residential";"....Cotabato (North Cotabato)";1013;1022;3706
"Other multi-unit residential";"....Sarangani";418;422;1524
"Other multi-unit residential";"....South Cotabato *";696;697;2200
"Other multi-unit residential";"....Sultan Kudarat";597;602;2212
"Other multi-unit residential";"....City of General Santos (Dadiangas)";807;817;2678
"Other multi-unit residential";"..REGION XIII (CARAGA)";3243;3307;11604
"Other multi-unit residential";"....Agusan del Norte *";514;529;1898
"Other multi-unit residential";"....Agusan del Sur";531;537;1825
"Other multi-unit residential";"....Dinagat Islands";54;55;191
"Other multi-unit residential";"....Surigao del Norte";377;379;1287
"Other multi-unit residential";"....Surigao del Sur";945;972;3508
"Other multi-unit residential";"....City of Butuan";822;835;2895
"Other multi-unit residential";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";2704;3056;17155
"Other multi-unit residential";"....Basilan";80;82;431
"Other multi-unit residential";"....Lanao del Sur";1158;1424;9147
"Other multi-unit residential";"....Maguindanao";930;1004;4494
"Other multi-unit residential";"....Sulu";353;362;2192
"Other multi-unit residential";"....Tawi-Tawi";48;49;335
"Other multi-unit residential";"....Eight (8) Area Clusters ***";135;135;556
"Commercial/industrial/agricultural";"PHILIPPINES";41248;45670;136613
"Commercial/industrial/agricultural";"..NATIONAL CAPITAL REGION (NCR)";13603;16110;42579
"Commercial/industrial/agricultural";"....City of Manila";1715;1869;5600
"Commercial/industrial/agricultural";"....City of Mandaluyong";359;417;1014
"Commercial/industrial/agricultural";"....City of Marikina";329;356;1165
"Commercial/industrial/agricultural";"....City of Pasig";521;671;1680
"Commercial/industrial/agricultural";"....Quezon City";3879;4495;12362
"Commercial/industrial/agricultural";"....City of San Juan";156;190;467
"Commercial/industrial/agricultural";"....City of Caloocan";1382;1639;4678
"Commercial/industrial/agricultural";"....City of Malabon";467;544;1740
"Commercial/industrial/agricultural";"....City of Navotas";183;250;597
"Commercial/industrial/agricultural";"....City of Valenzuela";1999;2605;5852
"Commercial/industrial/agricultural";"....City of Las Piñas";494;602;1681
"Commercial/industrial/agricultural";"....City of Makati";335;381;826
"Commercial/industrial/agricultural";"....City of Muntinlupa";203;229;640
"Commercial/industrial/agricultural";"....City of Parañaque";682;834;1904
"Commercial/industrial/agricultural";"....Pasay City";648;753;1694
"Commercial/industrial/agricultural";"....City of Taguig";243;266;668
"Commercial/industrial/agricultural";"....Pateros";8;9;11
"Commercial/industrial/agricultural";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";832;874;2584
"Commercial/industrial/agricultural";"....Abra";21;21;51
"Commercial/industrial/agricultural";"....Apayao";34;35;120
"Commercial/industrial/agricultural";"....Benguet *";256;260;782
"Commercial/industrial/agricultural";"....Ifugao";25;25;108
"Commercial/industrial/agricultural";"....Kalinga";20;20;71
"Commercial/industrial/agricultural";"....Mountain Province";16;16;47
"Commercial/industrial/agricultural";"....City of Baguio";460;497;1405
"Commercial/industrial/agricultural";"..REGION I (ILOCOS REGION)";1087;1163;3858
"Commercial/industrial/agricultural";"....Ilocos Norte";181;200;704
"Commercial/industrial/agricultural";"....Ilocos Sur";132;137;522
"Commercial/industrial/agricultural";"....La Union";147;152;477
"Commercial/industrial/agricultural";"....Pangasinan";627;674;2155
"Commercial/industrial/agricultural";"..REGION II (CAGAYAN VALLEY)";1150;1192;4268
"Commercial/industrial/agricultural";"....Batanes";4;4;14
"Commercial/industrial/agricultural";"....Cagayan";351;368;1355
"Commercial/industrial/agricultural";"....Isabela";381;392;1449
"Commercial/industrial/agricultural";"....Nueva Vizcaya";297;311;1012
"Commercial/industrial/agricultural";"....Quirino";117;117;438
"Commercial/industrial/agricultural";"..REGION III (CENTRAL LUZON)";4686;5008;15823
"Commercial/industrial/agricultural";"....Aurora";72;72;251
"Commercial/industrial/agricultural";"....Bataan";261;285;906
"Commercial/industrial/agricultural";"....Bulacan";1838;1989;5865
"Commercial/industrial/agricultural";"....Nueva Ecija";732;780;2538
"Commercial/industrial/agricultural";"....Pampanga *";714;750;2462
"Commercial/industrial/agricultural";"....Tarlac";399;406;1426
"Commercial/industrial/agricultural";"....Zambales *";132;132;418
"Commercial/industrial/agricultural";"....City of Angeles";302;339;1183
"Commercial/industrial/agricultural";"....City of Olongapo";236;255;774
"Commercial/industrial/agricultural";"..REGION IV-A (CALABARZON)";5508;6211;17594
"Commercial/industrial/agricultural";"....Batangas";927;1072;3005
"Commercial/industrial/agricultural";"....Cavite";1992;2316;6041
"Commercial/industrial/agricultural";"....Laguna";838;939;2541
"Commercial/industrial/agricultural";"....Quezon *";603;656;2142
"Commercial/industrial/agricultural";"....Rizal";1026;1103;3443
"Commercial/industrial/agricultural";"....City of Lucena";122;125;422
"Commercial/industrial/agricultural";"..MIMAROPA REGION";1011;1037;3535
"Commercial/industrial/agricultural";"....Marinduque";38;39;116
"Commercial/industrial/agricultural";"....Occidental Mindoro";75;77;258
"Commercial/industrial/agricultural";"....Oriental Mindoro";322;331;1165
"Commercial/industrial/agricultural";"....Palawan *";370;372;1265
"Commercial/industrial/agricultural";"....Romblon";30;31;101
"Commercial/industrial/agricultural";"....City of Puerto Princesa";176;187;630
"Commercial/industrial/agricultural";"..REGION V (BICOL REGION)";1498;1535;5448
"Commercial/industrial/agricultural";"....Albay";269;274;910
"Commercial/industrial/agricultural";"....Camarines Norte";236;245;903
"Commercial/industrial/agricultural";"....Camarines Sur";609;626;2176
"Commercial/industrial/agricultural";"....Catanduanes";76;79;306
"Commercial/industrial/agricultural";"....Masbate";137;138;554
"Commercial/industrial/agricultural";"....Sorsogon";171;173;599
"Commercial/industrial/agricultural";"..REGION VI (WESTERN VISAYAS)";1945;2009;6736
"Commercial/industrial/agricultural";"....Aklan";249;252;885
"Commercial/industrial/agricultural";"....Antique";123;123;462
"Commercial/industrial/agricultural";"....Capiz";106;108;394
"Commercial/industrial/agricultural";"....Guimaras";57;57;208
"Commercial/industrial/agricultural";"....Iloilo *";283;288;862
"Commercial/industrial/agricultural";"....Negros Occidental *";363;375;1227
"Commercial/industrial/agricultural";"....City of Bacolod";372;394;1279
"Commercial/industrial/agricultural";"....City of Iloilo";392;412;1419
"Commercial/industrial/agricultural";"..REGION VII (CENTRAL VISAYAS)";1910;2120;5788
"Commercial/industrial/agricultural";"....Bohol";269;270;934
"Commercial/industrial/agricultural";"....Cebu *";541;624;1579
"Commercial/industrial/agricultural";"....Negros Oriental";236;239;863
"Commercial/industrial/agricultural";"....Siquijor";35;35;105
"Commercial/industrial/agricultural";"....City of Cebu";431;500;1299
"Commercial/industrial/agricultural";"....City of Lapu-Lapu (Opon)";136;149;404
"Commercial/industrial/agricultural";"....City of Mandaue";262;303;604
"Commercial/industrial/agricultural";"..REGION VIII (EASTERN VISAYAS)";860;888;3191
"Commercial/industrial/agricultural";"....Biliran";45;49;145
"Commercial/industrial/agricultural";"....Eastern Samar";47;47;177
"Commercial/industrial/agricultural";"....Leyte *";306;307;1059
"Commercial/industrial/agricultural";"....Northern Samar";80;84;340
"Commercial/industrial/agricultural";"....Samar (Western Samar)";81;84;344
"Commercial/industrial/agricultural";"....Southern Leyte";111;113;411
"Commercial/industrial/agricultural";"....City of Tacloban";190;204;715
"Commercial/industrial/agricultural";"..REGION IX (ZAMBOANGA PENINSULA)";994;1032;3821
"Commercial/industrial/agricultural";"....Zamboanga del Norte";159;160;620
"Commercial/industrial/agricultural";"....Zamboanga del Sur *";240;250;958
"Commercial/industrial/agricultural";"....Zamboanga Sibugay";326;332;1136
"Commercial/industrial/agricultural";"....City of Isabela **";16;19;70
"Commercial/industrial/agricultural";"....City of Zamboanga";253;271;1037
"Commercial/industrial/agricultural";"..REGION X (NORTHERN MINDANAO)";1680;1754;5918
"Commercial/industrial/agricultural";"....Bukidnon";546;558;2021
"Commercial/industrial/agricultural";"....Camiguin";26;26;64
"Commercial/industrial/agricultural";"....Lanao del Norte *";182;193;797
"Commercial/industrial/agricultural";"....Misamis Occidental";96;100;356
"Commercial/industrial/agricultural";"....Misamis Oriental *";221;228;756
"Commercial/industrial/agricultural";"....City of Cagayan de Oro";434;470;1267
"Commercial/industrial/agricultural";"....City of Iligan";175;179;657
"Commercial/industrial/agricultural";"..REGION XI (DAVAO REGION)";2109;2275;6292
"Commercial/industrial/agricultural";"....Davao de Oro (Compostela Valley)";276;285;976
"Commercial/industrial/agricultural";"....Davao del Norte";381;389;1341
"Commercial/industrial/agricultural";"....Davao del Sur *";146;147;448
"Commercial/industrial/agricultural";"....Davao Occidental";25;27;72
"Commercial/industrial/agricultural";"....Davao Oriental";76;82;288
"Commercial/industrial/agricultural";"....City of Davao";1205;1345;3167
"Commercial/industrial/agricultural";"..REGION XII (SOCCSKSARGEN)";1132;1161;3957
"Commercial/industrial/agricultural";"....Cotabato (North Cotabato)";340;341;1230
"Commercial/industrial/agricultural";"....Sarangani";50;55;177
