"Number of Workers Covered by CBAs in Establishments Employing 20 or More Workers by Employment Size and Sex, Philippines: June 2014 to August 2022"

"Employment Size";"2014 Both Sexes";"2014 ..Male";"2014 ..Female";"2016 Both Sexes";"2016 ..Male";"2016 ..Female";"2018 Both Sexes";"2018 ..Male";"2018 ..Female";"2020 Both Sexes";"2020 ..Male";"2020 ..Female";"2022 Both Sexes";"2022 ..Male";"2022 ..Female"
"20 - 99 workers";22295;17194;5101;30397;20521;9876;29364;20093;9271;18175;13163;5012;21441;14387;7054
"100 - 199 workers";38474;29178;9296;31342;23154;8188;33133;24302;8830;34083;23154;10928;37452;27539;9912
"200 and Over workers";298976;189933;109043;251529;155893;95637;299135;177630;121506;281518;145984;135534;387863;222083;165780
