"Deaths : Number of Registered Deaths by Usual Residence and Place of Occurrence and Attendance at Death, (Region,Province and City/Municipality) Philippines: 2016"

"Geolocation";"Usual Residence Total";"Usual Residence Medically Attended";"Usual Residence Not Attended";"Usual Residence Not Stated";"Place of Occurrence Total";"Place of Occurrence Medically Attended";"Place of Occurrence Not Attended";"Place of Occurrence Not Stated"
"....Davao Del Sur";14552;6403;6936;1121;15957;7641;7046;1176
"....Davao Oriental";3141;904;2227;9;2594;393;2199;2
"....Compostela Valley";4232;1422;2801;5;3066;290;2774;1
"....Davao Occidental";942;208;691;40;786;84;664;35
"..REGION XII- SOCCSKSARGEN";22115;8248;13792;15;21834;7970;13796;8
"....Cotabato";6745;2050;4689;6;6467;1767;4699;1
"....South Cotabato";8924;4056;4855;5;9396;4478;4907;5
"....Sultan Kudarat";3464;1027;2382;3;3279;842;2381;2
"....Sarangani";2190;717;1473;..;1664;259;1405;..
"....Cotabato City";792;398;393;1;1028;624;404;..
"..REGION XIII - CARAGA";14939;6198;8713;19;14096;5470;8604;13
"....Agusan Del Norte";4389;2091;2293;..;4405;2137;2263;..
"....Agusan Del Sur";3302;1159;2138;4;2817;715;2101;..
"....Surigao Del Norte";3118;1257;1857;2;3259;1397;1859;1
"....Surigao Del Sur";3500;1505;1981;13;3128;1168;1947;12
"....Dinagat Islands";630;186;444;..;487;53;434;..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO";3236;1315;1863;50;2822;963;1806;47
"....Basilan";466;162;290;14;368;89;268;11
"....Lanao Del Sur";925;382;530;12;866;322;531;12
"....Maguindanao";1197;409;762;22;979;227;728;22
"....Sulu";488;309;174;2;470;291;174;2
"....Tawi-Tawi";160;53;107;..;139;34;105;..
"FOREIGN COUNTRIES";452;271;175;3;1;1;..;..
