"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"Tarpaulin on MRT/LRT";"..Accommodation and Food Service Activities";17
"Tarpaulin on MRT/LRT";"..Information and Communication";..
"Tarpaulin on MRT/LRT";"..Financial and Insurance Activities";1
"Tarpaulin on MRT/LRT";"..Real Estate Activities";..
"Tarpaulin on MRT/LRT";"..Professional, Scientific and Technical Activities";4
"Tarpaulin on MRT/LRT";"..Administrative and Support Service Activities";10
"Tarpaulin on MRT/LRT";"..Education Except Public Education";2
"Tarpaulin on MRT/LRT";"..Human Health and Social Work Activities Except Public Health Activities";..
"Tarpaulin on MRT/LRT";"..Arts, Entertainment and  Recreation";..
"Tarpaulin on MRT/LRT";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"ECC Seminars/Lectures";"ALL INDUSTRIES";6490
"ECC Seminars/Lectures";"..Agriculture, Forestry and Fishing";231
"ECC Seminars/Lectures";"..Mining and Quarrying";48
"ECC Seminars/Lectures";"..Manufacturing";1317
"ECC Seminars/Lectures";"..Electricity, Gas, Steam and Air Conditioning Supply";101
"ECC Seminars/Lectures";"..Water Supply; Sewerage, Waste Management and Remediation Activities";33
"ECC Seminars/Lectures";"..Construction";188
"ECC Seminars/Lectures";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1577
"ECC Seminars/Lectures";"..Transportation and Storage";189
"ECC Seminars/Lectures";"..Accommodation and Food Service Activities";732
"ECC Seminars/Lectures";"..Information and Communication";120
"ECC Seminars/Lectures";"..Financial and Insurance Activities";287
"ECC Seminars/Lectures";"..Real Estate Activities";111
"ECC Seminars/Lectures";"..Professional, Scientific and Technical Activities";103
"ECC Seminars/Lectures";"..Administrative and Support Service Activities";421
"ECC Seminars/Lectures";"..Education Except Public Education";622
"ECC Seminars/Lectures";"..Human Health and Social Work Activities Except Public Health Activities";285
"ECC Seminars/Lectures";"..Arts, Entertainment and  Recreation";63
"ECC Seminars/Lectures";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";61
"SSS Seminars/Lectures";"ALL INDUSTRIES";11522
"SSS Seminars/Lectures";"..Agriculture, Forestry and Fishing";425
"SSS Seminars/Lectures";"..Mining and Quarrying";65
"SSS Seminars/Lectures";"..Manufacturing";2198
"SSS Seminars/Lectures";"..Electricity, Gas, Steam and Air Conditioning Supply";150
"SSS Seminars/Lectures";"..Water Supply; Sewerage, Waste Management and Remediation Activities";46
"SSS Seminars/Lectures";"..Construction";338
"SSS Seminars/Lectures";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2715
"SSS Seminars/Lectures";"..Transportation and Storage";346
"SSS Seminars/Lectures";"..Accommodation and Food Service Activities";1471
"SSS Seminars/Lectures";"..Information and Communication";235
"SSS Seminars/Lectures";"..Financial and Insurance Activities";492
"SSS Seminars/Lectures";"..Real Estate Activities";181
"SSS Seminars/Lectures";"..Professional, Scientific and Technical Activities";220
"SSS Seminars/Lectures";"..Administrative and Support Service Activities";755
"SSS Seminars/Lectures";"..Education Except Public Education";1326
"SSS Seminars/Lectures";"..Human Health and Social Work Activities Except Public Health Activities";381
"SSS Seminars/Lectures";"..Arts, Entertainment and  Recreation";87
"SSS Seminars/Lectures";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";93
"GSIS Seminars/Lectures";"ALL INDUSTRIES";346
"GSIS Seminars/Lectures";"..Agriculture, Forestry and Fishing";42
"GSIS Seminars/Lectures";"..Mining and Quarrying";1
"GSIS Seminars/Lectures";"..Manufacturing";36
"GSIS Seminars/Lectures";"..Electricity, Gas, Steam and Air Conditioning Supply";6
"GSIS Seminars/Lectures";"..Water Supply; Sewerage, Waste Management and Remediation Activities";71
"GSIS Seminars/Lectures";"..Construction";6
"GSIS Seminars/Lectures";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";72
"GSIS Seminars/Lectures";"..Transportation and Storage";4
"GSIS Seminars/Lectures";"..Accommodation and Food Service Activities";31
"GSIS Seminars/Lectures";"..Information and Communication";3
"GSIS Seminars/Lectures";"..Financial and Insurance Activities";22
"GSIS Seminars/Lectures";"..Real Estate Activities";7
"GSIS Seminars/Lectures";"..Professional, Scientific and Technical Activities";3
"GSIS Seminars/Lectures";"..Administrative and Support Service Activities";11
"GSIS Seminars/Lectures";"..Education Except Public Education";15
"GSIS Seminars/Lectures";"..Human Health and Social Work Activities Except Public Health Activities";13
"GSIS Seminars/Lectures";"..Arts, Entertainment and  Recreation";4
"GSIS Seminars/Lectures";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Bus/Van wrap";"ALL INDUSTRIES";50
"Bus/Van wrap";"..Agriculture, Forestry and Fishing";..
"Bus/Van wrap";"..Mining and Quarrying";..
"Bus/Van wrap";"..Manufacturing";13
"Bus/Van wrap";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Bus/Van wrap";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Bus/Van wrap";"..Construction";3
