"Percent Distribution of Wage and Salary Workers in the Non-Agricultural Sector by Sex"

"Indicator";"Sex";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Wage and Salary Workers in the Non-Agricultural Sector % Distribution";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Wage and Salary Workers in the Non-Agricultural Sector % Distribution";"..Men";60.6;61.0;60.9;60.4;59.6;59.1;58.8;58.1;58.7;59.3;58.6;58.1;58.1;58.3;58.1;58.1;58.2;58.6;58.8;59.0;58.7;63.3;61.3;61.2
"Wage and Salary Workers in the Non-Agricultural Sector % Distribution";"..Women";39.4;39.0;39.1;39.6;40.4;40.9;41.2;41.9;41.3;40.7;41.4;42.0;41.9;41.7;41.9;42.0;41.8;41.4;41.2;41.0;41.3;36.7;38.7;38.8
"Wage and Salary Workers in the Non-Agricultural Sector (000)";"TOTAL";9514;10278;10813;11062;11269;11443;11898;12127;12692;13539;13598;13825;14517;14740;15478;16338;16922;17694;18436;18869;19513;25240;22056;22896
"Wage and Salary Workers in the Non-Agricultural Sector (000)";"..Men";5766;6265;6581;6685;6716;6762;6996;7050;7456;8028;7966;8026;8434;8593;8992;9485;9847;10376;10834;11128;11456;15986;13526;14021
"Wage and Salary Workers in the Non-Agricultural Sector (000)";"..Women";3747;4013;4232;4377;4553;4681;4902;5078;5236;5511;5633;5800;6083;6148;6486;6854;7075;7317;7601;7741;8057;9254;8530;8875
