"Employed by Hours Actually Worked per Week in Primary Job by Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0423K3E4020.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sexes";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Women";"..49+";25.1;24.4;25.8;25.6;25.0;27.5;26.0;26.5;26.5;27.5;27.3;26.9;26.6;27.1;26.6;26.4;25.8;26.3;25.9;25.1;24.4;26.0;25.3;25.0
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Women";"..Not Reported";..;....;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Percentage distribution of employed by hours actually worked per week in primary job - Both Sexes";"Women";"..Did Not Work";1.6;1.4;1.7;2.1;1.8;1.5;2.0;2.2;1.6;2.2;1.5;1.7;1.4;1.6;1.7;1.3;1.4;1.3;1.2;1.4;1.3;1.0;0.9;0.9
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"TOTAL";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"TOTAL";"..Less Than 20 Hours";2419;2958;2599;2778;2873;2772;3702;4072;4021;4374;4281;4568;4320;4212;4671;4477;5078;5280;5005;5561;5477;5298;5577;5307
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"TOTAL";"..20-29";2925;3256;2734;2992;3117;2966;3593;3647;3647;3710;3681;3890;3951;3779;4121;4029;4214;4333;4117;4423;4331;4080;4138;3752
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"TOTAL";"..30-39";3383;3641;3207;3292;3570;3269;3622;3564;3644;3528;3678;3753;3982;3946;4153;4148;4156;4313;4192;4234;4064;3984;3935;3602
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"TOTAL";"..40-48";10896;11181;11359;11224;11777;11496;11448;11473;11925;12019;12558;12410;13243;13831;13661;14857;15177;14741;15820;15684;16302;17915;17707;19213
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"TOTAL";"..49+";5742;5836;6114;5876;5981;6589;6261;6683;6921;7348;7629;7495;7601;7824;7883;8048;8081;8461;8561;8233;8105;9323;8607;8928
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"TOTAL";"..Not Reported";....;1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"TOTAL";"..Did Not Work";301;308;351;467;421;356;531;623;479;634;486;519;462;496;571;475;486;474;423;516;461;398;370;354
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Men";"TOTAL";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19910;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Men";"..Less Than 20 Hours";1188;1426;1246;1431;1422;1423;1919;2124;2123;2369;2249;2426;2277;2220;2466;2332;2672;2778;2606;2917;2850;2722;3040;2763
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Men";"..20-29";1667;1899;1559;1743;1812;1787;2207;2233;2239;2339;2285;2396;2415;2311;2549;2456;2573;2666;2562;2725;2663;2525;2672;2385
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Men";"..30-39";2301;2494;2182;2267;2421;2256;2501;2449;2515;2484;2576;2611;2728;2732;2861;2848;2864;2958;2867;2863;2791;2714;2773;2460
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Men";"..40-48";7611;7791;7837;7678;8006;7752;7651;7560;7906;8026;8264;8165;8709;9148;8944;9681;9866;9580;10196;10157;10478;11657;11606;12618
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Men";"..49+";3394;3392;3602;3336;3359;3772;3335;3573;3802;4054;4242;4105;4136;4263;4245;4318;4311;4586;4679;4401;4358;5177;4744;4989
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Men";"..Not Reported";....;....;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Men";"..Did Not Work";156;165;184;259;231;201;310;366;289;374;295;309;277;286;339;288;288;281;240;301;267;240;231;209
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Women";"TOTAL";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Women";"..Less Than 20 Hours";1233;1533;1353;1347;1451;1349;1783;1948;1898;2005;2032;2142;2045;1992;2206;2145;2406;2502;2399;2645;2627;2576;2537;2543
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Women";"..20-29";1258;1357;1175;1249;1306;1180;1386;1414;1408;1371;1396;1494;1536;1468;1572;1573;1642;1666;1554;1698;1669;1554;1465;1367
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Women";"..30-39";1082;1147;1024;1025;1149;1012;1121;1116;1129;1045;1102;1142;1253;1215;1293;1301;1292;1355;1325;1371;1273;1270;1162;1142
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Women";"..40-48";3285;3390;3523;3546;3771;3744;3796;3913;4020;3993;4294;4245;4533;4683;4717;5176;5311;5161;5624;5526;5824;6259;6101;6595
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Women";"..49+";2348;2444;2512;2540;2621;2817;2925;3110;3119;3294;3387;3390;3465;3562;3638;3730;3770;3875;3882;3832;3747;4146;3863;3939
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Women";"..Not Reported";..;....;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total employed by hours actually worked per week in primary job - Both Sexes (000)";"Women";"..Did Not Work";145;143;168;209;190;154;221;257;190;259;192;209;185;209;232;188;198;192;183;214;194;159;138;146
