"Average Real Daily Basic Pay by Sex and Major Occupation Group (Based on 2002 PSOC)"

"Indicator";"Sex";"Major Occupation";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Technicians & Associate Professionals";..;..;..;..;..;..;502.09;520.73;501.08;475.76;462.93;500.57;461.00;451.02;442.52;441.14;444.61;444.78;463.06;454.61;456.07
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Clerks";..;..;..;..;..;..;407.34;409.49;405.17;397.01;402.39;435.15;423.01;408.37;407.33;420.60;415.17;421.48;433.45;425.86;436.89
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;246.38;239.92;238.85;235.64;221.79;215.13;221.93;213.57;218.02;215.04;212.93;207.01;214.29;219.46;227.97
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Farmers, Forestry Workers & Fishermen";..;..;..;..;..;..;148.83;160.24;151.02;159.63;133.12;159.10;145.71;134.79;144.09;153.10;176.44;404.47;195.01;164.57;332.80
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Trades and Related Workers";..;..;..;..;..;..;268.04;268.05;275.56;265.16;265.55;253.98;259.63;246.57;244.17;240.27;230.69;235.38;238.39;231.51;237.14
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Plant & Machine Operators & Assemblers";..;..;..;..;..;..;355.13;356.25;364.67;355.49;348.56;342.68;351.05;342.74;349.32;343.53;334.69;335.20;330.13;327.44;329.21
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Laborers and Unskilled Workers";..;..;..;..;..;..;168.53;168.68;166.14;162.01;152.76;149.54;154.82;146.41;145.59;149.62;147.29;150.40;155.15;158.35;164.87
"Average real daily basic pay by major occupation group, in 2012 PhP";"Women";"..Special Occupations";..;..;..;..;..;..;329.18;349.14;350.45;317.27;335.90;384.85;368.27;394.14;337.91;376.57;396.68;609.32;605.27;742.61;728.80
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"TOTAL";..;..;..;..;..;..;222.29;226.39;230.12;234.09;245.38;261.90;266.65;278.93;290.73;306.53;317.44;333.82;349.16;367.35;378.65
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;488.75;510.25;533.06;559.54;580.73;629.78;644.27;673.78;687.74;724.21;748.68;802.67;843.17;857.60;866.69
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Professionals";..;..;..;..;..;..;479.16;490.68;492.19;510.35;504.39;518.26;534.35;558.21;589.02;632.35;678.81;721.06;762.95;791.74;808.38
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Technicians & Associate Professionals";..;..;..;..;..;..;321.77;346.80;341.01;344.07;360.10;415.88;391.63;411.39;434.19;444.81;461.30;463.86;506.54;515.80;520.05
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Clerks";..;..;..;..;..;..;257.52;263.16;268.07;273.38;294.35;330.76;337.71;354.44;370.43;394.96;411.47;425.54;445.75;456.93;474.04
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;194.50;200.39;204.82;210.44;212.28;220.54;229.19;238.41;250.56;261.50;267.41;271.58;283.79;296.66;303.94
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Farmers, Forestry Workers & Fishermen";..;..;..;..;..;..;114.13;115.76;116.19;129.36;135.67;160.82;177.74;171.35;175.52;184.17;195.81;327.59;292.81;289.61;306.39
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Trades and Related Workers";..;..;..;..;..;..;198.58;203.96;211.55;218.10;228.88;248.53;252.11;263.41;272.70;281.47;291.51;304.62;312.11;325.27;337.80
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Plant & Machine Operators & Assemblers";..;..;..;..;..;..;221.66;220.80;228.62;233.27;248.62;263.97;278.10;286.51;296.76;310.17;321.58;336.33;347.81;360.01;370.22
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Laborers and Unskilled Workers";..;..;..;..;..;..;120.86;123.11;126.74;130.95;136.40;146.31;148.90;154.84;160.75;169.73;176.44;185.66;194.83;208.47;218.17
"Average daily basic pay by major occupation group (PhP)";"TOTAL";"..Special Occupations";..;..;..;..;..;..;319.96;348.83;386.56;387.82;434.26;458.28;498.17;487.47;525.32;513.45;580.50;722.44;762.16;843.76;823.80
"Average daily basic pay by major occupation group (PhP)";"Men";"TOTAL";..;..;..;..;..;..;219.03;223.37;228.63;232.00;245.82;264.76;268.79;279.17;290.64;304.67;313.42;327.80;341.66;359.52;370.79
"Average daily basic pay by major occupation group (PhP)";"Men";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;484.58;505.37;541.09;561.80;581.80;639.61;649.15;665.90;673.89;729.05;738.78;791.14;841.53;833.31;854.63
"Average daily basic pay by major occupation group (PhP)";"Men";"..Professionals";..;..;..;..;..;..;518.01;530.99;541.19;553.87;555.76;567.42;605.87;625.81;649.35;691.36;732.41;763.66;811.99;832.90;857.68
"Average daily basic pay by major occupation group (PhP)";"Men";"..Technicians & Associate Professionals";..;..;..;..;..;..;331.41;359.74;354.19;361.20;381.63;445.28;417.86;435.30;471.51;478.85;489.29;479.59;533.62;547.13;549.88
"Average daily basic pay by major occupation group (PhP)";"Men";"..Clerks";..;..;..;..;..;..;266.22;266.80;275.17;277.01;296.44;323.97;342.95;363.31;382.43;404.46;426.62;432.57;447.48;464.04;485.28
"Average daily basic pay by major occupation group (PhP)";"Men";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;228.26;238.16;242.66;247.38;250.26;263.29;270.89;281.31;294.05;309.59;314.45;321.58;334.08;345.15;352.45
"Average daily basic pay by major occupation group (PhP)";"Men";"..Farmers, Forestry Workers & Fishermen";..;..;..;..;..;..;116.29;116.79;117.47;129.97;138.91;163.36;183.11;174.37;179.13;187.50;197.39;323.33;294.85;293.90;297.62
"Average daily basic pay by major occupation group (PhP)";"Men";"..Trades and Related Workers";..;..;..;..;..;..;206.66;211.98;219.29;226.38;236.91;259.73;261.65;272.34;281.30;290.81;302.37;315.79;323.18;337.14;349.83
"Average daily basic pay by major occupation group (PhP)";"Men";"..Plant & Machine Operators & Assemblers";..;..;..;..;..;..;221.80;219.90;227.30;231.74;247.48;264.10;278.18;284.94;293.87;308.49;320.88;336.59;350.07;363.01;374.81
"Average daily basic pay by major occupation group (PhP)";"Men";"..Laborers and Unskilled Workers";..;..;..;..;..;..;131.49;133.63;138.29;142.86;152.21;166.35;165.40;172.96;179.80;188.64;195.79;204.94;213.89;230.19;239.93
"Average daily basic pay by major occupation group (PhP)";"Men";"..Special Occupations";..;..;..;..;..;..;335.05;358.67;397.52;403.88;454.30;471.55;520.02;500.45;546.64;537.43;608.23;729.05;768.10;846.97;826.67
"Average daily basic pay by major occupation group (PhP)";"Women";"TOTAL";..;..;..;..;..;..;227.52;231.11;232.52;237.53;244.71;257.60;263.42;278.56;290.88;309.32;323.53;343.04;360.70;379.34;390.68
"Average daily basic pay by major occupation group (PhP)";"Women";"..Officials of Government and Special Interest-Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;495.87;518.81;520.03;555.90;579.08;614.94;636.79;685.32;708.10;717.39;762.55;818.64;845.37;889.53;882.96
"Average daily basic pay by major occupation group (PhP)";"Women";"..Professionals";..;..;..;..;..;..;462.31;473.24;471.35;491.77;482.43;497.60;504.59;529.07;562.90;606.93;655.12;701.85;740.20;771.61;784.60
"Average daily basic pay by major occupation group (PhP)";"Women";"..Technicians & Associate Professionals";..;..;..;..;..;..;311.83;332.21;326.93;325.28;337.38;384.76;364.77;386.08;394.76;408.42;431.05;444.78;475.10;483.25;487.99
"Average daily basic pay by major occupation group (PhP)";"Women";"..Clerks";..;..;..;..;..;..;252.98;261.24;264.35;271.44;293.26;334.47;334.71;349.57;363.37;389.40;402.51;421.48;444.72;452.69;467.47
"Average daily basic pay by major occupation group (PhP)";"Women";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;153.02;153.06;155.84;161.11;161.64;165.36;175.60;182.82;194.49;199.09;206.44;207.01;219.86;233.29;243.93
"Average daily basic pay by major occupation group (PhP)";"Women";"..Farmers, Forestry Workers & Fishermen";..;..;..;..;..;..;92.43;102.23;98.53;109.14;97.02;122.29;115.29;115.38;128.54;141.74;171.06;404.47;200.08;174.94;356.10
"Average daily basic pay by major occupation group (PhP)";"Women";"..Trades and Related Workers";..;..;..;..;..;..;166.47;171.01;179.79;181.29;193.53;195.22;205.43;211.07;217.82;222.45;223.66;235.38;244.59;246.10;253.74
"Average daily basic pay by major occupation group (PhP)";"Women";"..Plant & Machine Operators & Assemblers";..;..;..;..;..;..;220.56;227.28;237.93;243.05;254.03;263.40;277.77;293.39;311.62;318.05;324.49;335.20;338.71;348.07;352.25
"Average daily basic pay by major occupation group (PhP)";"Women";"..Laborers and Unskilled Workers";..;..;..;..;..;..;104.67;107.61;108.40;110.77;111.33;114.94;122.50;125.33;129.88;138.52;142.80;150.40;159.18;168.33;176.41
"Average daily basic pay by major occupation group (PhP)";"Women";"..Special Occupations";..;..;..;..;..;..;204.44;222.74;228.65;216.92;244.80;295.81;291.39;337.39;301.44;348.64;384.59;609.32;621.01;789.39;779.82
