"Number of Households by Type of Building, Tenure Status of the Housing Unit/Lot, and Province/Highly Urbanized City: Philippines, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0061A6DTSH0.px/table/tableViewLayout1/?rxid=1e078637-ce19-499c-bf41-a4d1a933957b"
"Tenure Status of the Housing Unit/Lot";"Geographic Location";"All Types of Building";"Single House";"Duplex";"Apartment/ accessoria/rowhouse";"Condominium/ condotel";"Other multi-unit residential";"Commercial/ industrial/agricultural";"Institutional living quarter";"Other types of building";"Not Reported"
"Not reported";"....City of Makati";58755;2446;250;941;42355;12761;2;0;0;0
"Not reported";"....City of Muntinlupa";1368;1143;5;1;211;0;8;0;0;0
"Not reported";"....City of Parañaque";2210;144;4;0;2058;3;1;0;0;0
"Not reported";"....Pasay City";12191;1431;11;157;10570;22;0;0;0;0
"Not reported";"....City of Taguig";4468;253;2;17;1247;2949;0;0;0;0
"Not reported";"....Pateros";32;25;0;7;0;0;0;0;0;0
"Not reported";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";308;25;0;1;281;0;0;0;0;1
"Not reported";"....Abra";9;8;0;0;0;0;0;0;0;1
"Not reported";"....Apayao";2;2;0;0;0;0;0;0;0;0
"Not reported";"....Benguet *";1;1;0;0;0;0;0;0;0;0
"Not reported";"....Ifugao";14;14;0;0;0;0;0;0;0;0
"Not reported";"....Kalinga";0;0;0;0;0;0;0;0;0;0
"Not reported";"....Mountain Province";0;0;0;0;0;0;0;0;0;0
"Not reported";"....City of Baguio";282;0;0;1;281;0;0;0;0;0
"Not reported";"..REGION I (ILOCOS REGION)";330;303;16;5;2;2;1;0;0;1
"Not reported";"....Ilocos Norte";2;1;0;0;1;0;0;0;0;0
"Not reported";"....Ilocos Sur";1;1;0;0;0;0;0;0;0;0
"Not reported";"....La Union";3;3;0;0;0;0;0;0;0;0
"Not reported";"....Pangasinan";324;298;16;5;1;2;1;0;0;1
"Not reported";"..REGION II (CAGAYAN VALLEY)";30;30;0;0;0;0;0;0;0;0
"Not reported";"....Batanes";2;2;0;0;0;0;0;0;0;0
"Not reported";"....Cagayan";1;1;0;0;0;0;0;0;0;0
"Not reported";"....Isabela";13;13;0;0;0;0;0;0;0;0
"Not reported";"....Nueva Vizcaya";8;8;0;0;0;0;0;0;0;0
"Not reported";"....Quirino";6;6;0;0;0;0;0;0;0;0
"Not reported";"..REGION III (CENTRAL LUZON)";1439;1109;73;170;12;68;4;3;0;0
"Not reported";"....Aurora";11;11;0;0;0;0;0;0;0;0
"Not reported";"....Bataan";29;28;1;0;0;0;0;0;0;0
"Not reported";"....Bulacan";853;626;42;157;6;18;4;0;0;0
"Not reported";"....Nueva Ecija";36;34;1;0;1;0;0;0;0;0
"Not reported";"....Pampanga *";211;193;11;4;0;3;0;0;0;0
"Not reported";"....Tarlac";212;153;9;4;1;42;0;3;0;0
"Not reported";"....Zambales *";8;8;0;0;0;0;0;0;0;0
"Not reported";"....City of Angeles";75;56;9;5;0;5;0;0;0;0
"Not reported";"....City of Olongapo";4;0;0;0;4;0;0;0;0;0
"Not reported";"..REGION IV-A (CALABARZON)";831;469;40;87;216;16;2;0;0;1
"Not reported";"....Batangas";53;50;1;2;0;0;0;0;0;0
"Not reported";"....Cavite";638;332;35;80;174;14;2;0;0;1
"Not reported";"....Laguna";21;11;1;0;9;0;0;0;0;0
"Not reported";"....Quezon *";4;4;0;0;0;0;0;0;0;0
"Not reported";"....Rizal";114;71;3;5;33;2;0;0;0;0
"Not reported";"....City of Lucena";1;1;0;0;0;0;0;0;0;0
"Not reported";"..MIMAROPA REGION";79;78;0;0;0;0;1;0;0;0
"Not reported";"....Marinduque";56;55;0;0;0;0;1;0;0;0
"Not reported";"....Occidental Mindoro";11;11;0;0;0;0;0;0;0;0
"Not reported";"....Oriental Mindoro";8;8;0;0;0;0;0;0;0;0
"Not reported";"....Palawan *";2;2;0;0;0;0;0;0;0;0
"Not reported";"....Romblon";1;1;0;0;0;0;0;0;0;0
"Not reported";"....City of Puerto Princesa";1;1;0;0;0;0;0;0;0;0
"Not reported";"..REGION V (BICOL REGION)";87;86;1;0;0;0;0;0;0;0
"Not reported";"....Albay";8;8;0;0;0;0;0;0;0;0
"Not reported";"....Camarines Norte";5;5;0;0;0;0;0;0;0;0
"Not reported";"....Camarines Sur";21;21;0;0;0;0;0;0;0;0
"Not reported";"....Catanduanes";24;23;1;0;0;0;0;0;0;0
"Not reported";"....Masbate";21;21;0;0;0;0;0;0;0;0
"Not reported";"....Sorsogon";8;8;0;0;0;0;0;0;0;0
"Not reported";"..REGION VI (WESTERN VISAYAS)";513;442;20;30;4;16;1;0;0;0
"Not reported";"....Aklan";2;2;0;0;0;0;0;0;0;0
"Not reported";"....Antique";31;31;0;0;0;0;0;0;0;0
"Not reported";"....Capiz";20;17;2;0;0;0;1;0;0;0
"Not reported";"....Guimaras";10;10;0;0;0;0;0;0;0;0
"Not reported";"....Iloilo *";301;260;7;19;3;12;0;0;0;0
"Not reported";"....Negros Occidental *";16;16;0;0;0;0;0;0;0;0
"Not reported";"....City of Bacolod";30;22;0;7;1;0;0;0;0;0
"Not reported";"....City of Iloilo";103;84;11;4;0;4;0;0;0;0
"Not reported";"..REGION VII (CENTRAL VISAYAS)";502;346;11;5;133;7;0;0;0;0
"Not reported";"....Bohol";240;226;8;0;0;6;0;0;0;0
"Not reported";"....Cebu *";74;70;2;1;0;1;0;0;0;0
"Not reported";"....Negros Oriental";9;8;0;0;1;0;0;0;0;0
"Not reported";"....Siquijor";1;1;0;0;0;0;0;0;0;0
"Not reported";"....City of Cebu";87;19;0;2;66;0;0;0;0;0
"Not reported";"....City of Lapu-Lapu (Opon)";35;3;1;1;30;0;0;0;0;0
"Not reported";"....City of Mandaue";56;19;0;1;36;0;0;0;0;0
"Not reported";"..REGION VIII (EASTERN VISAYAS)";73;69;2;1;0;1;0;0;0;0
"Not reported";"....Biliran";2;2;0;0;0;0;0;0;0;0
"Not reported";"....Eastern Samar";13;13;0;0;0;0;0;0;0;0
"Not reported";"....Leyte *";19;19;0;0;0;0;0;0;0;0
"Not reported";"....Northern Samar";7;7;0;0;0;0;0;0;0;0
"Not reported";"....Samar (Western Samar)";27;24;2;0;0;1;0;0;0;0
"Not reported";"....Southern Leyte";4;4;0;0;0;0;0;0;0;0
"Not reported";"....City of Tacloban";1;0;0;1;0;0;0;0;0;0
"Not reported";"..REGION IX (ZAMBOANGA PENINSULA)";131;128;1;0;0;1;1;0;0;0
"Not reported";"....Zamboanga del Norte";3;3;0;0;0;0;0;0;0;0
"Not reported";"....Zamboanga del Sur *";17;17;0;0;0;0;0;0;0;0
"Not reported";"....Zamboanga Sibugay";1;1;0;0;0;0;0;0;0;0
"Not reported";"....City of Isabela **";52;51;0;0;0;1;0;0;0;0
"Not reported";"....City of Zamboanga";58;56;1;0;0;0;1;0;0;0
"Not reported";"..REGION X (NORTHERN MINDANAO)";86;81;1;0;4;0;0;0;0;0
"Not reported";"....Bukidnon";48;48;0;0;0;0;0;0;0;0
"Not reported";"....Camiguin";0;0;0;0;0;0;0;0;0;0
"Not reported";"....Lanao del Norte *";5;4;1;0;0;0;0;0;0;0
"Not reported";"....Misamis Occidental";7;7;0;0;0;0;0;0;0;0
"Not reported";"....Misamis Oriental *";9;9;0;0;0;0;0;0;0;0
"Not reported";"....City of Cagayan de Oro";15;11;0;0;4;0;0;0;0;0
"Not reported";"....City of Iligan";2;2;0;0;0;0;0;0;0;0
"Not reported";"..REGION XI (DAVAO REGION)";252;212;5;0;29;4;2;0;0;0
"Not reported";"....Davao de Oro (Compostela Valley)";35;30;2;0;1;0;2;0;0;0
"Not reported";"....Davao del Norte";77;72;1;0;1;3;0;0;0;0
"Not reported";"....Davao del Sur *";35;35;0;0;0;0;0;0;0;0
"Not reported";"....Davao Occidental";18;18;0;0;0;0;0;0;0;0
"Not reported";"....Davao Oriental";6;6;0;0;0;0;0;0;0;0
"Not reported";"....City of Davao";81;51;2;0;27;1;0;0;0;0
"Not reported";"..REGION XII (SOCCSKSARGEN)";72;61;0;11;0;0;0;0;0;0
"Not reported";"....Cotabato (North Cotabato)";6;6;0;0;0;0;0;0;0;0
"Not reported";"....Sarangani";3;3;0;0;0;0;0;0;0;0
"Not reported";"....South Cotabato *";18;18;0;0;0;0;0;0;0;0
"Not reported";"....Sultan Kudarat";17;17;0;0;0;0;0;0;0;0
"Not reported";"....City of General Santos (Dadiangas)";28;17;0;11;0;0;0;0;0;0
"Not reported";"..REGION XIII (CARAGA)";72;70;2;0;0;0;0;0;0;0
"Not reported";"....Agusan del Norte *";8;7;1;0;0;0;0;0;0;0
"Not reported";"....Agusan del Sur";17;17;0;0;0;0;0;0;0;0
"Not reported";"....Dinagat Islands";7;7;0;0;0;0;0;0;0;0
"Not reported";"....Surigao del Norte";13;12;1;0;0;0;0;0;0;0
"Not reported";"....Surigao del Sur";6;6;0;0;0;0;0;0;0;0
"Not reported";"....City of Butuan";21;21;0;0;0;0;0;0;0;0
"Not reported";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";12348;11199;943;0;6;199;1;0;0;0
"Not reported";"....Basilan";254;250;0;0;2;1;1;0;0;0
"Not reported";"....Lanao del Sur";491;471;10;0;0;10;0;0;0;0
"Not reported";"....Maguindanao";120;112;4;0;4;0;0;0;0;0
"Not reported";"....Sulu";11467;10350;929;0;0;188;0;0;0;0
"Not reported";"....Tawi-Tawi";16;16;0;0;0;0;0;0;0;0
"Not reported";"....Eight (8) Area Clusters ***";0;0;0;0;0;0;0;0;0;0
"Not applicable";"PHILIPPINES /a";1869;0;0;0;0;0;0;0;1869;0
"Not applicable";"..NATIONAL CAPITAL REGION (NCR)";436;0;0;0;0;0;0;0;436;0
"Not applicable";"....City of Manila";247;0;0;0;0;0;0;0;247;0
"Not applicable";"....City of Mandaluyong";8;0;0;0;0;0;0;0;8;0
"Not applicable";"....City of Marikina";2;0;0;0;0;0;0;0;2;0
"Not applicable";"....City of Pasig";2;0;0;0;0;0;0;0;2;0
"Not applicable";"....Quezon City";37;0;0;0;0;0;0;0;37;0
"Not applicable";"....City of San Juan";15;0;0;0;0;0;0;0;15;0
"Not applicable";"....City of Caloocan";7;0;0;0;0;0;0;0;7;0
"Not applicable";"....City of Malabon";44;0;0;0;0;0;0;0;44;0
"Not applicable";"....City of Navotas";10;0;0;0;0;0;0;0;10;0
"Not applicable";"....City of Valenzuela";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....City of Las Piñas";5;0;0;0;0;0;0;0;5;0
"Not applicable";"....City of Makati";16;0;0;0;0;0;0;0;16;0
"Not applicable";"....City of Muntinlupa";12;0;0;0;0;0;0;0;12;0
"Not applicable";"....City of Parañaque";9;0;0;0;0;0;0;0;9;0
"Not applicable";"....Pasay City";13;0;0;0;0;0;0;0;13;0
"Not applicable";"....City of Taguig";8;0;0;0;0;0;0;0;8;0
"Not applicable";"....Pateros";0;0;0;0;0;0;0;0;0;0
"Not applicable";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";47;0;0;0;0;0;0;0;47;0
"Not applicable";"....Abra";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Apayao";6;0;0;0;0;0;0;0;6;0
"Not applicable";"....Benguet *";32;0;0;0;0;0;0;0;32;0
"Not applicable";"....Ifugao";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Kalinga";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Mountain Province";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....City of Baguio";8;0;0;0;0;0;0;0;8;0
"Not applicable";"..REGION I (ILOCOS REGION)";50;0;0;0;0;0;0;0;50;0
"Not applicable";"....Ilocos Norte";6;0;0;0;0;0;0;0;6;0
"Not applicable";"....Ilocos Sur";3;0;0;0;0;0;0;0;3;0
"Not applicable";"....La Union";5;0;0;0;0;0;0;0;5;0
"Not applicable";"....Pangasinan";36;0;0;0;0;0;0;0;36;0
"Not applicable";"..REGION II (CAGAYAN VALLEY)";10;0;0;0;0;0;0;0;10;0
"Not applicable";"....Batanes";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....Cagayan";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Isabela";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Nueva Vizcaya";7;0;0;0;0;0;0;0;7;0
"Not applicable";"....Quirino";2;0;0;0;0;0;0;0;2;0
"Not applicable";"..REGION III (CENTRAL LUZON)";345;0;0;0;0;0;0;0;345;0
"Not applicable";"....Aurora";4;0;0;0;0;0;0;0;4;0
"Not applicable";"....Bataan";6;0;0;0;0;0;0;0;6;0
"Not applicable";"....Bulacan";247;0;0;0;0;0;0;0;247;0
"Not applicable";"....Nueva Ecija";7;0;0;0;0;0;0;0;7;0
"Not applicable";"....Pampanga *";10;0;0;0;0;0;0;0;10;0
"Not applicable";"....Tarlac";36;0;0;0;0;0;0;0;36;0
"Not applicable";"....Zambales *";17;0;0;0;0;0;0;0;17;0
"Not applicable";"....City of Angeles";16;0;0;0;0;0;0;0;16;0
"Not applicable";"....City of Olongapo";2;0;0;0;0;0;0;0;2;0
"Not applicable";"..REGION IV-A (CALABARZON)";449;0;0;0;0;0;0;0;449;0
"Not applicable";"....Batangas";67;0;0;0;0;0;0;0;67;0
"Not applicable";"....Cavite";344;0;0;0;0;0;0;0;344;0
"Not applicable";"....Laguna";21;0;0;0;0;0;0;0;21;0
"Not applicable";"....Quezon *";3;0;0;0;0;0;0;0;3;0
"Not applicable";"....Rizal";14;0;0;0;0;0;0;0;14;0
"Not applicable";"....City of Lucena";0;0;0;0;0;0;0;0;0;0
"Not applicable";"..MIMAROPA REGION";4;0;0;0;0;0;0;0;4;0
"Not applicable";"....Marinduque";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....Occidental Mindoro";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....Oriental Mindoro";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....Palawan *";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Romblon";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....City of Puerto Princesa";0;0;0;0;0;0;0;0;0;0
"Not applicable";"..REGION V (BICOL REGION)";53;0;0;0;0;0;0;0;53;0
"Not applicable";"....Albay";7;0;0;0;0;0;0;0;7;0
"Not applicable";"....Camarines Norte";10;0;0;0;0;0;0;0;10;0
"Not applicable";"....Camarines Sur";21;0;0;0;0;0;0;0;21;0
"Not applicable";"....Catanduanes";10;0;0;0;0;0;0;0;10;0
"Not applicable";"....Masbate";3;0;0;0;0;0;0;0;3;0
"Not applicable";"....Sorsogon";2;0;0;0;0;0;0;0;2;0
"Not applicable";"..REGION VI (WESTERN VISAYAS)";63;0;0;0;0;0;0;0;63;0
"Not applicable";"....Aklan";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....Antique";2;0;0;0;0;0;0;0;2;0
"Not applicable";"....Capiz";9;0;0;0;0;0;0;0;9;0
"Not applicable";"....Guimaras";2;0;0;0;0;0;0;0;2;0
"Not applicable";"....Iloilo *";29;0;0;0;0;0;0;0;29;0
"Not applicable";"....Negros Occidental *";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....City of Bacolod";6;0;0;0;0;0;0;0;6;0
"Not applicable";"....City of Iloilo";14;0;0;0;0;0;0;0;14;0
"Not applicable";"..REGION VII (CENTRAL VISAYAS)";73;0;0;0;0;0;0;0;73;0
"Not applicable";"....Bohol";17;0;0;0;0;0;0;0;17;0
"Not applicable";"....Cebu *";20;0;0;0;0;0;0;0;20;0
"Not applicable";"....Negros Oriental";12;0;0;0;0;0;0;0;12;0
"Not applicable";"....Siquijor";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....City of Cebu";15;0;0;0;0;0;0;0;15;0
"Not applicable";"....City of Lapu-Lapu (Opon)";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....City of Mandaue";7;0;0;0;0;0;0;0;7;0
"Not applicable";"..REGION VIII (EASTERN VISAYAS)";39;0;0;0;0;0;0;0;39;0
"Not applicable";"....Biliran";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Eastern Samar";4;0;0;0;0;0;0;0;4;0
"Not applicable";"....Leyte *";19;0;0;0;0;0;0;0;19;0
"Not applicable";"....Northern Samar";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....Samar (Western Samar)";4;0;0;0;0;0;0;0;4;0
"Not applicable";"....Southern Leyte";5;0;0;0;0;0;0;0;5;0
"Not applicable";"....City of Tacloban";6;0;0;0;0;0;0;0;6;0
"Not applicable";"..REGION IX (ZAMBOANGA PENINSULA)";31;0;0;0;0;0;0;0;31;0
"Not applicable";"....Zamboanga del Norte";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Zamboanga del Sur *";11;0;0;0;0;0;0;0;11;0
"Not applicable";"....Zamboanga Sibugay";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....City of Isabela **";3;0;0;0;0;0;0;0;3;0
"Not applicable";"....City of Zamboanga";16;0;0;0;0;0;0;0;16;0
"Not applicable";"..REGION X (NORTHERN MINDANAO)";25;0;0;0;0;0;0;0;25;0
"Not applicable";"....Bukidnon";9;0;0;0;0;0;0;0;9;0
"Not applicable";"....Camiguin";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Lanao del Norte *";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Misamis Occidental";5;0;0;0;0;0;0;0;5;0
"Not applicable";"....Misamis Oriental *";5;0;0;0;0;0;0;0;5;0
"Not applicable";"....City of Cagayan de Oro";5;0;0;0;0;0;0;0;5;0
"Not applicable";"....City of Iligan";1;0;0;0;0;0;0;0;1;0
"Not applicable";"..REGION XI (DAVAO REGION)";90;0;0;0;0;0;0;0;90;0
"Not applicable";"....Davao de Oro (Compostela Valley)";6;0;0;0;0;0;0;0;6;0
"Not applicable";"....Davao del Norte";8;0;0;0;0;0;0;0;8;0
"Not applicable";"....Davao del Sur *";15;0;0;0;0;0;0;0;15;0
"Not applicable";"....Davao Occidental";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Davao Oriental";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....City of Davao";60;0;0;0;0;0;0;0;60;0
"Not applicable";"..REGION XII (SOCCSKSARGEN)";96;0;0;0;0;0;0;0;96;0
"Not applicable";"....Cotabato (North Cotabato)";73;0;0;0;0;0;0;0;73;0
"Not applicable";"....Sarangani";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....South Cotabato *";6;0;0;0;0;0;0;0;6;0
"Not applicable";"....Sultan Kudarat";1;0;0;0;0;0;0;0;1;0
"Not applicable";"....City of General Santos (Dadiangas)";16;0;0;0;0;0;0;0;16;0
"Not applicable";"..REGION XIII (CARAGA)";27;0;0;0;0;0;0;0;27;0
"Not applicable";"....Agusan del Norte *";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Agusan del Sur";12;0;0;0;0;0;0;0;12;0
"Not applicable";"....Dinagat Islands";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Surigao del Norte";2;0;0;0;0;0;0;0;2;0
"Not applicable";"....Surigao del Sur";6;0;0;0;0;0;0;0;6;0
"Not applicable";"....City of Butuan";7;0;0;0;0;0;0;0;7;0
"Not applicable";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";31;0;0;0;0;0;0;0;31;0
"Not applicable";"....Basilan";3;0;0;0;0;0;0;0;3;0
"Not applicable";"....Lanao del Sur";23;0;0;0;0;0;0;0;23;0
"Not applicable";"....Maguindanao";5;0;0;0;0;0;0;0;5;0
"Not applicable";"....Sulu";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Tawi-Tawi";0;0;0;0;0;0;0;0;0;0
"Not applicable";"....Eight (8) Area Clusters ***";0;0;0;0;0;0;0;0;0;0
