"Number of Establishments Employing 20 or More Workers by Occupational Safety and Health (OSH) Policies/Programs Implemented and Major Industry Group, Philippines: 2012-2013 to 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/2001B3GO020.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"Occupational Safety and Health Policy/Program";"Major Industry Group";"2012-2013";"2015";"2017"
"DOLE-Approved Construction Safety and Health Program";"..Transportation and Storage";330;313;445
"DOLE-Approved Construction Safety and Health Program";"..Accommodation and Food Service Activities";1336;1856;2082
"DOLE-Approved Construction Safety and Health Program";"..Information and Communication";227;279;252
"DOLE-Approved Construction Safety and Health Program";"..Financial and Insurance Activities";47;402;385
"DOLE-Approved Construction Safety and Health Program";"..Real Estate Activities";150;174;231
"DOLE-Approved Construction Safety and Health Program";"..Professional, Scientific and Technical Activities";164;166;268
"DOLE-Approved Construction Safety and Health Program";"..Administrative and Support Service Activities";424;636;825
"DOLE-Approved Construction Safety and Health Program";"..Education Except Public Education";780;929;1189
"DOLE-Approved Construction Safety and Health Program";"..Human Health and Social Work Activities Except Public Health Activities";288;385;514
"DOLE-Approved Construction Safety and Health Program";"..Arts, Entertainment and  Recreation";78;50;79
"DOLE-Approved Construction Safety and Health Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";84;60;130
"Policy on Non-discrimination of Workers with PTB";"Total Establishments";9740;13344;16119
"Policy on Non-discrimination of Workers with PTB";"..Agriculture, Forestry and Fishing";307;338;371
"Policy on Non-discrimination of Workers with PTB";"..Mining and Quarrying";73;60;80
"Policy on Non-discrimination of Workers with PTB";"..Manufacturing";2096;2958;3330
"Policy on Non-discrimination of Workers with PTB";"..Electricity, Gas, Steam and Air Conditioning Supply";130;140;167
"Policy on Non-discrimination of Workers with PTB";"..Water Supply; Sewerage, Waste Management and Remediation Activities";62;72;72
"Policy on Non-discrimination of Workers with PTB";"..Construction";480;414;455
"Policy on Non-discrimination of Workers with PTB";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1915;2988;4116
"Policy on Non-discrimination of Workers with PTB";"..Transportation and Storage";390;464;551
"Policy on Non-discrimination of Workers with PTB";"..Accommodation and Food Service Activities";1418;2037;2374
"Policy on Non-discrimination of Workers with PTB";"..Information and Communication";198;341;388
"Policy on Non-discrimination of Workers with PTB";"..Financial and Insurance Activities";222;499;516
"Policy on Non-discrimination of Workers with PTB";"..Real Estate Activities";132;131;209
"Policy on Non-discrimination of Workers with PTB";"..Professional, Scientific and Technical Activities";198;261;303
"Policy on Non-discrimination of Workers with PTB";"..Administrative and Support Service Activities";607;994;1134
"Policy on Non-discrimination of Workers with PTB";"..Education Except Public Education";851;793;1065
"Policy on Non-discrimination of Workers with PTB";"..Human Health and Social Work Activities Except Public Health Activities";415;605;687
"Policy on Non-discrimination of Workers with PTB";"..Arts, Entertainment and  Recreation";80;88;107
"Policy on Non-discrimination of Workers with PTB";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";165;161;193
"Policy on Non-discrimination of Workers with HIV Infection";"Total Establishments";7818;12065;14692
"Policy on Non-discrimination of Workers with HIV Infection";"..Agriculture, Forestry and Fishing";199;276;260
"Policy on Non-discrimination of Workers with HIV Infection";"..Mining and Quarrying";35;61;69
"Policy on Non-discrimination of Workers with HIV Infection";"..Manufacturing";1642;2593;2993
"Policy on Non-discrimination of Workers with HIV Infection";"..Electricity, Gas, Steam and Air Conditioning Supply";108;133;155
"Policy on Non-discrimination of Workers with HIV Infection";"..Water Supply; Sewerage, Waste Management and Remediation Activities";33;30;59
"Policy on Non-discrimination of Workers with HIV Infection";"..Construction";354;328;405
"Policy on Non-discrimination of Workers with HIV Infection";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1476;2670;3764
"Policy on Non-discrimination of Workers with HIV Infection";"..Transportation and Storage";301;375;481
"Policy on Non-discrimination of Workers with HIV Infection";"..Accommodation and Food Service Activities";1294;1981;2259
"Policy on Non-discrimination of Workers with HIV Infection";"..Information and Communication";166;340;365
"Policy on Non-discrimination of Workers with HIV Infection";"..Financial and Insurance Activities";194;486;489
"Policy on Non-discrimination of Workers with HIV Infection";"..Real Estate Activities";121;109;181
"Policy on Non-discrimination of Workers with HIV Infection";"..Professional, Scientific and Technical Activities";210;227;297
"Policy on Non-discrimination of Workers with HIV Infection";"..Administrative and Support Service Activities";526;916;1109
"Policy on Non-discrimination of Workers with HIV Infection";"..Education Except Public Education";486;736;882
"Policy on Non-discrimination of Workers with HIV Infection";"..Human Health and Social Work Activities Except Public Health Activities";448;561;641
"Policy on Non-discrimination of Workers with HIV Infection";"..Arts, Entertainment and  Recreation";92;82;92
"Policy on Non-discrimination of Workers with HIV Infection";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";134;161;192
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"Total Establishments";8291;12316;15139
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Agriculture, Forestry and Fishing";199;279;290
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Mining and Quarrying";44;66;71
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Manufacturing";1679;2686;3060
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Electricity, Gas, Steam and Air Conditioning Supply";130;125;156
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Water Supply; Sewerage, Waste Management and Remediation Activities";51;54;66
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Construction";376;347;426
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1600;2693;3847
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Transportation and Storage";349;363;471
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Accommodation and Food Service Activities";1322;2054;2360
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Information and Communication";185;322;374
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Financial and Insurance Activities";199;511;471
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Real Estate Activities";150;125;203
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Professional, Scientific and Technical Activities";214;242;288
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Administrative and Support Service Activities";607;935;1148
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Education Except Public Education";557;715;927
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Human Health and Social Work Activities Except Public Health Activities";399;550;671
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Arts, Entertainment and  Recreation";92;90;104
"Policy on Non-discrimination of Workers with Hepatitis B Infection";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";139;159;207
"Accident Prevention Program";"Total Establishments";19227;19676;22098
"Accident Prevention Program";"..Agriculture, Forestry and Fishing";671;496;653
"Accident Prevention Program";"..Mining and Quarrying";131;114;121
"Accident Prevention Program";"..Manufacturing";4301;4377;4504
"Accident Prevention Program";"..Electricity, Gas, Steam and Air Conditioning Supply";311;192;233
"Accident Prevention Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";112;148;151
"Accident Prevention Program";"..Construction";822;690;779
"Accident Prevention Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3901;4343;5280
"Accident Prevention Program";"..Transportation and Storage";794;665;777
"Accident Prevention Program";"..Accommodation and Food Service Activities";2748;2774;3069
"Accident Prevention Program";"..Information and Communication";375;471;446
"Accident Prevention Program";"..Financial and Insurance Activities";383;694;686
"Accident Prevention Program";"..Real Estate Activities";291;248;310
"Accident Prevention Program";"..Professional, Scientific and Technical Activities";331;327;403
"Accident Prevention Program";"..Administrative and Support Service Activities";1018;1138;1313
"Accident Prevention Program";"..Education Except Public Education";2171;2019;2220
"Accident Prevention Program";"..Human Health and Social Work Activities Except Public Health Activities";509;680;765
"Accident Prevention Program";"..Arts, Entertainment and  Recreation";139;140;173
"Accident Prevention Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";219;160;215
"Accident Investigation";"Total Establishments";17745;..;..
"Accident Investigation";"..Agriculture, Forestry and Fishing";643;..;..
"Accident Investigation";"..Mining and Quarrying";124;..;..
"Accident Investigation";"..Manufacturing";3957;..;..
"Accident Investigation";"..Electricity, Gas, Steam and Air Conditioning Supply";331;..;..
"Accident Investigation";"..Water Supply; Sewerage, Waste Management and Remediation Activities";139;..;..
"Accident Investigation";"..Construction";735;..;..
"Accident Investigation";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3347;..;..
"Accident Investigation";"..Transportation and Storage";763;..;..
"Accident Investigation";"..Accommodation and Food Service Activities";2685;..;..
"Accident Investigation";"..Information and Communication";353;..;..
"Accident Investigation";"..Financial and Insurance Activities";377;..;..
"Accident Investigation";"..Real Estate Activities";243;..;..
"Accident Investigation";"..Professional, Scientific and Technical Activities";341;..;..
"Accident Investigation";"..Administrative and Support Service Activities";1065;..;..
"Accident Investigation";"..Education Except Public Education";1884;..;..
"Accident Investigation";"..Human Health and Social Work Activities Except Public Health Activities";462;..;..
"Accident Investigation";"..Arts, Entertainment and  Recreation";133;..;..
"Accident Investigation";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";163;..;..
"Emergency Response Preparedness Program";"Total Establishments";20501;21855;24249
"Emergency Response Preparedness Program";"..Agriculture, Forestry and Fishing";650;534;683
"Emergency Response Preparedness Program";"..Mining and Quarrying";134;103;122
"Emergency Response Preparedness Program";"..Manufacturing";4031;4430;4614
"Emergency Response Preparedness Program";"..Electricity, Gas, Steam and Air Conditioning Supply";303;183;251
"Emergency Response Preparedness Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";147;172;205
"Emergency Response Preparedness Program";"..Construction";646;615;735
"Emergency Response Preparedness Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3869;4578;5585
"Emergency Response Preparedness Program";"..Transportation and Storage";832;699;804
"Emergency Response Preparedness Program";"..Accommodation and Food Service Activities";2859;2984;3216
"Emergency Response Preparedness Program";"..Information and Communication";520;573;560
"Emergency Response Preparedness Program";"..Financial and Insurance Activities";690;1058;966
"Emergency Response Preparedness Program";"..Real Estate Activities";292;272;305
"Emergency Response Preparedness Program";"..Professional, Scientific and Technical Activities";349;461;503
"Emergency Response Preparedness Program";"..Administrative and Support Service Activities";1345;1344;1493
"Emergency Response Preparedness Program";"..Education Except Public Education";2764;2632;2852
"Emergency Response Preparedness Program";"..Human Health and Social Work Activities Except Public Health Activities";695;827;932
"Emergency Response Preparedness Program";"..Arts, Entertainment and  Recreation";149;179;174
"Emergency Response Preparedness Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";227;213;249
"Tuberculosis Prevention and Control Program";"Total Establishments";9891;12607;14850
"Tuberculosis Prevention and Control Program";"..Agriculture, Forestry and Fishing";444;314;334
"Tuberculosis Prevention and Control Program";"..Mining and Quarrying";58;66;71
"Tuberculosis Prevention and Control Program";"..Manufacturing";2287;2843;3156
"Tuberculosis Prevention and Control Program";"..Electricity, Gas, Steam and Air Conditioning Supply";181;130;159
"Tuberculosis Prevention and Control Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";74;67;56
"Tuberculosis Prevention and Control Program";"..Construction";382;383;437
"Tuberculosis Prevention and Control Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1889;2640;3603
"Tuberculosis Prevention and Control Program";"..Transportation and Storage";335;393;477
"Tuberculosis Prevention and Control Program";"..Accommodation and Food Service Activities";1454;1911;2249
"Tuberculosis Prevention and Control Program";"..Information and Communication";232;291;344
"Tuberculosis Prevention and Control Program";"..Financial and Insurance Activities";125;484;447
"Tuberculosis Prevention and Control Program";"..Real Estate Activities";74;92;178
"Tuberculosis Prevention and Control Program";"..Professional, Scientific and Technical Activities";105;205;276
"Tuberculosis Prevention and Control Program";"..Administrative and Support Service Activities";553;925;1068
"Tuberculosis Prevention and Control Program";"..Education Except Public Education";907;921;991
"Tuberculosis Prevention and Control Program";"..Human Health and Social Work Activities Except Public Health Activities";612;696;740
"Tuberculosis Prevention and Control Program";"..Arts, Entertainment and  Recreation";55;83;73
"Tuberculosis Prevention and Control Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";123;164;190
"Heat Stress Management Program";"Total Establishments";..;0;11090
"Heat Stress Management Program";"..Agriculture, Forestry and Fishing";..;0;283
"Heat Stress Management Program";"..Mining and Quarrying";..;0;69
"Heat Stress Management Program";"..Manufacturing";..;0;2369
"Heat Stress Management Program";"..Electricity, Gas, Steam and Air Conditioning Supply";..;0;128
"Heat Stress Management Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..;0;58
"Heat Stress Management Program";"..Construction";..;0;439
"Heat Stress Management Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;0;2727
"Heat Stress Management Program";"..Transportation and Storage";..;0;390
"Heat Stress Management Program";"..Accommodation and Food Service Activities";..;0;1458
"Heat Stress Management Program";"..Information and Communication";..;0;237
"Heat Stress Management Program";"..Financial and Insurance Activities";..;0;330
"Heat Stress Management Program";"..Real Estate Activities";..;0;144
"Heat Stress Management Program";"..Professional, Scientific and Technical Activities";..;0;207
"Heat Stress Management Program";"..Administrative and Support Service Activities";..;0;714
"Heat Stress Management Program";"..Education Except Public Education";..;0;887
"Heat Stress Management Program";"..Human Health and Social Work Activities Except Public Health Activities";..;0;443
"Heat Stress Management Program";"..Arts, Entertainment and  Recreation";..;0;65
"Heat Stress Management Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..;0;141
"Respiratory Protection Program";"Total Establishments";..;0;11995
"Respiratory Protection Program";"..Agriculture, Forestry and Fishing";..;0;306
"Respiratory Protection Program";"..Mining and Quarrying";..;0;75
"Respiratory Protection Program";"..Manufacturing";..;0;2687
"Respiratory Protection Program";"..Electricity, Gas, Steam and Air Conditioning Supply";..;0;120
"Respiratory Protection Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..;0;57
"Respiratory Protection Program";"..Construction";..;0;452
"Respiratory Protection Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;0;2930
"Respiratory Protection Program";"..Transportation and Storage";..;0;376
"Respiratory Protection Program";"..Accommodation and Food Service Activities";..;0;1612
"Respiratory Protection Program";"..Information and Communication";..;0;236
"Respiratory Protection Program";"..Financial and Insurance Activities";..;0;316
"Respiratory Protection Program";"..Real Estate Activities";..;0;146
"Respiratory Protection Program";"..Professional, Scientific and Technical Activities";..;0;219
"Respiratory Protection Program";"..Administrative and Support Service Activities";..;0;772
"Respiratory Protection Program";"..Education Except Public Education";..;0;906
"Respiratory Protection Program";"..Human Health and Social Work Activities Except Public Health Activities";..;0;571
"Respiratory Protection Program";"..Arts, Entertainment and  Recreation";..;0;76
"Respiratory Protection Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..;0;141
"Anti-Sexual Harassment Program";"Total Establishments";..;18100;18673
"Anti-Sexual Harassment Program";"..Agriculture, Forestry and Fishing";..;365;383
"Anti-Sexual Harassment Program";"..Mining and Quarrying";..;64;83
"Anti-Sexual Harassment Program";"..Manufacturing";..;3389;3536
"Anti-Sexual Harassment Program";"..Electricity, Gas, Steam and Air Conditioning Supply";..;168;176
"Anti-Sexual Harassment Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..;195;160
"Anti-Sexual Harassment Program";"..Construction";..;502;494
"Anti-Sexual Harassment Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;3991;4492
"Anti-Sexual Harassment Program";"..Transportation and Storage";..;533;551
"Anti-Sexual Harassment Program";"..Accommodation and Food Service Activities";..;2853;2677
"Anti-Sexual Harassment Program";"..Information and Communication";..;489;483
"Anti-Sexual Harassment Program";"..Financial and Insurance Activities";..;900;775
"Anti-Sexual Harassment Program";"..Real Estate Activities";..;192;237
"Anti-Sexual Harassment Program";"..Professional, Scientific and Technical Activities";..;358;387
"Anti-Sexual Harassment Program";"..Administrative and Support Service Activities";..;1219;1260
"Anti-Sexual Harassment Program";"..Education Except Public Education";..;1889;1919
"Anti-Sexual Harassment Program";"..Human Health and Social Work Activities Except Public Health Activities";..;632;729
"Anti-Sexual Harassment Program";"..Arts, Entertainment and  Recreation";..;135;112
"Anti-Sexual Harassment Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..;226;219
"HIV and AIDS Prevention and Control Policy and Program";"Total Establishments";8049;13751;15074
"HIV and AIDS Prevention and Control Policy and Program";"..Agriculture, Forestry and Fishing";110;263;250
"HIV and AIDS Prevention and Control Policy and Program";"..Mining and Quarrying";27;46;66
"HIV and AIDS Prevention and Control Policy and Program";"..Manufacturing";1617;2803;2986
"HIV and AIDS Prevention and Control Policy and Program";"..Electricity, Gas, Steam and Air Conditioning Supply";121;134;164
"HIV and AIDS Prevention and Control Policy and Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";41;56;55
"HIV and AIDS Prevention and Control Policy and Program";"..Construction";351;419;409
"HIV and AIDS Prevention and Control Policy and Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1413;2954;3631
"HIV and AIDS Prevention and Control Policy and Program";"..Transportation and Storage";266;372;459
"HIV and AIDS Prevention and Control Policy and Program";"..Accommodation and Food Service Activities";1377;2201;2385
"HIV and AIDS Prevention and Control Policy and Program";"..Information and Communication";182;351;371
"HIV and AIDS Prevention and Control Policy and Program";"..Financial and Insurance Activities";108;665;536
"HIV and AIDS Prevention and Control Policy and Program";"..Real Estate Activities";87;120;189
"HIV and AIDS Prevention and Control Policy and Program";"..Professional, Scientific and Technical Activities";123;260;281
"HIV and AIDS Prevention and Control Policy and Program";"..Administrative and Support Service Activities";629;1058;1152
"HIV and AIDS Prevention and Control Policy and Program";"..Education Except Public Education";775;1078;1138
"HIV and AIDS Prevention and Control Policy and Program";"..Human Health and Social Work Activities Except Public Health Activities";617;664;717
"HIV and AIDS Prevention and Control Policy and Program";"..Arts, Entertainment and  Recreation";54;97;89
"HIV and AIDS Prevention and Control Policy and Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";153;210;197
"Indoor Air Quality Program";"Total Establishments";8759;9400;12595
"Indoor Air Quality Program";"..Agriculture, Forestry and Fishing";220;239;340
"Indoor Air Quality Program";"..Mining and Quarrying";53;54;53
"Indoor Air Quality Program";"..Manufacturing";2273;2222;2621
"Indoor Air Quality Program";"..Electricity, Gas, Steam and Air Conditioning Supply";113;98;148
"Indoor Air Quality Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";79;60;77
"Indoor Air Quality Program";"..Construction";356;324;401
"Indoor Air Quality Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1624;1859;2891
"Indoor Air Quality Program";"..Transportation and Storage";196;229;354
"Indoor Air Quality Program";"..Accommodation and Food Service Activities";1355;1552;1904
"Indoor Air Quality Program";"..Information and Communication";220;189;284
"Indoor Air Quality Program";"..Financial and Insurance Activities";171;398;404
"Indoor Air Quality Program";"..Real Estate Activities";60;96;171
"Indoor Air Quality Program";"..Professional, Scientific and Technical Activities";165;165;287
"Indoor Air Quality Program";"..Administrative and Support Service Activities";399;533;766
"Indoor Air Quality Program";"..Education Except Public Education";1066;906;1231
"Indoor Air Quality Program";"..Human Health and Social Work Activities Except Public Health Activities";290;357;449
"Indoor Air Quality Program";"..Arts, Entertainment and  Recreation";44;67;67
"Indoor Air Quality Program";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";74;52;146
"Drug-Free Workplace Policy and Program";"Total Establishments";20440;23140;24870
"Drug-Free Workplace Policy and Program";"..Agriculture, Forestry and Fishing";594;518;642
"Drug-Free Workplace Policy and Program";"..Mining and Quarrying";108;96;118
"Drug-Free Workplace Policy and Program";"..Manufacturing";3912;4612;4679
"Drug-Free Workplace Policy and Program";"..Electricity, Gas, Steam and Air Conditioning Supply";352;196;239
"Drug-Free Workplace Policy and Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";166;203;260
"Drug-Free Workplace Policy and Program";"..Construction";710;700;760
