"Number of Establishments Employing 20 or More Workers by Awareness on Employees' Compensation Commission (ECC) and Employees' Compensation Program (ECP), Dissemination, Maintainance of EC Logbook, Availment of ECP Benefits and Services, and Provision of As"

"Indicators";"Major Industry Group";"2017"
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3787
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Transportation and Storage";574
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Accommodation and Food Service Activities";2006
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Information and Communication";286
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Financial and Insurance Activities";656
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Real Estate Activities";215
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Professional, Scientific and Technical Activities";313
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Administrative and Support Service Activities";1043
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Education Except Public Education";1581
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Human Health and Social Work Activities Except Public Health Activities";522
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Arts, Entertainment and  Recreation";101
"With Employees Who Availed ECP Benefits (2015 - 2017)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";132
"With Employees Who Availed ECP Services (2015 - 2017)";"ALL INDUSTRIES";6201
"With Employees Who Availed ECP Services (2015 - 2017)";"..Agriculture, Forestry and Fishing";242
"With Employees Who Availed ECP Services (2015 - 2017)";"..Mining and Quarrying";36
"With Employees Who Availed ECP Services (2015 - 2017)";"..Manufacturing";1337
"With Employees Who Availed ECP Services (2015 - 2017)";"..Electricity, Gas, Steam and Air Conditioning Supply";94
"With Employees Who Availed ECP Services (2015 - 2017)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";49
"With Employees Who Availed ECP Services (2015 - 2017)";"..Construction";242
"With Employees Who Availed ECP Services (2015 - 2017)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1363
"With Employees Who Availed ECP Services (2015 - 2017)";"..Transportation and Storage";212
"With Employees Who Availed ECP Services (2015 - 2017)";"..Accommodation and Food Service Activities";769
"With Employees Who Availed ECP Services (2015 - 2017)";"..Information and Communication";91
"With Employees Who Availed ECP Services (2015 - 2017)";"..Financial and Insurance Activities";251
"With Employees Who Availed ECP Services (2015 - 2017)";"..Real Estate Activities";81
"With Employees Who Availed ECP Services (2015 - 2017)";"..Professional, Scientific and Technical Activities";113
"With Employees Who Availed ECP Services (2015 - 2017)";"..Administrative and Support Service Activities";409
"With Employees Who Availed ECP Services (2015 - 2017)";"..Education Except Public Education";623
"With Employees Who Availed ECP Services (2015 - 2017)";"..Human Health and Social Work Activities Except Public Health Activities";204
"With Employees Who Availed ECP Services (2015 - 2017)";"..Arts, Entertainment and  Recreation";46
"With Employees Who Availed ECP Services (2015 - 2017)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";39
"Provided Assistance in Availing ECP Benefits and/or Services";"ALL INDUSTRIES";15619
"Provided Assistance in Availing ECP Benefits and/or Services";"..Agriculture, Forestry and Fishing";520
"Provided Assistance in Availing ECP Benefits and/or Services";"..Mining and Quarrying";69
"Provided Assistance in Availing ECP Benefits and/or Services";"..Manufacturing";3359
"Provided Assistance in Availing ECP Benefits and/or Services";"..Electricity, Gas, Steam and Air Conditioning Supply";198
"Provided Assistance in Availing ECP Benefits and/or Services";"..Water Supply; Sewerage, Waste Management and Remediation Activities";116
"Provided Assistance in Availing ECP Benefits and/or Services";"..Construction";539
"Provided Assistance in Availing ECP Benefits and/or Services";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3647
"Provided Assistance in Availing ECP Benefits and/or Services";"..Transportation and Storage";566
"Provided Assistance in Availing ECP Benefits and/or Services";"..Accommodation and Food Service Activities";1906
"Provided Assistance in Availing ECP Benefits and/or Services";"..Information and Communication";286
"Provided Assistance in Availing ECP Benefits and/or Services";"..Financial and Insurance Activities";628
"Provided Assistance in Availing ECP Benefits and/or Services";"..Real Estate Activities";195
"Provided Assistance in Availing ECP Benefits and/or Services";"..Professional, Scientific and Technical Activities";313
"Provided Assistance in Availing ECP Benefits and/or Services";"..Administrative and Support Service Activities";1022
"Provided Assistance in Availing ECP Benefits and/or Services";"..Education Except Public Education";1517
"Provided Assistance in Availing ECP Benefits and/or Services";"..Human Health and Social Work Activities Except Public Health Activities";511
"Provided Assistance in Availing ECP Benefits and/or Services";"..Arts, Entertainment and  Recreation";101
"Provided Assistance in Availing ECP Benefits and/or Services";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";124
