"Annual Direct Wages and Salaries Per Employee in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"

"..Financial and Insurance Activities";"..Commissions";12701;1984
"..Financial and Insurance Activities";"..Overtime, Night Shift and Premium Pay";6555;8240
"..Financial and Insurance Activities";"..Bonus, Productivity, Performance and Other Incentive Schemes";9436;269865
"..Financial and Insurance Activities";"..Cost of Living Allowances and Other Regularly Paid Allowances";6388;7237
"..Real Estate Activities";"Total";244162;285234
"..Real Estate Activities";"..Pay for Normal/Regular Working Time";222753;271197
"..Real Estate Activities";"..Commissions";6802;a
"..Real Estate Activities";"..Overtime, Night Shift and Premium Pay";5246;7547
"..Real Estate Activities";"..Bonus, Productivity, Performance and Other Incentive Schemes";2165;3178
"..Real Estate Activities";"..Cost of Living Allowances and Other Regularly Paid Allowances";7196;3260
"..Professional, Scientific, and Technical Activities";"Total";396057;298923
"..Professional, Scientific, and Technical Activities";"..Pay for Normal/Regular Working Time";341329;265914
"..Professional, Scientific, and Technical Activities";"..Commissions";20848;5004
"..Professional, Scientific, and Technical Activities";"..Overtime, Night Shift and Premium Pay";12941;10326
"..Professional, Scientific, and Technical Activities";"..Bonus, Productivity, Performance and Other Incentive Schemes";11535;7418
"..Professional, Scientific, and Technical Activities";"..Cost of Living Allowances and Other Regularly Paid Allowances";9404;10262
"..Administrative and Support Service Activities";"Total";201814;232215
"..Administrative and Support Service Activities";"..Pay for Normal/Regular Working Time";171580;197361
"..Administrative and Support Service Activities";"..Commissions";799;1527
"..Administrative and Support Service Activities";"..Overtime, Night Shift and Premium Pay";14177;14732
"..Administrative and Support Service Activities";"..Bonus, Productivity, Performance and Other Incentive Schemes";5700;9365
"..Administrative and Support Service Activities";"..Cost of Living Allowances and Other Regularly Paid Allowances";9559;9230
"..Education Except Public Education";"Total";186982;215432
"..Education Except Public Education";"..Pay for Normal/Regular Working Time";178639;204429
"..Education Except Public Education";"..Commissions";a;464
"..Education Except Public Education";"..Overtime, Night Shift and Premium Pay";2062;2354
"..Education Except Public Education";"..Bonus, Productivity, Performance and Other Incentive Schemes";1921;2677
"..Education Except Public Education";"..Cost of Living Allowances and Other Regularly Paid Allowances";4313;5507
"..Human Health and Social Work Activities";"Total";184890;211552
"..Human Health and Social Work Activities";"..Pay for Normal/Regular Working Time";137403;188578
"..Human Health and Social Work Activities";"..Commissions";253;801
"..Human Health and Social Work Activities";"..Overtime, Night Shift and Premium Pay";43220;15280
"..Human Health and Social Work Activities";"..Bonus, Productivity, Performance and Other Incentive Schemes";1063;3033
"..Human Health and Social Work Activities";"..Cost of Living Allowances and Other Regularly Paid Allowances";2951;3859
"..Arts, Entertainment and Recreation";"Total";195755;320449
"..Arts, Entertainment and Recreation";"..Pay for Normal/Regular Working Time";150584;298376
"..Arts, Entertainment and Recreation";"..Commissions";a;0
"..Arts, Entertainment and Recreation";"..Overtime, Night Shift and Premium Pay";4770;6801
"..Arts, Entertainment and Recreation";"..Bonus, Productivity, Performance and Other Incentive Schemes";8107;9972
"..Arts, Entertainment and Recreation";"..Cost of Living Allowances and Other Regularly Paid Allowances";32215;5301
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total";162740;348825
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Pay for Normal/Regular Working Time";142175;171110
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Commissions";6369;167547
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Overtime, Night Shift and Premium Pay";8621;5897
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Bonus, Productivity, Performance and Other Incentive Schemes";2810;3339
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost of Living Allowances and Other Regularly Paid Allowances";2765;932
