"Annual Employer’s Social Security Expenditures Per Employee in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"

"..Accommodation and Food Service Activities";"..Retirement and Termination/ Separation Pay";1341;962
"..Information and Communications";"Total";49255;37843
"..Information and Communications";"..Compulsory Social Security Expenditures";15532;13224
"..Information and Communications";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";15615;2544
"..Information and Communications";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";267;1664
"..Information and Communications";"..Cost of Medical Care and Health Services";3915;6078
"..Information and Communications";"..Retirement and Termination/ Separation Pay";13927;14333
"..Financial and Insurance Activities";"Total";30057;171382
"..Financial and Insurance Activities";"..Compulsory Social Security Expenditures";14314;153284
"..Financial and Insurance Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";2661;5093
"..Financial and Insurance Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";259;714
"..Financial and Insurance Activities";"..Cost of Medical Care and Health Services";4334;4403
"..Financial and Insurance Activities";"..Retirement and Termination/ Separation Pay";8489;7888
"..Real Estate Activities";"Total";26067;26436
"..Real Estate Activities";"..Compulsory Social Security Expenditures";13623;17277
"..Real Estate Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";237;1165
"..Real Estate Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";135;693
"..Real Estate Activities";"..Cost of Medical Care and Health Services";6008;2378
"..Real Estate Activities";"..Retirement and Termination/ Separation Pay";6064;4923
"..Professional, Scientific, and Technical Activities";"Total";33450;26643
"..Professional, Scientific, and Technical Activities";"..Compulsory Social Security Expenditures";14249;14922
"..Professional, Scientific, and Technical Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";4967;2144
"..Professional, Scientific, and Technical Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";307;181
"..Professional, Scientific, and Technical Activities";"..Cost of Medical Care and Health Services";3400;3529
"..Professional, Scientific, and Technical Activities";"..Retirement and Termination/ Separation Pay";10526;5867
"..Administrative and Support Service Activities";"Total";15818;22946
"..Administrative and Support Service Activities";"..Compulsory Social Security Expenditures";11202;16856
"..Administrative and Support Service Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";2142;2288
"..Administrative and Support Service Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";258;460
"..Administrative and Support Service Activities";"..Cost of Medical Care and Health Services";1045;2113
"..Administrative and Support Service Activities";"..Retirement and Termination/ Separation Pay";1172;1229
"..Education Except Public Education";"Total";60773;21613
"..Education Except Public Education";"..Compulsory Social Security Expenditures";53104;13675
"..Education Except Public Education";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";1090;1559
"..Education Except Public Education";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";1187;440
"..Education Except Public Education";"..Cost of Medical Care and Health Services";1150;1476
"..Education Except Public Education";"..Retirement and Termination/ Separation Pay";4242;4463
"..Human Health and Social Work Activities";"Total";15802;22285
"..Human Health and Social Work Activities";"..Compulsory Social Security Expenditures";11285;13654
"..Human Health and Social Work Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";271;1023
"..Human Health and Social Work Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";161;362
"..Human Health and Social Work Activities";"..Cost of Medical Care and Health Services";1706;3965
"..Human Health and Social Work Activities";"..Retirement and Termination/ Separation Pay";2378;3282
"..Arts, Entertainment and Recreation";"Total";19976;28217
"..Arts, Entertainment and Recreation";"..Compulsory Social Security Expenditures";12755;11004
"..Arts, Entertainment and Recreation";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";1107;6622
"..Arts, Entertainment and Recreation";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";399;393
"..Arts, Entertainment and Recreation";"..Cost of Medical Care and Health Services";1849;568
"..Arts, Entertainment and Recreation";"..Retirement and Termination/ Separation Pay";3866;9630
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total";15598;20063
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Compulsory Social Security Expenditures";12642;14472
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Collectively Agreed, Contractual and Non-Obligatory Contributions to Private Social Security Schemes and Insurance";134;801
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";187;a
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost of Medical Care and Health Services";591;3578
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Retirement and Termination/ Separation Pay";2044;1199
