"Deaths : Number of Registered Infant Deaths by Usual Residence (Region,Province and City/Municipality) and Month of Occurrence, Philippines: 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__DE/3071A1BVDA6.px/table/tableViewLayout1/?rxid=21cfd4f5-daa7-4747-be89-6068d4de5afd"
"Geolocation";"Total";"January";"February";"March";"April";"May";"June";"July";"August";"September";"October";"November";"December"
"....Davao Del Norte";271;27;26;18;19;20;26;29;24;15;25;21;21
"....Davao Del Sur";482;44;30;39;44;35;38;43;41;23;47;42;56
"....Davao Oriental";85;6;4;8;9;7;4;8;12;6;11;3;7
"....Compostella Valley";138;9;15;8;5;13;7;14;14;12;9;19;13
"....Davao Occidental";24;..;6;..;1;1;1;4;2;1;4;1;3
"..REGION XII- SOCCSKSARGEN";666;54;47;53;64;55;53;59;49;44;52;72;64
"....Cotabato City";10;..;1;1;..;2;1;3;..;1;..;..;1
"....Cotabato (North Cotabato)";167;13;14;15;21;16;18;13;15;9;6;18;9
"....South Cotabato";370;31;24;27;33;25;28;31;29;22;36;43;41
"....Sultan Kudarat";76;9;5;4;5;6;4;8;4;8;6;7;10
"....Sarangani";43;1;3;6;5;6;2;4;1;4;4;4;3
"..REGION XIII - CARAGA";345;20;28;28;30;23;24;38;35;25;23;31;40
"....Agusan Del Norte";106;7;6;8;7;6;3;16;10;7;9;10;17
"....Agusan Del Sur";84;5;10;5;10;2;7;10;4;6;5;9;11
"....Surigao Del Norte";90;4;6;10;5;9;7;7;17;7;3;8;7
"....Surigao Del Sur";61;4;6;5;6;5;7;5;4;5;5;4;5
"....Dinagat Islands";4;..;..;..;2;1;..;..;..;..;1;..;..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO";209;15;14;13;20;17;19;26;19;18;13;16;19
"....Basilan";7;..;..;..;..;2;2;1;..;..;1;..;1
"....Lanao Del Sur";86;5;7;3;7;7;4;11;7;8;9;11;7
"....Maguindanao";58;3;..;1;5;5;6;8;8;7;3;4;8
"....Sulu";51;7;7;7;8;3;7;5;4;2;..;..;1
"....Tawi-Tawi";7;..;..;2;..;..;..;1;..;1;..;1;2
"FOREIGN COUNTRIES";4;..;..;..;..;2;..;..;1;..;..;..;1
