"Number of Agency-Hired Workers in Establishments with 20 or More Workers by Type of Jobs/Services Contracted Out and Employment Size, Philippines: June 2014 to August 2022"

"Employment Size";"2014 Total Workers Hired through Contractors";"2014 ..Security Services";"2014 ..Janitorial";"2014 ..General Administrative";"2014 ..Marketing/ Sales";"2014 ..Packaging";"2014 ..Production/ Assembly";"2014 ..Research and Development";"2014 ..IT Services";"2014 ..Food Service/ Catering";"2014 ..Logistics/ Transport";"2014 ..Repair/ Maintenance/ Construction";"2014 ..Warehousing";"2014 ..Medical and Health Services";"2014 ..Cashier";"2014 ..Messengerial";"2014 ..Billing/ Payment";"2014 ..Human Resource";"2014 ..Data Processing/Encoding";"2014 ..Finance/ Accounting";"2014 ..Learning/Training";"2014 ..Others";"2016 Total Workers Hired through Contractors";"2016 ..Security Services";"2016 ..Janitorial";"2016 ..General Administrative";"2016 ..Marketing/ Sales";"2016 ..Packaging";"2016 ..Production/ Assembly";"2016 ..Research and Development";"2016 ..IT Services";"2016 ..Food Service/ Catering";"2016 ..Logistics/ Transport";"2016 ..Repair/ Maintenance/ Construction";"2016 ..Warehousing";"2016 ..Medical and Health Services";"2016 ..Cashier";"2016 ..Messengerial";"2016 ..Billing/ Payment";"2016 ..Human Resource";"2016 ..Data Processing/Encoding";"2016 ..Finance/ Accounting";"2016 ..Learning/Training";"2016 ..Others";"2018 Total Workers Hired through Contractors";"2018 ..Security Services";"2018 ..Janitorial";"2018 ..General Administrative";"2018 ..Marketing/ Sales";"2018 ..Packaging";"2018 ..Production/ Assembly";"2018 ..Research and Development";"2018 ..IT Services";"2018 ..Food Service/ Catering";"2018 ..Logistics/ Transport";"2018 ..Repair/ Maintenance/ Construction";"2018 ..Warehousing";"2018 ..Medical and Health Services";"2018 ..Cashier";"2018 ..Messengerial";"2018 ..Billing/ Payment";"2018 ..Human Resource";"2018 ..Data Processing/Encoding";"2018 ..Finance/ Accounting";"2018 ..Learning/Training";"2018 ..Others";"2020 Total Workers Hired through Contractors";"2020 ..Security Services";"2020 ..Janitorial";"2020 ..General Administrative";"2020 ..Marketing/ Sales";"2020 ..Packaging";"2020 ..Production/ Assembly";"2020 ..Research and Development";"2020 ..IT Services";"2020 ..Food Service/ Catering";"2020 ..Logistics/ Transport";"2020 ..Repair/ Maintenance/ Construction";"2020 ..Warehousing";"2020 ..Medical and Health Services";"2020 ..Cashier";"2020 ..Messengerial";"2020 ..Billing/ Payment";"2020 ..Human Resource";"2020 ..Data Processing/Encoding";"2020 ..Finance/ Accounting";"2020 ..Learning/Training";"2020 ..Others";"2022 Total Workers Hired through Contractors";"2022 ..Security Services";"2022 ..Janitorial";"2022 ..General Administrative";"2022 ..Marketing/ Sales";"2022 ..Packaging";"2022 ..Production/ Assembly";"2022 ..Research and Development";"2022 ..IT Services";"2022 ..Food Service/ Catering";"2022 ..Logistics/ Transport";"2022 ..Repair/ Maintenance/ Construction";"2022 ..Warehousing";"2022 ..Medical and Health Services";"2022 ..Cashier";"2022 ..Messengerial";"2022 ..Billing/ Payment";"2022 ..Human Resource";"2022 ..Data Processing/Encoding";"2022 ..Finance/ Accounting";"2022 ..Learning/Training";"2022 ..Others"
"ALL SIZES";621905;162453;66433;16362;25554;23246;160355;1510;5544;27600;9918;33134;17475;2650;9482;5313;1702;2236;3189;5258;422;42073;691341;136360;65808;15077;36472;20084;236697;1921;5321;19886;19036;28059;16174;5126;6654;4481;1230;2582;4949;4185;536;60701;644416;149116;82323;14753;21897;22265;187093;1642;6478;15950;13105;20693;16636;3797;9359;5307;797;1507;6041;3731;338;61587;572839;142832;68695;9539;27171;25125;192625;1062;5052;12537;14312;22535;20606;2342;5488;2866;786;2454;4203;2768;553;9289;590779;133646;65499;13307;23211;33562;174547;702;4716;13766;20389;35460;25707;3780;7400;20817;1059;1597;3749;3484;798;3583
"..20 - 99 workers";193692;53297;15831;5316;10636;7744;45921;228;1644;13811;2967;6635;5596;793;5973;895;775;1110;1210;2592;187;10532;167160;40599;13826;2348;16200;5228;42129;315;604;9767;6016;7590;3687;436;4026;1001;282;317;649;1614;243;10283;178483;49370;19627;3324;7345;11326;35969;206;699;7757;4451;5620;5495;468;7099;1537;157;699;2906;1631;130;12669;120226;34944;8668;2230;7520;5617;38177;161;508;1728;2631;4586;5888;334;1460;623;192;389;476;1396;385;2312;165221;48664;18560;3604;16814;8204;30061;188;1126;4636;3898;10043;5373;942;5838;1192;380;628;1655;1617;151;1647
"..100 - 199 workers";109999;29311;10382;1646;4898;3026;26769;474;329;3779;2066;10034;3249;360;739;1773;264;308;478;968;106;9038;109435;20228;9200;1735;6248;4535;38820;203;421;2189;4615;5343;4689;311;1248;587;166;1220;555;617;64;6441;93041;20633;11882;1504;4117;3646;32821;22;460;975;2611;2408;3687;320;578;404;163;138;438;358;86;5789;97192;21607;7862;1604;7462;6632;31881;709;364;2284;2723;6504;4277;155;455;351;189;214;232;504;142;1039;85968;22543;10280;2046;2789;4731;25208;40;274;2084;2836;5533;3132;513;758;481;251;347;614;419;47;1043
"..200 workers or more";318215;79844;40220;9400;10020;12477;87665;807;3571;10010;4885;16465;8629;1497;2770;2644;662;818;1500;1698;129;22503;414745;75533;42782;10994;14023;10321;155748;1403;4296;7930;8405;15127;7799;4380;1380;2893;782;1045;3745;1954;230;43977;372892;79114;50813;9926;10435;7293;118304;1415;5319;7218;6042;12665;7455;3009;1683;3366;477;669;2697;1742;122;43128;355421;86280;52165;5705;12189;12876;122567;192;4180;8525;8958;11445;10441;1852;3573;1892;405;1850;3494;867;26;5938;339590;62438;36659;7657;3608;20627;119277;474;3316;7046;13655;19884;17203;2325;804;19144;429;622;1480;1449;600;893
