"Youth Unemployment Rate, 15-24 years old by Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E2/0233K3F2060.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Youth Unemployment Rate, 15-24 years old (%)";"TOTAL";19.8;17.7;18.3;21.4;21.0;24.2;23.3;24.2;23.2;23.9;17.2;17.8;16.8;17.4;17.6;17.6;16.3;16.2;16.1;15.3;15.0;13.5;14.4;13.4
"Youth Unemployment Rate, 15-24 years old (%)";"..Men";17.5;15.4;16.4;19.5;19.1;22.1;20.8;21.8;20.8;21.6;15.8;16.8;15.7;16.2;16.2;16.5;15.2;14.9;15.1;14.3;14.3;12.7;13.7;12.6
"Youth Unemployment Rate, 15-24 years old (%)";"..Women";24.0;21.7;21.5;24.7;24.4;27.9;27.4;28.0;27.2;27.8;19.5;19.4;18.4;19.4;19.8;19.5;18.3;18.3;17.8;16.9;16.0;14.9;15.6;14.8
"Total Unemployed Youth (000)";"TOTAL";1405;1321;1292;1527;1520;1766;1819;1919;1861;2009;1353;1415;1335;1389;1437;1460;1417;1412;1409;1351;1276;1137;1139;1027
"Total Unemployed Youth (000)";"..Men";795;725;729;877;878;1018;1019;1081;1043;1127;767;826;777;808;823;846;819;809;825;789;760;674;695;609
"Total Unemployed Youth (000)";"..Women";610;596;562;649;642;748;801;838;819;882;585;588;558;580;614;613;599;603;584;562;516;463;445;418
"Total Youth Labor Force (000)";"TOTAL";7084;7450;7051;7129;7234;7290;7811;7946;8015;8396;7851;7947;7962;7968;8168;8276;8675;8734;8744;8859;8531;8402;7919;7647
"Total Youth Labor Force (000)";"..Men";4546;4704;4440;4498;4607;4605;4888;4952;5007;5217;4857;4923;4936;4983;5073;5132;5399;5431;5465;5527;5297;5301;5070;4823
"Total Youth Labor Force (000)";"..Women";2538;2746;2611;2630;2627;2685;2923;2993;3010;3178;2994;3025;3026;2985;3095;3144;3276;3303;3279;3333;3233;3101;2848;2823
