"Labor Force Participation Gap by Sex"

"Indicator";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Labor Force Participation Rate (%)";65.8;66.7;64.7;64.6;65.1;63.6;67.1;67.4;66.7;67.5;64.7;64.2;64.0;63.6;64.0;64.1;64.6;64.2;63.9;64.6;63.7;63.5;61.2;60.9
"..Men";83.0;83.5;81.3;81.2;81.1;79.6;82.4;82.0;82.2;83.8;79.6;79.3;78.8;78.8;78.6;78.5;79.0;78.5;78.1;78.6;77.3;77.6;76.2;75.1
"..Women";48.5;49.8;48.2;48.1;49.2;47.7;51.8;52.8;51.4;51.2;49.9;49.3;49.3;48.6;49.4;49.7;50.4;50.0;49.9;50.7;50.1;49.3;46.2;46.6
"Labor Force Participation Gap";34.5;33.7;33.1;33.1;31.9;31.9;30.6;29.2;30.8;32.6;29.7;30.0;29.5;30.2;29.2;28.8;28.6;28.5;28.2;27.9;27.2;28.3;30.0;28.5
