"Number of Establishments Employing 20 or More Workers With Gainsharing Scheme as Productivity Improvement Program (PIP) by Type of Scheme/s Implemented and Major Industry Group, Philippines: 2013"

"Major Industry Group";"Type of Gainsharing Scheme/s Implemented";"2013"
"..Financial and Insurance Activities";"Tonnage Plan";0
"..Financial and Insurance Activities";"Kaiser Plan";0
"..Financial and Insurance Activities";"Performance Bonus";187
"..Financial and Insurance Activities";"Others";15
"..Real Estate Activities";"Total Establishments with PIPs";264
"..Real Estate Activities";"Total Establishments With Gainsharing Scheme as PIP";51
"..Real Estate Activities";"Scanlon Plan";0
"..Real Estate Activities";"Rucker Plan";0
"..Real Estate Activities";"Improshare Plan";0
"..Real Estate Activities";"Tonnage Plan";0
"..Real Estate Activities";"Kaiser Plan";0
"..Real Estate Activities";"Performance Bonus";51
"..Real Estate Activities";"Others";0
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";348
"..Professional, Scientific and Technical Activities";"Total Establishments With Gainsharing Scheme as PIP";116
"..Professional, Scientific and Technical Activities";"Scanlon Plan";1
"..Professional, Scientific and Technical Activities";"Rucker Plan";0
"..Professional, Scientific and Technical Activities";"Improshare Plan";0
"..Professional, Scientific and Technical Activities";"Tonnage Plan";0
"..Professional, Scientific and Technical Activities";"Kaiser Plan";17
"..Professional, Scientific and Technical Activities";"Performance Bonus";115
"..Professional, Scientific and Technical Activities";"Others";5
"..Administrative and Support Service Activities";"Total Establishments with PIPs";1186
"..Administrative and Support Service Activities";"Total Establishments With Gainsharing Scheme as PIP";217
"..Administrative and Support Service Activities";"Scanlon Plan";1
"..Administrative and Support Service Activities";"Rucker Plan";1
"..Administrative and Support Service Activities";"Improshare Plan";0
"..Administrative and Support Service Activities";"Tonnage Plan";2
"..Administrative and Support Service Activities";"Kaiser Plan";5
"..Administrative and Support Service Activities";"Performance Bonus";182
"..Administrative and Support Service Activities";"Others";27
"..Education Except Public Education";"Total Establishments with PIPs";1804
"..Education Except Public Education";"Total Establishments With Gainsharing Scheme as PIP";281
"..Education Except Public Education";"Scanlon Plan";0
"..Education Except Public Education";"Rucker Plan";0
"..Education Except Public Education";"Improshare Plan";0
"..Education Except Public Education";"Tonnage Plan";0
"..Education Except Public Education";"Kaiser Plan";0
"..Education Except Public Education";"Performance Bonus";271
"..Education Except Public Education";"Others";12
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";601
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments With Gainsharing Scheme as PIP";49
"..Human Health and Social Work Activities Except Public Health Activities";"Scanlon Plan";0
"..Human Health and Social Work Activities Except Public Health Activities";"Rucker Plan";0
"..Human Health and Social Work Activities Except Public Health Activities";"Improshare Plan";0
"..Human Health and Social Work Activities Except Public Health Activities";"Tonnage Plan";0
"..Human Health and Social Work Activities Except Public Health Activities";"Kaiser Plan";0
"..Human Health and Social Work Activities Except Public Health Activities";"Performance Bonus";41
"..Human Health and Social Work Activities Except Public Health Activities";"Others";7
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";128
"..Arts, Entertainment and  Recreation";"Total Establishments With Gainsharing Scheme as PIP";16
"..Arts, Entertainment and  Recreation";"Scanlon Plan";0
"..Arts, Entertainment and  Recreation";"Rucker Plan";0
"..Arts, Entertainment and  Recreation";"Improshare Plan";0
"..Arts, Entertainment and  Recreation";"Tonnage Plan";0
"..Arts, Entertainment and  Recreation";"Kaiser Plan";0
"..Arts, Entertainment and  Recreation";"Performance Bonus";13
"..Arts, Entertainment and  Recreation";"Others";2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";243
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments With Gainsharing Scheme as PIP";56
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Scanlon Plan";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Rucker Plan";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Improshare Plan";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Tonnage Plan";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Kaiser Plan";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Performance Bonus";56
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";2
