"Minimum Hourly Basic Pay as Percent of Median Hourly Basic Pay in Non-Agriculture Industries in Metro Manila"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E3/0373K3E3090.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Minimum Hourly Basic Pay as % of Median Hourly Basic Pay, Non-Agriculture in Metro Manila";..;..;..;..;..;..;100.0;98.1;90.1;89.3;93.4;96.7;107.2;106.1;100.1;104.5;101.3;102.0;98.7;102.2;101.6;102.1;104.3;104.9
"Hourly Equivalent of Daily Minimum Basic Pay in Non-Agriculture Industries in Metro Manila (Php)";18.13;20.63;23.13;24.75;27.94;31.25;31.25;31.25;31.25;31.25;34.38;37.50;45.25;47.75;47.75;50.50;50.50;53.25;54.50;58.25;60.13;61.38;64.00;67.13
"Daily Basic Pay";145.00;165.00;185.00;198.00;223.50;250.00;250.00;250.00;250.00;250.00;275.00;300.00;362.00;382.00;382.00;404.00;404.00;426.00;436.00;466.00;481.00;491.00;512.00;537.00
"Median Hourly Basic Pay in Non-Agriculture Industries in Metro Manila (Php)";..;..;..;..;..;..;31.25;31.85;34.70;35.00;36.82;38.78;42.23;45.02;47.69;48.32;49.85;52.20;55.23;57.00;59.19;60.13;61.38;64.00
