"Deaths : Number of Registered Maternal Deaths by Usual Residence (Region/Province/City/Municipality) and Age of Mother, Philippines: 2016"

"Geolocation";"Total";"Under 15";"15 - 19";"20 - 24";"25 - 29";"30 - 34";"35 - 39";"40 - 44";"45 - 49";"50 & Up";"Not Stated"
"..REGION IX- ZAMBOANGA PENINSULA";53;0;5;7;9;9;17;5;1;0;0
"....Zamboanga Del Norte";17;0;0;4;3;5;4;1;0;0;0
"....Zamboanga Del Sur";26;0;2;2;4;2;12;3;1;0;..
"....Zamboanga Sibugay";7;0;2;0;2;2;1;0;0;0;0
"....City of Isabela";3;0;1;1;0;0;0;1;0;0;0
"..REGION X- NORTHERN MINDANAO";79;0;8;20;9;19;14;9;0;0;0
"....Bukidnon";25;0;3;6;2;9;3;2;0;0;0
"....Camiguin";2;0;0;0;0;2;0;0;0;0;0
"....Lanao Del Norte";14;0;2;1;3;2;4;2;0;0;0
"....Misamis Occidental";9;0;2;3;0;2;2;0;0;0;0
"....Misamis Oriental";29;0;1;10;4;4;5;5;0;0;0
"..REGION XI - DAVAO";86;0;11;17;16;21;13;7;1;0;0
"....Davao Del Norte";17;0;0;4;5;6;0;2;0;0;0
"....Davao Del Sur";47;0;8;9;6;10;10;3;1;0;0
"....Davao Oriental";9;0;1;1;1;3;2;1;0;0;0
"....Compostella Valley";9;0;2;3;3;1;0;0;0;0;0
"....Davao Occidental";4;0;0;0;1;1;1;1;0;0;0
"..REGION XII- SOCCSKSARGEN";62;1;7;8;10;14;12;7;2;1;0
"....Cotabato (North Cotabato)";11;1;3;1;1;2;1;1;1;0;..
"....South Cotabato";31;0;2;5;5;8;6;3;1;1;0
"....Sultan Kudarat";7;0;1;0;2;2;2;0;0;0;0
"....Sarangani";10;0;1;1;2;2;2;2;0;0;0
"....Cotabato City";3;0;0;1;0;0;1;1;0;0;0
"..REGION XIII - CARAGA";56;0;4;9;8;10;12;11;2;0;0
"....Agusan Del Norte";21;0;3;4;3;2;4;4;1;0;0
"....Agusan Del Sur";14;0;0;1;1;5;2;4;1;0;0
"....Surigao Del Norte";8;0;1;2;2;2;1;0;0;0;0
"....Surigao Del Sur";11;0;0;2;1;1;4;3;0;0;0
"....Dinagat Islands";2;0;0;0;1;0;1;0;0;0;0
"..AUTONOMOUS REGION IN MUSLIM MINDANAO";11;0;0;1;0;3;5;1;1;0;0
"....Basilan";1;0;0;1;0;0;0;0;0;0;0
"....Lanao Del Sur";2;0;0;0;0;0;1;1;0;0;0
"....Maguindanao";2;0;0;0;0;0;2;0;0;0;0
"....Sulu";6;0;0;0;0;3;2;0;1;0;0
"....Tawi-Tawi";0;0;0;0;0;0;0;0;0;0;0
