"Adult Secondary-School Graduation Rate 25+ Years Old by Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E1/0153K3F1150.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sex";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Share of Adult Population Who Completed Secondary School to the Total Adult Household Population 25+ Years Old (%)";"TOTAL";38.5;41.6;43.1;43.6;44.3;45.0;44.8;45.3;47.0;48.2;49.5;50.2;51.0;52.0;53.0;54.0;54.6;55.3;56.4;57.5;57.9;57.8;57.8;58.3
"Share of Adult Population Who Completed Secondary School to the Total Adult Household Population 25+ Years Old (%)";"..Men";39.6;42.6;43.9;44.1;44.7;45.5;45.3;45.5;46.7;47.5;48.5;49.2;49.8;50.6;51.5;52.5;52.9;53.3;54.1;55.2;55.4;55.3;55.2;55.6
"Share of Adult Population Who Completed Secondary School to the Total Adult Household Population 25+ Years Old (%)";"..Women";37.4;40.7;42.3;43.1;44.0;44.6;44.4;45.1;47.2;48.9;50.4;51.1;52.1;53.3;54.5;55.5;56.3;57.3;58.6;59.8;60.4;60.3;60.4;61.0
"Total Adult Population Who Completed Secondary School, 25+ Years Old (000)";"TOTAL";11419;12757;13350;13960;14710;15260;15242;15926;16933;17867;18815;19203;20028;20935;21919;22962;23645;24382;25312;25779;26305;28128;28993;30038
"Total Adult Population Who Completed Secondary School, 25+ Years Old (000)";"..Men";5722;6403;6690;6918;7259;7519;7484;7783;8218;8688;9106;9320;9669;10051;10490;11002;11282;11587;11998;12206;12453;13334;13717;14217
"Total Adult Population Who Completed Secondary School, 25+ Years Old (000)";"..Women";5697;6355;6659;7042;7450;7743;7758;8142;8713;9178;9709;9882;10359;10883;11429;11960;12363;12793;13313;13573;13852;14794;15276;15821
"Total Adult Household Population, 25+ Years Old (000)";"TOTAL";29683;30630;30995;32038;33187;33900;34020;35141;36054;37057;38044;38263;39290;40253;41327;42497;43305;44058;44888;44810;45414;48641;50157;51481
"Total Adult Household Population, 25+ Years Old (000)";"..Men";14462;15015;15236;15681;16238;16540;16531;17087;17591;18296;18779;18930;19425;19851;20359;20944;21347;21734;22162;22128;22479;24095;24861;25558
"Total Adult Household Population, 25+ Years Old (000)";"..Women";15220;15616;15759;16357;16949;17360;17490;18054;18463;18761;19265;19332;19865;20402;20968;21553;21959;22322;22726;22683;22935;24546;25296;25923
