"Social Security Benefits, % of GDP"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E10/0893K3E1008.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Social Security Benefits, % of GDP";1.4;1.3;1.4;1.5;1.6;1.7;1.9;1.9;1.9;1.8;1.7;1.7;1.7;1.6;1.6;1.5;1.8;1.8;1.5;1.7;1.9;2.1;2.2;2.4
"Total Social Security Benefits at Current Prices (PhP Million)";26205;28793;33238;38846;48855;58283;68850;74162;80527;88365;94647;99897;112101;121879;129884;139121;170005;189994;177371;215947;249580;302713;352396;414366
"Gross Domestic Product, at Current Prices (PhP Million)";1905951;2171922;2426743;2665060;2976905;3354727;3631474;3963873;4316402;4871555;5444039;6031164;6648619;7409371;8026143;9003480;9708332;10567336;11538410;12634187;13322041;14480349;15807596;17426202
