"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Both Sexes"";""80 years old and over"";91427",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""All Ages"";6737870",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""Below 5"";660956",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""5-9"";641893",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""10-14"";608724",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""15-19"";568734",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""20-24"";645668",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""25-29"";657512",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""30-34"";602717",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""35-39"";515328",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""40-44"";450006",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""45-49"";372182",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""50-54"";317114",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""55-59"";250731",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""60-64"";193188",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""65-69"";122647",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""70-74"";72014",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""75-79"";31870",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Male"";""80 years old and over"";26586",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""All Ages"";6746592",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""Below 5"";618871",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""5-9"";596093",,,,
"Total Population;""..NATIONAL CAPITAL REGION (NCR)"";""Female"";""10-14"";568729",,,,
