"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""....Pangasinan"";""Both Sexes"";""55-59"";127319",,,,
"Total Population;""....Pangasinan"";""Both Sexes"";""60-64"";106543",,,,
"Total Population;""....Pangasinan"";""Both Sexes"";""65-69"";78296",,,,
"Total Population;""....Pangasinan"";""Both Sexes"";""70-74"";59082",,,,
"Total Population;""....Pangasinan"";""Both Sexes"";""75-79"";35374",,,,
"Total Population;""....Pangasinan"";""Both Sexes"";""80 years old and over"";37942",,,,
"Total Population;""....Pangasinan"";""Male"";""All Ages"";1607365",,,,
"Total Population;""....Pangasinan"";""Male"";""Below 5"";161839",,,,
"Total Population;""....Pangasinan"";""Male"";""5-9"";165144",,,,
"Total Population;""....Pangasinan"";""Male"";""10-14"";165394",,,,
"Total Population;""....Pangasinan"";""Male"";""15-19"";158995",,,,
"Total Population;""....Pangasinan"";""Male"";""20-24"";143981",,,,
"Total Population;""....Pangasinan"";""Male"";""25-29"";129423",,,,
"Total Population;""....Pangasinan"";""Male"";""30-34"";114625",,,,
"Total Population;""....Pangasinan"";""Male"";""35-39"";105427",,,,
"Total Population;""....Pangasinan"";""Male"";""40-44"";96672",,,,
"Total Population;""....Pangasinan"";""Male"";""45-49"";85664",,,,
"Total Population;""....Pangasinan"";""Male"";""50-54"";76749",,,,
"Total Population;""....Pangasinan"";""Male"";""55-59"";64003",,,,
"Total Population;""....Pangasinan"";""Male"";""60-64"";52247",,,,
"Total Population;""....Pangasinan"";""Male"";""65-69"";36454",,,,
"Total Population;""....Pangasinan"";""Male"";""70-74"";25289",,,,
"Total Population;""....Pangasinan"";""Male"";""75-79"";13397",,,,
"Total Population;""....Pangasinan"";""Male"";""80 years old and over"";12062",,,,
"Total Population;""....Pangasinan"";""Female"";""All Ages"";1555825",,,,
"Total Population;""....Pangasinan"";""Female"";""Below 5"";150547",,,,
"Total Population;""....Pangasinan"";""Female"";""5-9"";152559",,,,
"Total Population;""....Pangasinan"";""Female"";""10-14"";152777",,,,
"Total Population;""....Pangasinan"";""Female"";""15-19"";149075",,,,
"Total Population;""....Pangasinan"";""Female"";""20-24"";135570",,,,
"Total Population;""....Pangasinan"";""Female"";""25-29"";121201",,,,
"Total Population;""....Pangasinan"";""Female"";""30-34"";107964",,,,
"Total Population;""....Pangasinan"";""Female"";""35-39"";100136",,,,
"Total Population;""....Pangasinan"";""Female"";""40-44"";90674",,,,
"Total Population;""....Pangasinan"";""Female"";""45-49"";80406",,,,
"Total Population;""....Pangasinan"";""Female"";""50-54"";73812",,,,
"Total Population;""....Pangasinan"";""Female"";""55-59"";63316",,,,
"Total Population;""....Pangasinan"";""Female"";""60-64"";54296",,,,
"Total Population;""....Pangasinan"";""Female"";""65-69"";41842",,,,
"Total Population;""....Pangasinan"";""Female"";""70-74"";33793",,,,
"Total Population;""....Pangasinan"";""Female"";""75-79"";21977",,,,
"Total Population;""....Pangasinan"";""Female"";""80 years old and over"";25880",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""All Ages"";3685744",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""Below 5"";330685",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""5-9"";361018",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""10-14"";366748",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""15-19"";346208",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""20-24"";330729",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""25-29"";305415",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""30-34"";273296",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""35-39"";244863",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""40-44"";229559",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""45-49"";200146",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""50-54"";179805",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""55-59"";158618",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""60-64"";131229",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""65-69"";93741",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""70-74"";58781",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""75-79"";34143",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Both Sexes"";""80 years old and over"";40760",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""All Ages"";1879118",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""Below 5"";170477",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""5-9"";187828",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""10-14"";189092",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""15-19"";178346",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""20-24"";170243",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""25-29"";157083",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""30-34"";141594",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""35-39"";127077",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""40-44"";119291",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""45-49"";104074",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""50-54"";92265",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""55-59"";80283",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""60-64"";64707",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""65-69"";44099",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""70-74"";25553",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""75-79"";13390",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Male"";""80 years old and over"";13716",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""All Ages"";1806626",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""Below 5"";160208",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""5-9"";173190",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""10-14"";177656",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""15-19"";167862",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""20-24"";160486",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""25-29"";148332",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""30-34"";131702",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""35-39"";117786",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""40-44"";110268",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""45-49"";96072",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""50-54"";87540",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""55-59"";78335",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""60-64"";66522",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""65-69"";49642",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""70-74"";33228",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""75-79"";20753",,,,
"Total Population;""..REGION II (CAGAYAN VALLEY)"";""Female"";""80 years old and over"";27044",,,,
"Total Population;""....Batanes"";""Both Sexes"";""All Ages"";18831",,,,
"Total Population;""....Batanes"";""Both Sexes"";""Below 5"";1342",,,,
"Total Population;""....Batanes"";""Both Sexes"";""5-9"";1518",,,,
"Total Population;""....Batanes"";""Both Sexes"";""10-14"";1656",,,,
"Total Population;""....Batanes"";""Both Sexes"";""15-19"";1802",,,,
"Total Population;""....Batanes"";""Both Sexes"";""20-24"";1647",,,,
"Total Population;""....Batanes"";""Both Sexes"";""25-29"";1553",,,,
"Total Population;""....Batanes"";""Both Sexes"";""30-34"";1331",,,,
"Total Population;""....Batanes"";""Both Sexes"";""35-39"";1228",,,,
"Total Population;""....Batanes"";""Both Sexes"";""40-44"";1218",,,,
"Total Population;""....Batanes"";""Both Sexes"";""45-49"";1206",,,,
"Total Population;""....Batanes"";""Both Sexes"";""50-54"";1039",,,,
"Total Population;""....Batanes"";""Both Sexes"";""55-59"";903",,,,
"Total Population;""....Batanes"";""Both Sexes"";""60-64"";684",,,,
"Total Population;""....Batanes"";""Both Sexes"";""65-69"";561",,,,
"Total Population;""....Batanes"";""Both Sexes"";""70-74"";387",,,,
"Total Population;""....Batanes"";""Both Sexes"";""75-79"";318",,,,
"Total Population;""....Batanes"";""Both Sexes"";""80 years old and over"";438",,,,
"Total Population;""....Batanes"";""Male"";""All Ages"";9769",,,,
"Total Population;""....Batanes"";""Male"";""Below 5"";684",,,,
"Total Population;""....Batanes"";""Male"";""5-9"";828",,,,
"Total Population;""....Batanes"";""Male"";""10-14"";863",,,,
"Total Population;""....Batanes"";""Male"";""15-19"";928",,,,
"Total Population;""....Batanes"";""Male"";""20-24"";901",,,,
"Total Population;""....Batanes"";""Male"";""25-29"";883",,,,
"Total Population;""....Batanes"";""Male"";""30-34"";722",,,,
"Total Population;""....Batanes"";""Male"";""35-39"";646",,,,
"Total Population;""....Batanes"";""Male"";""40-44"";676",,,,
"Total Population;""....Batanes"";""Male"";""45-49"";628",,,,
"Total Population;""....Batanes"";""Male"";""50-54"";552",,,,
"Total Population;""....Batanes"";""Male"";""55-59"";476",,,,
"Total Population;""....Batanes"";""Male"";""60-64"";327",,,,
"Total Population;""....Batanes"";""Male"";""65-69"";262",,,,
"Total Population;""....Batanes"";""Male"";""70-74"";160",,,,
"Total Population;""....Batanes"";""Male"";""75-79"";115",,,,
"Total Population;""....Batanes"";""Male"";""80 years old and over"";118",,,,
"Total Population;""....Batanes"";""Female"";""All Ages"";9062",,,,
"Total Population;""....Batanes"";""Female"";""Below 5"";658",,,,
"Total Population;""....Batanes"";""Female"";""5-9"";690",,,,
"Total Population;""....Batanes"";""Female"";""10-14"";793",,,,
"Total Population;""....Batanes"";""Female"";""15-19"";874",,,,
"Total Population;""....Batanes"";""Female"";""20-24"";746",,,,
"Total Population;""....Batanes"";""Female"";""25-29"";670",,,,
"Total Population;""....Batanes"";""Female"";""30-34"";609",,,,
"Total Population;""....Batanes"";""Female"";""35-39"";582",,,,
"Total Population;""....Batanes"";""Female"";""40-44"";542",,,,
"Total Population;""....Batanes"";""Female"";""45-49"";578",,,,
"Total Population;""....Batanes"";""Female"";""50-54"";487",,,,
"Total Population;""....Batanes"";""Female"";""55-59"";427",,,,
"Total Population;""....Batanes"";""Female"";""60-64"";357",,,,
"Total Population;""....Batanes"";""Female"";""65-69"";299",,,,
"Total Population;""....Batanes"";""Female"";""70-74"";227",,,,
"Total Population;""....Batanes"";""Female"";""75-79"";203",,,,
"Total Population;""....Batanes"";""Female"";""80 years old and over"";320",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""All Ages"";1268603",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""Below 5"";109780",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""5-9"";123765",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""10-14"";126101",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""15-19"";118821",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""20-24"";115263",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""25-29"";104335",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""30-34"";92098",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""35-39"";83379",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""40-44"";77639",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""45-49"";68511",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""50-54"";61405",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""55-59"";55650",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""60-64"";47176",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""65-69"";34171",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""70-74"";21137",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""75-79"";12835",,,,
"Total Population;""....Cagayan"";""Both Sexes"";""80 years old and over"";16537",,,,
"Total Population;""....Cagayan"";""Male"";""All Ages"";642729",,,,
"Total Population;""....Cagayan"";""Male"";""Below 5"";56867",,,,
"Total Population;""....Cagayan"";""Male"";""5-9"";64474",,,,
"Total Population;""....Cagayan"";""Male"";""10-14"";65119",,,,
"Total Population;""....Cagayan"";""Male"";""15-19"";61193",,,,
"Total Population;""....Cagayan"";""Male"";""20-24"";59212",,,,
"Total Population;""....Cagayan"";""Male"";""25-29"";53332",,,,
"Total Population;""....Cagayan"";""Male"";""30-34"";47275",,,,
"Total Population;""....Cagayan"";""Male"";""35-39"";42794",,,,
"Total Population;""....Cagayan"";""Male"";""40-44"";39913",,,,
"Total Population;""....Cagayan"";""Male"";""45-49"";35455",,,,
"Total Population;""....Cagayan"";""Male"";""50-54"";31185",,,,
"Total Population;""....Cagayan"";""Male"";""55-59"";27876",,,,
"Total Population;""....Cagayan"";""Male"";""60-64"";22718",,,,
"Total Population;""....Cagayan"";""Male"";""65-69"";15877",,,,
"Total Population;""....Cagayan"";""Male"";""70-74"";8955",,,,
"Total Population;""....Cagayan"";""Male"";""75-79"";4957",,,,
"Total Population;""....Cagayan"";""Male"";""80 years old and over"";5527",,,,
"Total Population;""....Cagayan"";""Female"";""All Ages"";625874",,,,
"Total Population;""....Cagayan"";""Female"";""Below 5"";52913",,,,
"Total Population;""....Cagayan"";""Female"";""5-9"";59291",,,,
"Total Population;""....Cagayan"";""Female"";""10-14"";60982",,,,
"Total Population;""....Cagayan"";""Female"";""15-19"";57628",,,,
"Total Population;""....Cagayan"";""Female"";""20-24"";56051",,,,
"Total Population;""....Cagayan"";""Female"";""25-29"";51003",,,,
"Total Population;""....Cagayan"";""Female"";""30-34"";44823",,,,
"Total Population;""....Cagayan"";""Female"";""35-39"";40585",,,,
"Total Population;""....Cagayan"";""Female"";""40-44"";37726",,,,
"Total Population;""....Cagayan"";""Female"";""45-49"";33056",,,,
"Total Population;""....Cagayan"";""Female"";""50-54"";30220",,,,
"Total Population;""....Cagayan"";""Female"";""55-59"";27774",,,,
"Total Population;""....Cagayan"";""Female"";""60-64"";24458",,,,
"Total Population;""....Cagayan"";""Female"";""65-69"";18294",,,,
"Total Population;""....Cagayan"";""Female"";""70-74"";12182",,,,
"Total Population;""....Cagayan"";""Female"";""75-79"";7878",,,,
"Total Population;""....Cagayan"";""Female"";""80 years old and over"";11010",,,,
"Total Population;""....Isabela"";""Both Sexes"";""All Ages"";1697050",,,,
"Total Population;""....Isabela"";""Both Sexes"";""Below 5"";154636",,,,
"Total Population;""....Isabela"";""Both Sexes"";""5-9"";164977",,,,
"Total Population;""....Isabela"";""Both Sexes"";""10-14"";168999",,,,
"Total Population;""....Isabela"";""Both Sexes"";""15-19"";158444",,,,
"Total Population;""....Isabela"";""Both Sexes"";""20-24"";151404",,,,
"Total Population;""....Isabela"";""Both Sexes"";""25-29"";141897",,,,
"Total Population;""....Isabela"";""Both Sexes"";""30-34"";127663",,,,
"Total Population;""....Isabela"";""Both Sexes"";""35-39"";112769",,,,
"Total Population;""....Isabela"";""Both Sexes"";""40-44"";107524",,,,
"Total Population;""....Isabela"";""Both Sexes"";""45-49"";93337",,,,
"Total Population;""....Isabela"";""Both Sexes"";""50-54"";84014",,,,
"Total Population;""....Isabela"";""Both Sexes"";""55-59"";72891",,,,
"Total Population;""....Isabela"";""Both Sexes"";""60-64"";59109",,,,
"Total Population;""....Isabela"";""Both Sexes"";""65-69"";41641",,,,
"Total Population;""....Isabela"";""Both Sexes"";""70-74"";26317",,,,
"Total Population;""....Isabela"";""Both Sexes"";""75-79"";15034",,,,
"Total Population;""....Isabela"";""Both Sexes"";""80 years old and over"";16394",,,,
"Total Population;""....Isabela"";""Male"";""All Ages"";864760",,,,
"Total Population;""....Isabela"";""Male"";""Below 5"";79427",,,,
"Total Population;""....Isabela"";""Male"";""5-9"";85707",,,,
"Total Population;""....Isabela"";""Male"";""10-14"";87166",,,,
"Total Population;""....Isabela"";""Male"";""15-19"";81713",,,,
"Total Population;""....Isabela"";""Male"";""20-24"";77618",,,,
"Total Population;""....Isabela"";""Male"";""25-29"";72704",,,,
"Total Population;""....Isabela"";""Male"";""30-34"";66038",,,,
"Total Population;""....Isabela"";""Male"";""35-39"";58263",,,,
"Total Population;""....Isabela"";""Male"";""40-44"";55784",,,,
"Total Population;""....Isabela"";""Male"";""45-49"";48436",,,,
"Total Population;""....Isabela"";""Male"";""50-54"";42949",,,,
"Total Population;""....Isabela"";""Male"";""55-59"";36998",,,,
"Total Population;""....Isabela"";""Male"";""60-64"";29453",,,,
"Total Population;""....Isabela"";""Male"";""65-69"";19565",,,,
"Total Population;""....Isabela"";""Male"";""70-74"";11518",,,,
"Total Population;""....Isabela"";""Male"";""75-79"";5862",,,,
"Total Population;""....Isabela"";""Male"";""80 years old and over"";5559",,,,
"Total Population;""....Isabela"";""Female"";""All Ages"";832290",,,,
"Total Population;""....Isabela"";""Female"";""Below 5"";75209",,,,
"Total Population;""....Isabela"";""Female"";""5-9"";79270",,,,
"Total Population;""....Isabela"";""Female"";""10-14"";81833",,,,
"Total Population;""....Isabela"";""Female"";""15-19"";76731",,,,
"Total Population;""....Isabela"";""Female"";""20-24"";73786",,,,
"Total Population;""....Isabela"";""Female"";""25-29"";69193",,,,
"Total Population;""....Isabela"";""Female"";""30-34"";61625",,,,
"Total Population;""....Isabela"";""Female"";""35-39"";54506",,,,
"Total Population;""....Isabela"";""Female"";""40-44"";51740",,,,
"Total Population;""....Isabela"";""Female"";""45-49"";44901",,,,
"Total Population;""....Isabela"";""Female"";""50-54"";41065",,,,
"Total Population;""....Isabela"";""Female"";""55-59"";35893",,,,
"Total Population;""....Isabela"";""Female"";""60-64"";29656",,,,
"Total Population;""....Isabela"";""Female"";""65-69"";22076",,,,
"Total Population;""....Isabela"";""Female"";""70-74"";14799",,,,
"Total Population;""....Isabela"";""Female"";""75-79"";9172",,,,
"Total Population;""....Isabela"";""Female"";""80 years old and over"";10835",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""All Ages"";497432",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""Below 5"";46072",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""5-9"";50149",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""10-14"";48788",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""15-19"";47369",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""20-24"";44272",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""25-29"";40795",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""30-34"";37142",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""35-39"";33655",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""40-44"";30446",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""45-49"";26059",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""50-54"";23859",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""55-59"";20957",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""60-64"";17479",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""65-69"";12611",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""70-74"";8023",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""75-79"";4272",,,,
"Total Population;""....Nueva Vizcaya"";""Both Sexes"";""80 years old and over"";5484",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""All Ages"";256232",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""Below 5"";23838",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""5-9"";26103",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""10-14"";25020",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""15-19"";24248",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""20-24"";23098",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""25-29"";21279",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""30-34"";19622",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""35-39"";18025",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""40-44"";16184",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""45-49"";13703",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""50-54"";12501",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""55-59"";10718",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""60-64"";8746",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""65-69"";6005",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""70-74"";3573",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""75-79"";1735",,,,
"Total Population;""....Nueva Vizcaya"";""Male"";""80 years old and over"";1834",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""All Ages"";241200",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""Below 5"";22234",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""5-9"";24046",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""10-14"";23768",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""15-19"";23121",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""20-24"";21174",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""25-29"";19516",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""30-34"";17520",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""35-39"";15630",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""40-44"";14262",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""45-49"";12356",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""50-54"";11358",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""55-59"";10239",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""60-64"";8733",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""65-69"";6606",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""70-74"";4450",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""75-79"";2537",,,,
"Total Population;""....Nueva Vizcaya"";""Female"";""80 years old and over"";3650",,,,
"Total Population;""....Quirino"";""Both Sexes"";""All Ages"";203828",,,,
"Total Population;""....Quirino"";""Both Sexes"";""Below 5"";18855",,,,
"Total Population;""....Quirino"";""Both Sexes"";""5-9"";20609",,,,
"Total Population;""....Quirino"";""Both Sexes"";""10-14"";21204",,,,
"Total Population;""....Quirino"";""Both Sexes"";""15-19"";19772",,,,
"Total Population;""....Quirino"";""Both Sexes"";""20-24"";18143",,,,
"Total Population;""....Quirino"";""Both Sexes"";""25-29"";16835",,,,
"Total Population;""....Quirino"";""Both Sexes"";""30-34"";15062",,,,
"Total Population;""....Quirino"";""Both Sexes"";""35-39"";13832",,,,
"Total Population;""....Quirino"";""Both Sexes"";""40-44"";12732",,,,
"Total Population;""....Quirino"";""Both Sexes"";""45-49"";11033",,,,
"Total Population;""....Quirino"";""Both Sexes"";""50-54"";9488",,,,
"Total Population;""....Quirino"";""Both Sexes"";""55-59"";8217",,,,
"Total Population;""....Quirino"";""Both Sexes"";""60-64"";6781",,,,
"Total Population;""....Quirino"";""Both Sexes"";""65-69"";4757",,,,
"Total Population;""....Quirino"";""Both Sexes"";""70-74"";2917",,,,
"Total Population;""....Quirino"";""Both Sexes"";""75-79"";1684",,,,
"Total Population;""....Quirino"";""Both Sexes"";""80 years old and over"";1907",,,,
"Total Population;""....Quirino"";""Male"";""All Ages"";105628",,,,
"Total Population;""....Quirino"";""Male"";""Below 5"";9661",,,,
"Total Population;""....Quirino"";""Male"";""5-9"";10716",,,,
"Total Population;""....Quirino"";""Male"";""10-14"";10924",,,,
"Total Population;""....Quirino"";""Male"";""15-19"";10264",,,,
"Total Population;""....Quirino"";""Male"";""20-24"";9414",,,,
"Total Population;""....Quirino"";""Male"";""25-29"";8885",,,,
"Total Population;""....Quirino"";""Male"";""30-34"";7937",,,,
"Total Population;""....Quirino"";""Male"";""35-39"";7349",,,,
"Total Population;""....Quirino"";""Male"";""40-44"";6734",,,,
"Total Population;""....Quirino"";""Male"";""45-49"";5852",,,,
"Total Population;""....Quirino"";""Male"";""50-54"";5078",,,,
"Total Population;""....Quirino"";""Male"";""55-59"";4215",,,,
"Total Population;""....Quirino"";""Male"";""60-64"";3463",,,,
"Total Population;""....Quirino"";""Male"";""65-69"";2390",,,,
"Total Population;""....Quirino"";""Male"";""70-74"";1347",,,,
"Total Population;""....Quirino"";""Male"";""75-79"";721",,,,
"Total Population;""....Quirino"";""Male"";""80 years old and over"";678",,,,
"Total Population;""....Quirino"";""Female"";""All Ages"";98200",,,,
"Total Population;""....Quirino"";""Female"";""Below 5"";9194",,,,
"Total Population;""....Quirino"";""Female"";""5-9"";9893",,,,
"Total Population;""....Quirino"";""Female"";""10-14"";10280",,,,
"Total Population;""....Quirino"";""Female"";""15-19"";9508",,,,
"Total Population;""....Quirino"";""Female"";""20-24"";8729",,,,
"Total Population;""....Quirino"";""Female"";""25-29"";7950",,,,
"Total Population;""....Quirino"";""Female"";""30-34"";7125",,,,
"Total Population;""....Quirino"";""Female"";""35-39"";6483",,,,
"Total Population;""....Quirino"";""Female"";""40-44"";5998",,,,
"Total Population;""....Quirino"";""Female"";""45-49"";5181",,,,
"Total Population;""....Quirino"";""Female"";""50-54"";4410",,,,
"Total Population;""....Quirino"";""Female"";""55-59"";4002",,,,
"Total Population;""....Quirino"";""Female"";""60-64"";3318",,,,
"Total Population;""....Quirino"";""Female"";""65-69"";2367",,,,
"Total Population;""....Quirino"";""Female"";""70-74"";1570",,,,
"Total Population;""....Quirino"";""Female"";""75-79"";963",,,,
"Total Population;""....Quirino"";""Female"";""80 years old and over"";1229",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""All Ages"";12422172",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""Below 5"";1189025",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""5-9"";1212391",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""10-14"";1218816",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""15-19"";1154597",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""20-24"";1156224",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""25-29"";1057220",,,,
"Total Population;""..REGION III (CENTRAL LUZON)"";""Both Sexes"";""30-34"";935195",,,,
