"Employed by Hours Actually Worked per Week in All Jobs by Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0433K3E4030.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sexes";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"TOTAL";"..Less Than 20 Hours";..;..;..;..;..;..;..;..;..;..;3862;4084;3868;3767;4158;3988;4507;4706;4457;4995;4929;4740;5102;4842
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"TOTAL";"..20-29";..;..;..;..;..;..;..;..;..;..;3406;3586;3653;3470;3793;3705;3883;4020;3806;4137;4053;3831;3938;3561
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"TOTAL";"..30-39";..;..;..;..;..;..;..;..;..;..;3684;3700;3883;3844;4096;4067;4100;4279;4137;4237;4068;3950;3978;3583
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"TOTAL";"..40-48";..;..;..;..;..;..;..;..;..;..;12684;12538;13358;13964;13837;15019;15352;14872;15939;15850;16441;17913;17766;19150
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"TOTAL";"..49+";..;..;..;..;..;..;..;..;..;..;8467;8264;8395;8595;8660;8848;8923;9304;9413;8980;8845;10231;9213;9692
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"TOTAL";"..Not Reported";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"TOTAL";"..Did Not Work";..;..;..;..;..;..;..;..;..;..;436;462;404;449;516;407;426;418;366;452;405;332;337;330
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Men";"TOTAL";..;..;..;..;..;..;..;..;..;..;19961;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Men";"..Less Than 20 Hours";..;..;..;..;..;..;..;..;..;..;1953;2107;1971;1915;2125;2005;2281;2389;2228;2525;2468;2333;2704;2433
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Men";"..20-29";..;..;..;..;..;..;..;..;..;..;2020;2134;2158;2051;2261;2177;2284;2386;2282;2468;2413;2306;2500;2224
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Men";"..30-39";..;..;..;..;..;..;..;..;..;..;2498;2516;2600;2603;2761;2740;2770;2886;2784;2823;2757;2649;2781;2417
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Men";"..40-48";..;..;..;..;..;..;..;..;..;..;8341;8268;8801;9241;9076;9796;10010;9687;10288;10293;10593;11649;11650;12565
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Men";"..49+";..;..;..;..;..;..;..;..;..;..;4902;4725;4781;4901;4884;4969;4989;5264;5371;5005;4952;5912;5227;5595
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Men";"..Not Reported";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Men";"..Did Not Work";..;..;..;..;..;..;..;..;..;..;246;263;231;249;296;234;240;238;198;252;222;186;204;190
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Women";"TOTAL";..;..;..;..;..;..;..;..;..;..;12579;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Women";"..Less Than 20 Hours";..;..;..;..;..;..;..;..;..;..;1909;1977;1898;1853;2033;1983;2227;2318;2229;2470;2461;2407;2398;2409
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Women";"..20-29";..;..;..;..;..;..;..;..;..;..;1386;1452;1495;1419;1531;1528;1600;1634;1524;1668;1640;1525;1438;1337
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Women";"..30-39";..;..;..;..;..;..;..;..;..;..;1186;1184;1283;1241;1335;1327;1329;1393;1353;1414;1312;1302;1197;1166
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Women";"..40-48";..;..;..;..;..;..;..;..;..;..;4342;4271;4556;4723;4761;5224;5343;5186;5651;5557;5848;6264;6116;6585
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Women";"..49+";..;..;..;..;..;..;..;..;..;..;3564;3539;3614;3694;3776;3880;3934;4040;4042;3976;3893;4319;3986;4096
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Women";"..Not Reported";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Total employed by hours actually worked per week in all jobs - Both Sexes (000)";"Women";"..Did Not Work";..;..;..;..;..;..;..;..;..;..;190;199;173;200;220;173;186;180;168;201;182;147;133;139
