"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Total";"One Floor";"Two Floors";"Three Floors";"Four Floors";"Five to 10 Floors";"11 Floors or more";"Not Reported";"Not applicable"
"Other multi-unit residential";"....City of Marikina";2403;717;1457;208;19;2;0;0;0
"Other multi-unit residential";"....City of Pasig";20491;3584;8238;3050;1686;2716;1192;25;0
"Other multi-unit residential";"....Quezon City";31110;6410;12358;4998;2055;1653;2459;1177;0
"Other multi-unit residential";"....City of San Juan";5547;202;2236;1339;897;808;4;61;0
"Other multi-unit residential";"....City of Caloocan";15721;6336;4962;1520;603;2257;4;39;0
"Other multi-unit residential";"....City of Malabon";2099;540;616;209;35;676;11;12;0
"Other multi-unit residential";"....City of Navotas";3393;839;1816;589;20;122;0;7;0
"Other multi-unit residential";"....City of Valenzuela";7273;2036;1667;3379;108;65;13;5;0
"Other multi-unit residential";"....City of Las Piñas";4813;1746;2466;442;117;34;0;8;0
"Other multi-unit residential";"....City of Makati";28077;3510;5441;2951;2326;1483;11950;416;0
"Other multi-unit residential";"....City of Muntinlupa";3730;1115;1403;265;728;219;0;0;0
"Other multi-unit residential";"....City of Parañaque";7828;2060;4323;1063;289;51;22;20;0
"Other multi-unit residential";"....Pasay City";6537;1142;2868;1234;890;325;29;49;0
"Other multi-unit residential";"....City of Taguig";35232;9401;9731;7150;3084;4623;1187;56;0
"Other multi-unit residential";"....Pateros";311;149;146;13;3;0;0;0;0
"Other multi-unit residential";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";474;119;114;81;84;71;0;5;0
"Other multi-unit residential";"....Abra";69;43;9;12;5;0;0;0;0
"Other multi-unit residential";"....Apayao";14;6;0;0;8;0;0;0;0
"Other multi-unit residential";"....Benguet *";59;9;12;0;4;34;0;0;0
"Other multi-unit residential";"....Ifugao";75;23;4;24;17;6;0;1;0
"Other multi-unit residential";"....Kalinga";45;16;24;5;0;0;0;0;0
"Other multi-unit residential";"....Mountain Province";107;0;12;26;38;31;0;0;0
"Other multi-unit residential";"....City of Baguio";105;22;53;14;12;0;0;4;0
"Other multi-unit residential";"..REGION I (ILOCOS REGION)";8033;6029;1789;158;43;9;0;5;0
"Other multi-unit residential";"....Ilocos Norte";1171;879;245;38;5;4;0;0;0
"Other multi-unit residential";"....Ilocos Sur";736;456;257;17;6;0;0;0;0
"Other multi-unit residential";"....La Union";1059;736;278;40;2;3;0;0;0
"Other multi-unit residential";"....Pangasinan";5067;3958;1009;63;30;2;0;5;0
"Other multi-unit residential";"..REGION II (CAGAYAN VALLEY)";5176;3901;1162;94;19;0;0;0;0
"Other multi-unit residential";"....Batanes";9;0;9;0;0;0;0;0;0
"Other multi-unit residential";"....Cagayan";1423;887;479;45;12;0;0;0;0
"Other multi-unit residential";"....Isabela";2709;2282;403;24;0;0;0;0;0
"Other multi-unit residential";"....Nueva Vizcaya";903;608;263;25;7;0;0;0;0
"Other multi-unit residential";"....Quirino";132;124;8;0;0;0;0;0;0
"Other multi-unit residential";"..REGION III (CENTRAL LUZON)";55961;41615;13212;856;64;32;3;179;0
"Other multi-unit residential";"....Aurora";92;84;7;1;0;0;0;0;0
"Other multi-unit residential";"....Bataan";2509;2021;463;22;0;3;0;0;0
"Other multi-unit residential";"....Bulacan";18770;14128;4028;545;25;3;2;39;0
"Other multi-unit residential";"....Nueva Ecija";5933;5110;791;23;9;0;0;0;0
"Other multi-unit residential";"....Pampanga *";13485;9653;3685;78;4;13;1;51;0
"Other multi-unit residential";"....Tarlac";4836;4177;596;16;4;0;0;43;0
"Other multi-unit residential";"....Zambales *";2457;1912;536;3;3;0;0;3;0
"Other multi-unit residential";"....City of Angeles";4369;2453;1849;21;5;0;0;41;0
"Other multi-unit residential";"....City of Olongapo";3510;2077;1257;147;14;13;0;2;0
"Other multi-unit residential";"..REGION IV-A (CALABARZON)";63617;39171;21708;2043;426;181;7;81;0
"Other multi-unit residential";"....Batangas";9654;7195;2371;65;23;0;0;0;0
"Other multi-unit residential";"....Cavite";22166;12929;8111;806;161;84;7;68;0
"Other multi-unit residential";"....Laguna";15139;9757;4923;370;79;6;0;4;0
"Other multi-unit residential";"....Quezon *";3569;2457;1029;63;20;0;0;0;0
"Other multi-unit residential";"....Rizal";12334;6404;5026;705;129;61;0;9;0
"Other multi-unit residential";"....City of Lucena";755;429;248;34;14;30;0;0;0
"Other multi-unit residential";"..MIMAROPA REGION";3822;2688;1078;52;4;0;0;0;0
"Other multi-unit residential";"....Marinduque";138;79;56;3;0;0;0;0;0
"Other multi-unit residential";"....Occidental Mindoro";628;518;105;5;0;0;0;0;0
"Other multi-unit residential";"....Oriental Mindoro";571;400;159;10;2;0;0;0;0
"Other multi-unit residential";"....Palawan *";706;540;158;8;0;0;0;0;0
"Other multi-unit residential";"....Romblon";231;111;104;14;2;0;0;0;0
"Other multi-unit residential";"....City of Puerto Princesa";1548;1040;496;12;0;0;0;0;0
"Other multi-unit residential";"..REGION V (BICOL REGION)";6100;4031;1879;171;7;11;0;1;0
"Other multi-unit residential";"....Albay";1748;1043;641;63;1;0;0;0;0
"Other multi-unit residential";"....Camarines Norte";481;347;115;19;0;0;0;0;0
"Other multi-unit residential";"....Camarines Sur";2852;1885;876;73;6;11;0;1;0
"Other multi-unit residential";"....Catanduanes";59;46;12;1;0;0;0;0;0
"Other multi-unit residential";"....Masbate";439;288;143;8;0;0;0;0;0
"Other multi-unit residential";"....Sorsogon";521;422;92;7;0;0;0;0;0
"Other multi-unit residential";"..REGION VI (WESTERN VISAYAS)";8348;5565;2661;99;13;0;0;10;0
"Other multi-unit residential";"....Aklan";321;150;166;4;1;0;0;0;0
"Other multi-unit residential";"....Antique";308;262;46;0;0;0;0;0;0
"Other multi-unit residential";"....Capiz";560;392;156;11;0;0;0;1;0
"Other multi-unit residential";"....Guimaras";17;10;7;0;0;0;0;0;0
"Other multi-unit residential";"....Iloilo *";2144;1421;697;21;1;0;0;4;0
"Other multi-unit residential";"....Negros Occidental *";2551;2095;454;1;1;0;0;0;0
"Other multi-unit residential";"....City of Bacolod";1246;773;445;28;0;0;0;0;0
"Other multi-unit residential";"....City of Iloilo";1201;462;690;34;10;0;0;5;0
"Other multi-unit residential";"..REGION VII (CENTRAL VISAYAS)";29433;12659;15058;874;223;430;106;83;0
"Other multi-unit residential";"....Bohol";1187;712;426;32;5;3;0;9;0
"Other multi-unit residential";"....Cebu *";7543;4483;3004;46;7;0;0;3;0
"Other multi-unit residential";"....Negros Oriental";2165;1548;607;7;3;0;0;0;0
"Other multi-unit residential";"....Siquijor";10;3;7;0;0;0;0;0;0
"Other multi-unit residential";"....City of Cebu";6728;1963;3888;534;162;140;12;29;0
"Other multi-unit residential";"....City of Lapu-Lapu (Opon)";7516;2420;4593;153;16;285;32;17;0
"Other multi-unit residential";"....City of Mandaue";4284;1530;2533;102;30;2;62;25;0
"Other multi-unit residential";"..REGION VIII (EASTERN VISAYAS)";4563;2842;1580;114;14;9;0;4;0
"Other multi-unit residential";"....Biliran";34;24;10;0;0;0;0;0;0
"Other multi-unit residential";"....Eastern Samar";360;275;84;1;0;0;0;0;0
"Other multi-unit residential";"....Leyte *";2130;1345;745;34;6;0;0;0;0
"Other multi-unit residential";"....Northern Samar";303;179;103;17;4;0;0;0;0
"Other multi-unit residential";"....Samar (Western Samar)";986;560;370;42;1;9;0;4;0
"Other multi-unit residential";"....Southern Leyte";319;234;75;7;3;0;0;0;0
"Other multi-unit residential";"....City of Tacloban";431;225;193;13;0;0;0;0;0
"Other multi-unit residential";"..REGION IX (ZAMBOANGA PENINSULA)";6683;4417;2209;43;12;0;0;2;0
"Other multi-unit residential";"....Zamboanga del Norte";438;247;190;1;0;0;0;0;0
"Other multi-unit residential";"....Zamboanga del Sur *";645;428;211;6;0;0;0;0;0
"Other multi-unit residential";"....Zamboanga Sibugay";1043;776;263;0;4;0;0;0;0
"Other multi-unit residential";"....City of Isabela **";228;107;115;5;0;0;0;1;0
"Other multi-unit residential";"....City of Zamboanga";4329;2859;1430;31;8;0;0;1;0
"Other multi-unit residential";"..REGION X (NORTHERN MINDANAO)";12749;7892;4603;182;48;14;0;10;0
"Other multi-unit residential";"....Bukidnon";1774;1377;391;2;0;0;0;4;0
"Other multi-unit residential";"....Camiguin";19;8;11;0;0;0;0;0;0
"Other multi-unit residential";"....Lanao del Norte *";730;548;179;3;0;0;0;0;0
"Other multi-unit residential";"....Misamis Occidental";908;565;324;15;2;0;0;2;0
"Other multi-unit residential";"....Misamis Oriental *";1913;1289;622;0;1;1;0;0;0
"Other multi-unit residential";"....City of Cagayan de Oro";5432;3047;2208;128;35;13;0;1;0
"Other multi-unit residential";"....City of Iligan";1973;1058;868;34;10;0;0;3;0
"Other multi-unit residential";"..REGION XI (DAVAO REGION)";16707;9972;6087;333;131;1;167;16;0
"Other multi-unit residential";"....Davao de Oro (Compostela Valley)";1816;1576;230;3;6;0;0;1;0
"Other multi-unit residential";"....Davao del Norte";3624;2581;1023;7;7;0;0;6;0
"Other multi-unit residential";"....Davao del Sur *";878;579;293;5;0;1;0;0;0
"Other multi-unit residential";"....Davao Occidental";23;14;9;0;0;0;0;0;0
"Other multi-unit residential";"....Davao Oriental";702;532;165;5;0;0;0;0;0
"Other multi-unit residential";"....City of Davao";9664;4690;4367;313;118;0;167;9;0
"Other multi-unit residential";"..REGION XII (SOCCSKSARGEN)";3531;3015;495;15;3;2;0;1;0
"Other multi-unit residential";"....Cotabato (North Cotabato)";1013;817;184;9;3;0;0;0;0
"Other multi-unit residential";"....Sarangani";418;373;42;3;0;0;0;0;0
"Other multi-unit residential";"....South Cotabato *";696;637;57;0;0;2;0;0;0
"Other multi-unit residential";"....Sultan Kudarat";597;563;34;0;0;0;0;0;0
"Other multi-unit residential";"....City of General Santos (Dadiangas)";807;625;178;3;0;0;0;1;0
"Other multi-unit residential";"..REGION XIII (CARAGA)";3243;1951;1266;23;2;0;0;1;0
"Other multi-unit residential";"....Agusan del Norte *";514;398;114;0;2;0;0;0;0
"Other multi-unit residential";"....Agusan del Sur";531;357;174;0;0;0;0;0;0
"Other multi-unit residential";"....Dinagat Islands";54;16;38;0;0;0;0;0;0
"Other multi-unit residential";"....Surigao del Norte";377;239;125;12;0;0;0;1;0
"Other multi-unit residential";"....Surigao del Sur";945;413;524;8;0;0;0;0;0
"Other multi-unit residential";"....City of Butuan";822;528;291;3;0;0;0;0;0
"Other multi-unit residential";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";2704;1146;1281;67;9;0;0;201;0
"Other multi-unit residential";"....Basilan";80;34;43;0;0;0;0;3;0
"Other multi-unit residential";"....Lanao del Sur";1158;420;661;58;9;0;0;10;0
"Other multi-unit residential";"....Maguindanao";930;485;438;4;0;0;0;3;0
"Other multi-unit residential";"....Sulu";353;98;67;3;0;0;0;185;0
"Other multi-unit residential";"....Tawi-Tawi";48;21;25;2;0;0;0;0;0
"Other multi-unit residential";"....Eight (8) Area Clusters ***";135;88;47;0;0;0;0;0;0
"Commercial/industrial/agricultural";"PHILIPPINES";41248;22473;11968;3849;1974;791;85;108;0
"Commercial/industrial/agricultural";"..NATIONAL CAPITAL REGION (NCR)";13603;5501;4510;1685;1267;512;77;51;0
"Commercial/industrial/agricultural";"....City of Manila";1715;285;566;321;256;259;15;13;0
"Commercial/industrial/agricultural";"....City of Mandaluyong";359;75;135;97;19;32;0;1;0
"Commercial/industrial/agricultural";"....City of Marikina";329;144;124;45;12;4;0;0;0
"Commercial/industrial/agricultural";"....City of Pasig";521;228;232;42;10;9;0;0;0
"Commercial/industrial/agricultural";"....Quezon City";3879;1516;1067;472;649;108;48;19;0
"Commercial/industrial/agricultural";"....City of San Juan";156;28;67;29;19;12;1;0;0
"Commercial/industrial/agricultural";"....City of Caloocan";1382;591;544;148;69;24;0;6;0
"Commercial/industrial/agricultural";"....City of Malabon";467;187;184;69;25;2;0;0;0
"Commercial/industrial/agricultural";"....City of Navotas";183;104;65;13;1;0;0;0;0
"Commercial/industrial/agricultural";"....City of Valenzuela";1999;1294;519;133;40;5;1;7;0
"Commercial/industrial/agricultural";"....City of Las Piñas";494;268;154;63;5;4;0;0;0
"Commercial/industrial/agricultural";"....City of Makati";335;116;104;57;33;25;0;0;0
"Commercial/industrial/agricultural";"....City of Muntinlupa";203;108;61;12;19;0;0;3;0
"Commercial/industrial/agricultural";"....City of Parañaque";682;287;281;65;38;7;4;0;0
"Commercial/industrial/agricultural";"....Pasay City";648;153;292;109;65;19;8;2;0
"Commercial/industrial/agricultural";"....City of Taguig";243;111;113;10;7;2;0;0;0
"Commercial/industrial/agricultural";"....Pateros";8;6;2;0;0;0;0;0;0
"Commercial/industrial/agricultural";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";832;298;157;107;149;111;1;9;0
"Commercial/industrial/agricultural";"....Abra";21;15;3;2;0;1;0;0;0
"Commercial/industrial/agricultural";"....Apayao";34;16;14;4;0;0;0;0;0
"Commercial/industrial/agricultural";"....Benguet *";256;148;45;35;21;7;0;0;0
"Commercial/industrial/agricultural";"....Ifugao";25;12;3;1;3;5;1;0;0
"Commercial/industrial/agricultural";"....Kalinga";20;11;5;4;0;0;0;0;0
"Commercial/industrial/agricultural";"....Mountain Province";16;2;4;6;1;3;0;0;0
"Commercial/industrial/agricultural";"....City of Baguio";460;94;83;55;124;95;0;9;0
"Commercial/industrial/agricultural";"..REGION I (ILOCOS REGION)";1087;648;297;93;29;14;1;5;0
"Commercial/industrial/agricultural";"....Ilocos Norte";181;94;46;23;14;4;0;0;0
"Commercial/industrial/agricultural";"....Ilocos Sur";132;86;28;8;2;8;0;0;0
"Commercial/industrial/agricultural";"....La Union";147;65;60;16;5;0;0;1;0
"Commercial/industrial/agricultural";"....Pangasinan";627;403;163;46;8;2;1;4;0
"Commercial/industrial/agricultural";"..REGION II (CAGAYAN VALLEY)";1150;719;286;96;41;7;1;0;0
"Commercial/industrial/agricultural";"....Batanes";4;1;1;2;0;0;0;0;0
"Commercial/industrial/agricultural";"....Cagayan";351;150;111;53;29;7;1;0;0
"Commercial/industrial/agricultural";"....Isabela";381;249;104;22;6;0;0;0;0
"Commercial/industrial/agricultural";"....Nueva Vizcaya";297;244;45;8;0;0;0;0;0
"Commercial/industrial/agricultural";"....Quirino";117;75;25;11;6;0;0;0;0
"Commercial/industrial/agricultural";"..REGION III (CENTRAL LUZON)";4686;3209;1148;256;59;11;0;3;0
"Commercial/industrial/agricultural";"....Aurora";72;54;14;3;0;1;0;0;0
"Commercial/industrial/agricultural";"....Bataan";261;202;48;11;0;0;0;0;0
"Commercial/industrial/agricultural";"....Bulacan";1838;1276;432;105;23;0;0;2;0
"Commercial/industrial/agricultural";"....Nueva Ecija";732;493;187;45;6;1;0;0;0
"Commercial/industrial/agricultural";"....Pampanga *";714;576;113;18;4;2;0;1;0
"Commercial/industrial/agricultural";"....Tarlac";399;263;108;25;3;0;0;0;0
"Commercial/industrial/agricultural";"....Zambales *";132;83;39;5;5;0;0;0;0
"Commercial/industrial/agricultural";"....City of Angeles";302;190;99;8;4;1;0;0;0
"Commercial/industrial/agricultural";"....City of Olongapo";236;72;108;36;14;6;0;0;0
"Commercial/industrial/agricultural";"..REGION IV-A (CALABARZON)";5508;3697;1329;336;105;30;1;10;0
"Commercial/industrial/agricultural";"....Batangas";927;659;192;48;19;4;0;5;0
"Commercial/industrial/agricultural";"....Cavite";1992;1445;420;93;26;6;0;2;0
"Commercial/industrial/agricultural";"....Laguna";838;536;220;56;17;8;0;1;0
"Commercial/industrial/agricultural";"....Quezon *";603;338;196;57;10;1;0;1;0
"Commercial/industrial/agricultural";"....Rizal";1026;677;248;68;23;8;1;1;0
"Commercial/industrial/agricultural";"....City of Lucena";122;42;53;14;10;3;0;0;0
"Commercial/industrial/agricultural";"..MIMAROPA REGION";1011;637;279;76;12;6;1;0;0
"Commercial/industrial/agricultural";"....Marinduque";38;16;19;2;1;0;0;0;0
"Commercial/industrial/agricultural";"....Occidental Mindoro";75;52;14;9;0;0;0;0;0
"Commercial/industrial/agricultural";"....Oriental Mindoro";322;195;102;21;1;2;1;0;0
"Commercial/industrial/agricultural";"....Palawan *";370;252;87;24;6;1;0;0;0
"Commercial/industrial/agricultural";"....Romblon";30;19;9;1;1;0;0;0;0
"Commercial/industrial/agricultural";"....City of Puerto Princesa";176;103;48;19;3;3;0;0;0
"Commercial/industrial/agricultural";"..REGION V (BICOL REGION)";1498;793;503;158;31;10;2;1;0
"Commercial/industrial/agricultural";"....Albay";269;121;83;50;9;5;0;1;0
"Commercial/industrial/agricultural";"....Camarines Norte";236;145;66;17;8;0;0;0;0
"Commercial/industrial/agricultural";"....Camarines Sur";609;344;202;56;5;0;2;0;0
"Commercial/industrial/agricultural";"....Catanduanes";76;27;29;9;6;5;0;0;0
"Commercial/industrial/agricultural";"....Masbate";137;70;56;9;2;0;0;0;0
"Commercial/industrial/agricultural";"....Sorsogon";171;86;67;17;1;0;0;0;0
"Commercial/industrial/agricultural";"..REGION VI (WESTERN VISAYAS)";1945;936;654;251;74;27;0;3;0
"Commercial/industrial/agricultural";"....Aklan";249;87;94;50;17;1;0;0;0
"Commercial/industrial/agricultural";"....Antique";123;75;39;6;3;0;0;0;0
"Commercial/industrial/agricultural";"....Capiz";106;48;42;14;1;0;0;1;0
"Commercial/industrial/agricultural";"....Guimaras";57;26;20;11;0;0;0;0;0
"Commercial/industrial/agricultural";"....Iloilo *";283;194;63;19;6;0;0;1;0
"Commercial/industrial/agricultural";"....Negros Occidental *";363;217;129;15;1;1;0;0;0
"Commercial/industrial/agricultural";"....City of Bacolod";372;147;146;59;14;6;0;0;0
"Commercial/industrial/agricultural";"....City of Iloilo";392;142;121;77;32;19;0;1;0
"Commercial/industrial/agricultural";"..REGION VII (CENTRAL VISAYAS)";1910;1075;564;188;52;23;1;7;0
"Commercial/industrial/agricultural";"....Bohol";269;200;44;20;3;2;0;0;0
"Commercial/industrial/agricultural";"....Cebu *";541;363;136;27;4;10;0;1;0
"Commercial/industrial/agricultural";"....Negros Oriental";236;131;77;22;6;0;0;0;0
"Commercial/industrial/agricultural";"....Siquijor";35;23;8;1;2;1;0;0;0
"Commercial/industrial/agricultural";"....City of Cebu";431;167;160;59;30;9;1;5;0
"Commercial/industrial/agricultural";"....City of Lapu-Lapu (Opon)";136;82;41;10;2;0;0;1;0
"Commercial/industrial/agricultural";"....City of Mandaue";262;109;98;49;5;1;0;0;0
"Commercial/industrial/agricultural";"..REGION VIII (EASTERN VISAYAS)";860;434;288;92;29;17;0;0;0
"Commercial/industrial/agricultural";"....Biliran";45;30;10;2;2;1;0;0;0
"Commercial/industrial/agricultural";"....Eastern Samar";47;27;13;6;1;0;0;0;0
"Commercial/industrial/agricultural";"....Leyte *";306;164;121;17;2;2;0;0;0
"Commercial/industrial/agricultural";"....Northern Samar";80;43;30;5;1;1;0;0;0
"Commercial/industrial/agricultural";"....Samar (Western Samar)";81;26;34;16;5;0;0;0;0
"Commercial/industrial/agricultural";"....Southern Leyte";111;92;17;2;0;0;0;0;0
"Commercial/industrial/agricultural";"....City of Tacloban";190;52;63;44;18;13;0;0;0
"Commercial/industrial/agricultural";"..REGION IX (ZAMBOANGA PENINSULA)";994;611;239;109;21;11;0;3;0
"Commercial/industrial/agricultural";"....Zamboanga del Norte";159;99;35;17;4;3;0;1;0
"Commercial/industrial/agricultural";"....Zamboanga del Sur *";240;99;67;60;7;5;0;2;0
"Commercial/industrial/agricultural";"....Zamboanga Sibugay";326;258;53;9;6;0;0;0;0
"Commercial/industrial/agricultural";"....City of Isabela **";16;8;7;1;0;0;0;0;0
"Commercial/industrial/agricultural";"....City of Zamboanga";253;147;77;22;4;3;0;0;0
"Commercial/industrial/agricultural";"..REGION X (NORTHERN MINDANAO)";1680;1085;476;86;24;3;0;6;0
"Commercial/industrial/agricultural";"....Bukidnon";546;444;87;10;2;0;0;3;0
"Commercial/industrial/agricultural";"....Camiguin";26;12;9;5;0;0;0;0;0
"Commercial/industrial/agricultural";"....Lanao del Norte *";182;119;61;2;0;0;0;0;0
"Commercial/industrial/agricultural";"....Misamis Occidental";96;64;27;2;3;0;0;0;0
"Commercial/industrial/agricultural";"....Misamis Oriental *";221;178;38;4;0;1;0;0;0
"Commercial/industrial/agricultural";"....City of Cagayan de Oro";434;192;185;38;15;2;0;2;0
"Commercial/industrial/agricultural";"....City of Iligan";175;76;69;25;4;0;0;1;0
"Commercial/industrial/agricultural";"..REGION XI (DAVAO REGION)";2109;1338;605;121;36;3;0;6;0
"Commercial/industrial/agricultural";"....Davao de Oro (Compostela Valley)";276;164;109;3;0;0;0;0;0
"Commercial/industrial/agricultural";"....Davao del Norte";381;306;64;9;1;1;0;0;0
"Commercial/industrial/agricultural";"....Davao del Sur *";146;100;38;7;0;0;0;1;0
"Commercial/industrial/agricultural";"....Davao Occidental";25;22;3;0;0;0;0;0;0
"Commercial/industrial/agricultural";"....Davao Oriental";76;45;30;1;0;0;0;0;0
"Commercial/industrial/agricultural";"....City of Davao";1205;701;361;101;35;2;0;5;0
"Commercial/industrial/agricultural";"..REGION XII (SOCCSKSARGEN)";1132;862;219;36;10;4;0;1;0
"Commercial/industrial/agricultural";"....Cotabato (North Cotabato)";340;252;74;13;1;0;0;0;0
"Commercial/industrial/agricultural";"....Sarangani";50;45;5;0;0;0;0;0;0
"Commercial/industrial/agricultural";"....South Cotabato *";272;212;42;10;7;1;0;0;0
"Commercial/industrial/agricultural";"....Sultan Kudarat";225;172;48;4;0;1;0;0;0
"Commercial/industrial/agricultural";"....City of General Santos (Dadiangas)";245;181;50;9;2;2;0;1;0
"Commercial/industrial/agricultural";"..REGION XIII (CARAGA)";714;431;208;61;12;2;0;0;0
"Commercial/industrial/agricultural";"....Agusan del Norte *";63;45;17;1;0;0;0;0;0
"Commercial/industrial/agricultural";"....Agusan del Sur";174;123;46;3;2;0;0;0;0
"Commercial/industrial/agricultural";"....Dinagat Islands";24;18;2;4;0;0;0;0;0
"Commercial/industrial/agricultural";"....Surigao del Norte";103;60;29;11;2;1;0;0;0
"Commercial/industrial/agricultural";"....Surigao del Sur";125;75;34;15;0;1;0;0;0
"Commercial/industrial/agricultural";"....City of Butuan";225;110;80;27;8;0;0;0;0
"Commercial/industrial/agricultural";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";529;199;206;98;23;0;0;3;0
"Commercial/industrial/agricultural";"....Basilan";10;8;2;0;0;0;0;0;0
"Commercial/industrial/agricultural";"....Lanao del Sur";69;45;19;4;0;0;0;1;0
"Commercial/industrial/agricultural";"....Maguindanao";369;94;161;91;22;0;0;1;0
"Commercial/industrial/agricultural";"....Sulu";44;26;16;0;1;0;0;1;0
"Commercial/industrial/agricultural";"....Tawi-Tawi";28;17;8;3;0;0;0;0;0
"Commercial/industrial/agricultural";"....Eight (8) Area Clusters ***";9;9;0;0;0;0;0;0;0
"Institutional living quarter";"PHILIPPINES";3424;1729;917;340;168;249;11;10;0
"Institutional living quarter";"..NATIONAL CAPITAL REGION (NCR)";658;200;189;99;56;105;8;1;0
"Institutional living quarter";"....City of Manila";188;31;32;32;30;58;5;0;0
"Institutional living quarter";"....City of Mandaluyong";23;6;5;1;11;0;0;0;0
"Institutional living quarter";"....City of Marikina";23;7;10;6;0;0;0;0;0
"Institutional living quarter";"....City of Pasig";21;12;2;6;0;1;0;0;0
"Institutional living quarter";"....Quezon City";162;57;54;18;5;27;1;0;0
"Institutional living quarter";"....City of San Juan";5;2;0;2;0;0;0;1;0
"Institutional living quarter";"....City of Caloocan";34;12;15;2;1;4;0;0;0
"Institutional living quarter";"....City of Malabon";6;2;3;1;0;0;0;0;0
"Institutional living quarter";"....City of Navotas";9;7;2;0;0;0;0;0;0
"Institutional living quarter";"....City of Valenzuela";48;15;9;9;2;13;0;0;0
"Institutional living quarter";"....City of Las Piñas";37;16;4;17;0;0;0;0;0
"Institutional living quarter";"....City of Makati";26;8;17;0;1;0;0;0;0
"Institutional living quarter";"....City of Muntinlupa";5;2;3;0;0;0;0;0;0
"Institutional living quarter";"....City of Parañaque";38;18;17;3;0;0;0;0;0
"Institutional living quarter";"....Pasay City";9;0;2;1;4;2;0;0;0
"Institutional living quarter";"....City of Taguig";23;4;14;1;2;0;2;0;0
"Institutional living quarter";"....Pateros";1;1;0;0;0;0;0;0;0
"Institutional living quarter";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";65;11;9;15;19;11;0;0;0
"Institutional living quarter";"....Abra";7;1;2;2;2;0;0;0;0
"Institutional living quarter";"....Apayao";1;1;0;0;0;0;0;0;0
"Institutional living quarter";"....Benguet *";14;4;0;10;0;0;0;0;0
"Institutional living quarter";"....Ifugao";0;0;0;0;0;0;0;0;0
"Institutional living quarter";"....Kalinga";4;3;0;1;0;0;0;0;0
"Institutional living quarter";"....Mountain Province";11;1;1;0;9;0;0;0;0
"Institutional living quarter";"....City of Baguio";28;1;6;2;8;11;0;0;0
"Institutional living quarter";"..REGION I (ILOCOS REGION)";112;53;30;21;8;0;0;0;0
"Institutional living quarter";"....Ilocos Norte";15;11;4;0;0;0;0;0;0
"Institutional living quarter";"....Ilocos Sur";14;9;5;0;0;0;0;0;0
"Institutional living quarter";"....La Union";45;15;7;17;6;0;0;0;0
"Institutional living quarter";"....Pangasinan";38;18;14;4;2;0;0;0;0
"Institutional living quarter";"..REGION II (CAGAYAN VALLEY)";64;36;18;8;1;1;0;0;0
"Institutional living quarter";"....Batanes";5;3;2;0;0;0;0;0;0
"Institutional living quarter";"....Cagayan";28;13;8;5;1;1;0;0;0
"Institutional living quarter";"....Isabela";21;12;7;2;0;0;0;0;0
"Institutional living quarter";"....Nueva Vizcaya";10;8;1;1;0;0;0;0;0
"Institutional living quarter";"....Quirino";0;0;0;0;0;0;0;0;0
"Institutional living quarter";"..REGION III (CENTRAL LUZON)";344;239;74;14;10;4;1;2;0
"Institutional living quarter";"....Aurora";16;5;9;1;1;0;0;0;0
"Institutional living quarter";"....Bataan";24;16;4;3;1;0;0;0;0
"Institutional living quarter";"....Bulacan";148;107;37;3;0;0;0;1;0
"Institutional living quarter";"....Nueva Ecija";46;30;7;4;5;0;0;0;0
"Institutional living quarter";"....Pampanga *";46;40;3;1;1;0;1;0;0
"Institutional living quarter";"....Tarlac";22;14;5;0;2;0;0;1;0
"Institutional living quarter";"....Zambales *";25;16;8;1;0;0;0;0;0
"Institutional living quarter";"....City of Angeles";9;8;0;1;0;0;0;0;0
"Institutional living quarter";"....City of Olongapo";8;3;1;0;0;4;0;0;0
"Institutional living quarter";"..REGION IV-A (CALABARZON)";322;171;91;30;12;17;1;0;0
"Institutional living quarter";"....Batangas";67;49;13;4;1;0;0;0;0
"Institutional living quarter";"....Cavite";93;36;21;20;10;6;0;0;0
"Institutional living quarter";"....Laguna";47;25;17;3;0;1;1;0;0
"Institutional living quarter";"....Quezon *";39;23;16;0;0;0;0;0;0
"Institutional living quarter";"....Rizal";73;36;23;3;1;10;0;0;0
"Institutional living quarter";"....City of Lucena";3;2;1;0;0;0;0;0;0
"Institutional living quarter";"..MIMAROPA REGION";146;66;28;21;12;18;0;1;0
"Institutional living quarter";"....Marinduque";5;1;3;1;0;0;0;0;0
"Institutional living quarter";"....Occidental Mindoro";7;4;2;1;0;0;0;0;0
"Institutional living quarter";"....Oriental Mindoro";31;11;11;5;3;0;0;1;0
"Institutional living quarter";"....Palawan *";49;30;6;9;4;0;0;0;0
"Institutional living quarter";"....Romblon";11;3;4;1;3;0;0;0;0
"Institutional living quarter";"....City of Puerto Princesa";43;17;2;4;2;18;0;0;0
"Institutional living quarter";"..REGION V (BICOL REGION)";198;86;72;32;8;0;0;0;0
