"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"

"Type of Building";"Geographic Location";"Total";"One Floor";"Two Floors";"Three Floors";"Four Floors";"Five to 10 Floors";"11 Floors or more";"Not Reported";"Not applicable"
"All Types of Building";"....Camarines Sur";445150;400769;42257;1960;86;22;2;33;21
"All Types of Building";"....Catanduanes";59815;53695;5732;317;34;5;0;22;10
"All Types of Building";"....Masbate";204668;190424;13680;477;38;3;0;43;3
"All Types of Building";"....Sorsogon";185489;170629;14224;581;33;1;0;19;2
"All Types of Building";"..REGION VI (WESTERN VISAYAS)";1896202;1703497;187114;4229;525;80;1;696;60
"All Types of Building";"....Aklan";147890;128838;18161;793;85;5;1;6;1
"All Types of Building";"....Antique";146370;139189;6981;144;13;0;0;41;2
"All Types of Building";"....Capiz";199268;186269;12601;331;17;0;0;41;9
"All Types of Building";"....Guimaras";47137;45132;1962;30;2;0;0;9;2
"All Types of Building";"....Iloilo *";499274;459954;38287;635;60;0;0;311;27
"All Types of Building";"....Negros Occidental *";619110;573278;45352;353;33;1;0;93;0
"All Types of Building";"....City of Bacolod";138999;112947;25331;551;108;12;0;44;6
"All Types of Building";"....City of Iloilo";98154;57890;38439;1392;207;62;0;151;13
"All Types of Building";"..REGION VII (CENTRAL VISAYAS)";1909857;1542002;345393;14167;3791;1335;1970;1132;67
"All Types of Building";"....Bohol";319246;282996;35420;498;56;5;0;255;16
"All Types of Building";"....Cebu *";774454;677211;94842;1976;220;25;0;161;19
"All Types of Building";"....Negros Oriental";343272;300238;42567;376;32;5;0;42;12
"All Types of Building";"....Siquijor";25698;23270;2382;39;3;1;0;2;1
"All Types of Building";"....City of Cebu";219984;113838;93516;7938;2480;778;1006;414;14
"All Types of Building";"....City of Lapu-Lapu (Opon)";127300;88562;36363;1373;319;399;215;68;1
"All Types of Building";"....City of Mandaue";99903;55887;40303;1967;681;122;749;190;4
"All Types of Building";"..REGION VIII (EASTERN VISAYAS)";1068259;917517;146126;3947;431;35;1;163;39
"All Types of Building";"....Biliran";42634;39185;3330;96;20;1;0;2;0
"All Types of Building";"....Eastern Samar";114960;92232;22257;413;33;0;1;20;4
"All Types of Building";"....Leyte *";438893;396903;40936;934;60;2;0;39;19
"All Types of Building";"....Northern Samar";137759;114120;23043;529;43;2;0;21;1
"All Types of Building";"....Samar (Western Samar)";178614;145301;31989;1110;126;17;0;67;4
"All Types of Building";"....Southern Leyte";100046;91285;8371;331;48;0;0;6;5
"All Types of Building";"....City of Tacloban";55353;38491;16200;534;101;13;0;8;6
"All Types of Building";"..REGION IX (ZAMBOANGA PENINSULA)";858337;785928;70670;1305;209;17;0;178;30
"All Types of Building";"....Zamboanga del Norte";240805;223114;17334;305;27;3;0;22;0
"All Types of Building";"....Zamboanga del Sur *";232500;216958;15202;260;28;6;0;35;11
"All Types of Building";"....Zamboanga Sibugay";151206;142776;8306;103;16;0;0;4;1
"All Types of Building";"....City of Isabela **";24305;21527;2710;38;4;0;0;24;2
"All Types of Building";"....City of Zamboanga";209521;181553;27118;599;134;8;0;93;16
"All Types of Building";"..REGION X (NORTHERN MINDANAO)";1131542;974388;152717;3626;428;95;1;262;25
"All Types of Building";"....Bukidnon";347980;323015;24342;413;72;0;0;129;9
"All Types of Building";"....Camiguin";21821;18858;2917;46;0;0;0;0;0
"All Types of Building";"....Lanao del Norte *";137943;124840;12973;104;8;0;0;18;0
"All Types of Building";"....Misamis Occidental";145529;128326;16839;302;45;0;0;12;5
"All Types of Building";"....Misamis Oriental *";218537;192340;25791;346;22;2;0;31;5
"All Types of Building";"....City of Cagayan de Oro";177951;126775;49058;1734;226;93;1;59;5
"All Types of Building";"....City of Iligan";81781;60234;20797;681;55;0;0;13;1
"All Types of Building";"..REGION XI (DAVAO REGION)";1285860;1145618;132950;4856;842;516;421;581;76
"All Types of Building";"....Davao de Oro (Compostela Valley)";184649;174230;10191;132;17;0;0;73;6
"All Types of Building";"....Davao del Norte";264129;244923;18853;220;27;1;0;97;8
"All Types of Building";"....Davao del Sur *";176400;164635;11569;104;16;1;0;60;15
"All Types of Building";"....Davao Occidental";76739;72252;4443;10;3;0;0;31;0
"All Types of Building";"....Davao Oriental";134328;126506;7735;64;6;0;0;16;1
"All Types of Building";"....City of Davao";449615;363072;80159;4326;773;514;421;304;46
"All Types of Building";"..REGION XII (SOCCSKSARGEN)";1037179;991822;44475;558;81;18;0;130;95
"All Types of Building";"....Cotabato (North Cotabato)";300107;285405;14404;169;18;8;0;30;73
"All Types of Building";"....Sarangani";130972;125525;5408;26;2;0;0;11;0
"All Types of Building";"....South Cotabato *";238720;231731;6816;104;31;3;0;29;6
"All Types of Building";"....Sultan Kudarat";195885;190108;5695;46;5;1;0;29;1
"All Types of Building";"....City of General Santos (Dadiangas)";171495;159053;12152;213;25;6;0;31;15
"All Types of Building";"..REGION XIII (CARAGA)";645835;567133;77213;1188;135;9;0;130;27
"All Types of Building";"....Agusan del Norte *";88064;79269;8712;56;9;0;0;18;0
"All Types of Building";"....Agusan del Sur";171961;157384;14460;67;3;2;0;33;12
"All Types of Building";"....Dinagat Islands";28447;24909;3475;51;5;0;0;7;0
"All Types of Building";"....Surigao del Norte";123575;106490;16412;552;95;2;0;22;2
"All Types of Building";"....Surigao del Sur";147305;126058;20958;258;7;2;0;16;6
"All Types of Building";"....City of Butuan";86483;73023;13196;204;16;3;0;34;7
"All Types of Building";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";724875;648420;64285;1377;210;0;0;10557;26
"All Types of Building";"....Basilan";69327;66813;2336;24;6;0;0;145;3
"All Types of Building";"....Lanao del Sur";130552;102829;26520;718;100;0;0;367;18
"All Types of Building";"....Maguindanao";266763;240762;25148;451;64;0;0;333;5
"All Types of Building";"....Sulu";146622;132933;3888;102;27;0;0;9672;0
"All Types of Building";"....Tawi-Tawi";65741;61917;3702;74;9;0;0;39;0
"All Types of Building";"....Eight (8) Area Clusters ***";45870;43166;2691;8;4;0;0;1;0
"Single House";"PHILIPPINES";22059348;18418492;3262298;293074;50849;0;0;34635;0
"Single House";"..NATIONAL CAPITAL REGION (NCR)";2161188;1028586;885892;190374;37969;0;0;18367;0
"Single House";"....City of Manila";252720;48608;140867;43224;11615;0;0;8406;0
"Single House";"....City of Mandaluyong";55824;7753;31607;10815;4028;0;0;1621;0
"Single House";"....City of Marikina";77125;34049;35547;6736;739;0;0;54;0
"Single House";"....City of Pasig";113387;47351;51494;12193;1857;0;0;492;0
"Single House";"....Quezon City";521248;275057;198049;39271;6415;0;0;2456;0
"Single House";"....City of San Juan";15478;2467;8996;2392;563;0;0;1060;0
"Single House";"....City of Caloocan";294947;196154;81291;14417;2510;0;0;575;0
"Single House";"....City of Malabon";77315;35940;35942;4801;476;0;0;156;0
"Single House";"....City of Navotas";46919;23938;19578;2972;338;0;0;93;0
"Single House";"....City of Valenzuela";112612;73668;32660;5627;502;0;0;155;0
"Single House";"....City of Las Piñas";111899;53445;51008;6627;750;0;0;69;0
"Single House";"....City of Makati";70814;31807;29338;7206;1725;0;0;738;0
"Single House";"....City of Muntinlupa";89550;52094;32622;4013;472;0;0;349;0
"Single House";"....City of Parañaque";131629;59528;61507;8901;1156;0;0;537;0
