"Number and Percent Distribution of Unionized Workers in Establishments Employing 20 or More Workers by Employment Size and Sex, Philippines: June 2014 to August 2022"

"Employment Size";"2014 Both Sexes";"2014 ..Male";"2014 ..Female";"2016 Both Sexes";"2016 ..Male";"2016 ..Female";"2018 Both Sexes";"2018 ..Male";"2018 ..Female";"2020 Both Sexes";"2020 ..Male";"2020 ..Female";"2022 Both Sexes";"2022 ..Male";"2022 ..Female"
"20 - 99 workers";23398;76.7;23.3;28063;67.8;32.2;29052;69.1;30.9;17812;72.4;27.6;18097;66.0;34.0
"100 - 199 workers";36393;75.5;24.5;28619;75.3;24.7;33143;73.7;26.3;32773;68.2;31.8;26948;77.2;22.8
"200 and Over workers";280580;63.1;36.9;226399;63.3;36.7;291429;59.3;40.7;265873;51.8;48.2;300709;57.7;42.3
