"Number of Workers Who Received Cash and Non-Cash Productivity-Based Incentives in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: 2015"

"Type of workers";"Major Industry Group";"Cash and Non-Cash Productivity-Based Incentives";"2015"
"Supervisors";"..Education Except Public Education";"....P20,000 and Over";1
"Supervisors";"..Education Except Public Education";"..Number of Workers Who Received Non-Cash Incentives";193
"Supervisors";"..Human Health and Social Work Activities Except Public Health Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";706
"Supervisors";"..Human Health and Social Work Activities Except Public Health Activities";"..Number of Workers Who Received Cash Incentives";406
"Supervisors";"..Human Health and Social Work Activities Except Public Health Activities";"....Below P5,000";45
"Supervisors";"..Human Health and Social Work Activities Except Public Health Activities";"....P5,000-P9,999";134
"Supervisors";"..Human Health and Social Work Activities Except Public Health Activities";"....P10,000-P14,999";76
"Supervisors";"..Human Health and Social Work Activities Except Public Health Activities";"....P15,000-P19,999";96
"Supervisors";"..Human Health and Social Work Activities Except Public Health Activities";"....P20,000 and Over";55
"Supervisors";"..Human Health and Social Work Activities Except Public Health Activities";"..Number of Workers Who Received Non-Cash Incentives";300
"Supervisors";"..Arts, Entertainment and Recreation";"Total Number of Workers Who Received Cash and Non-Cash Incentives";63
"Supervisors";"..Arts, Entertainment and Recreation";"..Number of Workers Who Received Cash Incentives";49
"Supervisors";"..Arts, Entertainment and Recreation";"....Below P5,000";49
"Supervisors";"..Arts, Entertainment and Recreation";"....P5,000-P9,999";0
"Supervisors";"..Arts, Entertainment and Recreation";"....P10,000-P14,999";0
"Supervisors";"..Arts, Entertainment and Recreation";"....P15,000-P19,999";0
"Supervisors";"..Arts, Entertainment and Recreation";"....P20,000 and Over";0
"Supervisors";"..Arts, Entertainment and Recreation";"..Number of Workers Who Received Non-Cash Incentives";14
"Supervisors";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";45
"Supervisors";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Number of Workers Who Received Cash Incentives";6
"Supervisors";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Below P5,000";6
"Supervisors";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P5,000-P9,999";0
"Supervisors";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P10,000-P14,999";0
"Supervisors";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P15,000-P19,999";0
"Supervisors";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P20,000 and Over";0
"Supervisors";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Number of Workers Who Received Non-Cash Incentives";39
"Regular Rank and File";"ALL INDUSTRIES";"Total Number of Workers Who Received Cash and Non-Cash Incentives";161555
"Regular Rank and File";"ALL INDUSTRIES";"..Number of Workers Who Received Cash Incentives";113998
"Regular Rank and File";"ALL INDUSTRIES";"....Below P5,000";58830
"Regular Rank and File";"ALL INDUSTRIES";"....P5,000-P9,999";22036
"Regular Rank and File";"ALL INDUSTRIES";"....P10,000-P14,999";9682
"Regular Rank and File";"ALL INDUSTRIES";"....P15,000-P19,999";5657
"Regular Rank and File";"ALL INDUSTRIES";"....P20,000 and Over";17794
"Regular Rank and File";"ALL INDUSTRIES";"..Number of Workers Who Received Non-Cash Incentives";47557
"Regular Rank and File";"..Agriculture, Forestry and Fishing";"Total Number of Workers Who Received Cash and Non-Cash Incentives";4483
"Regular Rank and File";"..Agriculture, Forestry and Fishing";"..Number of Workers Who Received Cash Incentives";3141
"Regular Rank and File";"..Agriculture, Forestry and Fishing";"....Below P5,000";1513
"Regular Rank and File";"..Agriculture, Forestry and Fishing";"....P5,000-P9,999";155
"Regular Rank and File";"..Agriculture, Forestry and Fishing";"....P10,000-P14,999";89
"Regular Rank and File";"..Agriculture, Forestry and Fishing";"....P15,000-P19,999";511
"Regular Rank and File";"..Agriculture, Forestry and Fishing";"....P20,000 and Over";874
"Regular Rank and File";"..Agriculture, Forestry and Fishing";"..Number of Workers Who Received Non-Cash Incentives";1342
"Regular Rank and File";"..Mining and Quarrying";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1750
"Regular Rank and File";"..Mining and Quarrying";"..Number of Workers Who Received Cash Incentives";1748
"Regular Rank and File";"..Mining and Quarrying";"....Below P5,000";68
