"Annual Training Cost by Employment Size and Training Provider, Philippines: June 2013"

"Employment Size";"2013 Total";"2013 Local Private Training Institution";"2013 Government Training Institution";"2013 In-house";"2013 Foreign Training Institution";"2013 Others"
"ALL SIZES";6179.6;1444.0;179.5;3843.6;711.0;1.6
"..20 - 99 workers";1018.8;343.3;78.1;515.0;81.5;0.9
"..100 - 199 workers";706.3;173.8;48.1;271.7;212.7;0.0
"..200 workers or more";4454.5;926.9;53.2;3056.9;416.8;0.8
