"Number of Establishments Employing 20 or More Workers by Type of Non-Cash Productivity-Based Incentives Provided and Major Industry Group, Philippines: 2015"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/6251B3GP100.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Non-Cash Productivity-Based Incentives";"2015"
"..Administrative and Support Service Activities";"Non-Food";14
"..Administrative and Support Service Activities";"Free/subsidized travel/leisure";9
"..Administrative and Support Service Activities";"Scholarship";0
"..Administrative and Support Service Activities";"Others";0
"..Education Except Public Education";"Establishments with Non-Cash Productivity-Based Incentives";99
"..Education Except Public Education";"Plaque/trophy/certificate of recognition";83
"..Education Except Public Education";"Food";18
"..Education Except Public Education";"Non-Food";17
"..Education Except Public Education";"Free/subsidized travel/leisure";22
"..Education Except Public Education";"Scholarship";24
"..Education Except Public Education";"Others";6
"..Human Health and Social Work Activities Except Public Health Activities";"Establishments with Non-Cash Productivity-Based Incentives";64
"..Human Health and Social Work Activities Except Public Health Activities";"Plaque/trophy/certificate of recognition";46
"..Human Health and Social Work Activities Except Public Health Activities";"Food";24
"..Human Health and Social Work Activities Except Public Health Activities";"Non-Food";26
"..Human Health and Social Work Activities Except Public Health Activities";"Free/subsidized travel/leisure";9
"..Human Health and Social Work Activities Except Public Health Activities";"Scholarship";13
"..Human Health and Social Work Activities Except Public Health Activities";"Others";6
"..Arts, Entertainment and Recreation";"Establishments with Non-Cash Productivity-Based Incentives";17
"..Arts, Entertainment and Recreation";"Plaque/trophy/certificate of recognition";10
"..Arts, Entertainment and Recreation";"Food";1
"..Arts, Entertainment and Recreation";"Non-Food";7
"..Arts, Entertainment and Recreation";"Free/subsidized travel/leisure";0
"..Arts, Entertainment and Recreation";"Scholarship";0
"..Arts, Entertainment and Recreation";"Others";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Establishments with Non-Cash Productivity-Based Incentives";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Plaque/trophy/certificate of recognition";9
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Food";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Non-Food";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Free/subsidized travel/leisure";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Scholarship";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";0
