"Total Population, Household Population, and Number of Households by Region and Province/Highly Urbanized City: Philippines, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0011A6DPHH0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"Geographic Location;""Parameter"";Total Population", Household Population, and Number of Households: Philippines,2020
"....Nueva Vizcaya;""Household Population"";496546",,,
"....Nueva Vizcaya;""Number of Households"";128181",,,
"....Quirino;""Total Population"";203828",,,
"....Quirino;""Household Population"";203530",,,
"....Quirino;""Number of Households"";49546",,,
"..REGION III (CENTRAL LUZON);""Total Population"";12422172",,,
"..REGION III (CENTRAL LUZON);""Household Population"";12387811",,,
"..REGION III (CENTRAL LUZON);""Number of Households"";3040488",,,
"....Aurora;""Total Population"";235750",,,
"....Aurora;""Household Population"";234991",,,
"....Aurora;""Number of Households"";57037",,,
"....Bataan;""Total Population"";853373",,,
"....Bataan;""Household Population"";849575",,,
"....Bataan;""Number of Households"";208941",,,
"....Bulacan;""Total Population"";3708890",,,
"....Bulacan;""Household Population"";3696937",,,
"....Bulacan;""Number of Households"";920608",,,
"....Nueva Ecija;""Total Population"";2310134",,,
"....Nueva Ecija;""Household Population"";2306751",,,
"....Nueva Ecija;""Number of Households"";572583",,,
"....Pampanga *;""Total Population"";2437709",,,
"....Pampanga *;""Household Population"";2433144",,,
"....Pampanga *;""Number of Households"";573920",,,
"....Tarlac;""Total Population"";1503456",,,
"....Tarlac;""Household Population"";1499064",,,
"....Tarlac;""Number of Households"";359561",,,
"....Zambales *;""Total Population"";649615",,,
"....Zambales *;""Household Population"";647545",,,
"....Zambales *;""Number of Households"";165045",,,
"....City of Angeles;""Total Population"";462928",,,
"....City of Angeles;""Household Population"";461165",,,
"....City of Angeles;""Number of Households"";116343",,,
"....City of Olongapo;""Total Population"";260317",,,
"....City of Olongapo;""Household Population"";258639",,,
"....City of Olongapo;""Number of Households"";66450",,,
"..REGION IV-A (CALABARZON);""Total Population"";16195042",,,
"..REGION IV-A (CALABARZON);""Household Population"";16139770",,,
"..REGION IV-A (CALABARZON);""Number of Households"";4062720",,,
"....Batangas;""Total Population"";2908494",,,
"....Batangas;""Household Population"";2902855",,,
"....Batangas;""Number of Households"";716192",,,
"....Cavite;""Total Population"";4344829",,,
"....Cavite;""Household Population"";4318663",,,
"....Cavite;""Number of Households"";1096120",,,
"....Laguna;""Total Population"";3382193",,,
"....Laguna;""Household Population"";3373136",,,
"....Laguna;""Number of Households"";915398",,,
"....Quezon *;""Total Population"";1950459",,,
"....Quezon *;""Household Population"";1945444",,,
"....Quezon *;""Number of Households"";483703",,,
"....Rizal;""Total Population"";3330143",,,
"....Rizal;""Household Population"";3321325",,,
"....Rizal;""Number of Households"";784402",,,
"....City of Lucena;""Total Population"";278924",,,
"....City of Lucena;""Household Population"";278347",,,
"....City of Lucena;""Number of Households"";66905",,,
"..MIMAROPA REGION;""Total Population"";3228558",,,
"..MIMAROPA REGION;""Household Population"";3212287",,,
"..MIMAROPA REGION;""Number of Households"";792875",,,
"....Marinduque;""Total Population"";239207",,,
"....Marinduque;""Household Population"";238830",,,
"....Marinduque;""Number of Households"";60557",,,
"....Occidental Mindoro;""Total Population"";525354",,,
"....Occidental Mindoro;""Household Population"";521444",,,
"....Occidental Mindoro;""Number of Households"";126633",,,
"....Oriental Mindoro;""Total Population"";908339",,,
"....Oriental Mindoro;""Household Population"";906661",,,
"....Oriental Mindoro;""Number of Households"";215076",,,
"....Palawan *;""Total Population"";939594",,,
"....Palawan *;""Household Population"";934669",,,
"....Palawan *;""Number of Households"";230836",,,
"....Romblon;""Total Population"";308985",,,
"....Romblon;""Household Population"";308072",,,
"....Romblon;""Number of Households"";77639",,,
"....City of Puerto Princesa;""Total Population"";307079",,,
"....City of Puerto Princesa;""Household Population"";302611",,,
"....City of Puerto Princesa;""Number of Households"";82134",,,
"..REGION V (BICOL REGION);""Total Population"";6082165",,,
"..REGION V (BICOL REGION);""Household Population"";6067290",,,
"..REGION V (BICOL REGION);""Number of Households"";1365044",,,
"....Albay;""Total Population"";1374768",,,
"....Albay;""Household Population"";1372550",,,
"....Albay;""Number of Households"";311448",,,
"....Camarines Norte;""Total Population"";629699",,,
"....Camarines Norte;""Household Population"";628807",,,
"....Camarines Norte;""Number of Households"";144155",,,
"....Camarines Sur;""Total Population"";2068244",,,
"....Camarines Sur;""Household Population"";2062277",,,
"....Camarines Sur;""Number of Households"";455276",,,
"....Catanduanes;""Total Population"";271879",,,
"....Catanduanes;""Household Population"";270775",,,
"....Catanduanes;""Number of Households"";60352",,,
"....Masbate;""Total Population"";908920",,,
"....Masbate;""Household Population"";906731",,,
"....Masbate;""Number of Households"";206351",,,
