"Percent Distribution of Annual Labor Cost in Establishments Employing 20 or More Workers by Industry Group and Major Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Labor Cost";"2013";"2019"
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost of Training";0.4;0.2
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost of Welfare Services";0.3;0.3
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Other Labor Costs";0.9;0.4
"..Transportation and Storage";"Total Amount";29880228;39623699
"..Transportation and Storage";"Percent";100;100
"..Transportation and Storage";"..Direct Wages and Salaries";81.7;81.5
"..Transportation and Storage";"..Remuneration for Time Not Worked";1.5;0.3
"..Transportation and Storage";"..Bonuses and Gratuities";7.6;8.8
"..Transportation and Storage";"..Payments in Kind";0.2;0.1
"..Transportation and Storage";"..Housing";1.1;0.3
"..Transportation and Storage";"..Social Security Expenditures";7.2;7.7
"..Transportation and Storage";"..Cost of Training";0.3;0.3
"..Transportation and Storage";"..Cost of Welfare Services";0.1;a
"..Transportation and Storage";"..Other Labor Costs";0.3;0.9
"..Accommodation and Food Service Activities";"Total Amount";37456347;54437772
"..Accommodation and Food Service Activities";"Percent";100;100
"..Accommodation and Food Service Activities";"..Direct Wages and Salaries";82.8;76.6
"..Accommodation and Food Service Activities";"..Remuneration for Time Not Worked";0.1;0.5
"..Accommodation and Food Service Activities";"..Bonuses and Gratuities";7.7;7.3
"..Accommodation and Food Service Activities";"..Payments in Kind";0.3;0.2
"..Accommodation and Food Service Activities";"..Housing";0.8;1.5
"..Accommodation and Food Service Activities";"..Social Security Expenditures";7.1;12.4
"..Accommodation and Food Service Activities";"..Cost of Training";0.3;0.5
"..Accommodation and Food Service Activities";"..Cost of Welfare Services";0.2;0.5
"..Accommodation and Food Service Activities";"..Other Labor Costs";0.7;0.4
"..Information and Communications";"Total Amount";75807510;68507999
"..Information and Communications";"Percent";100;100
"..Information and Communications";"..Direct Wages and Salaries";75.9;78.1
"..Information and Communications";"..Remuneration for Time Not Worked";2.0;1.1
"..Information and Communications";"..Bonuses and Gratuities";12.0;10.2
"..Information and Communications";"..Payments in Kind";0.1;0.2
"..Information and Communications";"..Housing";0.2;0.4
"..Information and Communications";"..Social Security Expenditures";8.6;9.2
"..Information and Communications";"..Cost of Training";0.6;0.4
"..Information and Communications";"..Cost of Welfare Services";0.5;0.1
"..Information and Communications";"..Other Labor Costs";0.2;0.3
"..Financial and Insurance Activities";"Total Amount";97936488;260847381
"..Financial and Insurance Activities";"Percent";100;100
"..Financial and Insurance Activities";"..Direct Wages and Salaries";73.2;67.3
"..Financial and Insurance Activities";"..Remuneration for Time Not Worked";0.5;0.2
"..Financial and Insurance Activities";"..Bonuses and Gratuities";16.6;8.6
"..Financial and Insurance Activities";"..Payments in Kind";0.3;0.1
"..Financial and Insurance Activities";"..Housing";0.1;0.9
"..Financial and Insurance Activities";"..Social Security Expenditures";6.6;22.4
"..Financial and Insurance Activities";"..Cost of Training";0.5;0.3
"..Financial and Insurance Activities";"..Cost of Welfare Services";0.1;a
"..Financial and Insurance Activities";"..Other Labor Costs";2.0;0.3
"..Real Estate Activities";"Total Amount";12401478;20788005
"..Real Estate Activities";"Percent";100;100
"..Real Estate Activities";"..Direct Wages and Salaries";76.9;80.1
"..Real Estate Activities";"..Remuneration for Time Not Worked";0.3;1.0
"..Real Estate Activities";"..Bonuses and Gratuities";13.2;10.4
"..Real Estate Activities";"..Payments in Kind";0.2;0.4
"..Real Estate Activities";"..Housing";0.6;a
"..Real Estate Activities";"..Social Security Expenditures";8.2;7.4
"..Real Estate Activities";"..Cost of Training";0.2;0.6
"..Real Estate Activities";"..Cost of Welfare Services";0.0;a
"..Real Estate Activities";"..Other Labor Costs";0.3;0.2
"..Professional, Scientific, and Technical Activities";"Total Amount";44623438;40752872
"..Professional, Scientific, and Technical Activities";"Percent";100;100
"..Professional, Scientific, and Technical Activities";"..Direct Wages and Salaries";80.6;78.2
"..Professional, Scientific, and Technical Activities";"..Remuneration for Time Not Worked";0.8;1.0
"..Professional, Scientific, and Technical Activities";"..Bonuses and Gratuities";10.2;11.9
"..Professional, Scientific, and Technical Activities";"..Payments in Kind";a;0.1
"..Professional, Scientific, and Technical Activities";"..Housing";0.2;0.6
"..Professional, Scientific, and Technical Activities";"..Social Security Expenditures";6.8;7.0
"..Professional, Scientific, and Technical Activities";"..Cost of Training";0.5;0.3
"..Professional, Scientific, and Technical Activities";"..Cost of Welfare Services";0.2;0.1
"..Professional, Scientific, and Technical Activities";"..Other Labor Costs";0.7;0.7
"..Administrative and Support Service Activities";"Total Amount";209195399;356374847
"..Administrative and Support Service Activities";"Percent";100;100
"..Administrative and Support Service Activities";"..Direct Wages and Salaries";83.0;80.5
"..Administrative and Support Service Activities";"..Remuneration for Time Not Worked";0.6;0.5
"..Administrative and Support Service Activities";"..Bonuses and Gratuities";7.6;10.0
"..Administrative and Support Service Activities";"..Payments in Kind";a;a
"..Administrative and Support Service Activities";"..Housing";0.1;0.2
"..Administrative and Support Service Activities";"..Social Security Expenditures";6.5;8.0
"..Administrative and Support Service Activities";"..Cost of Training";1.0;0.1
"..Administrative and Support Service Activities";"..Cost of Welfare Services";0.1;0.2
"..Administrative and Support Service Activities";"..Other Labor Costs";1.2;0.5
"..Education except Public Education";"Total Amount";76806567;82801744
"..Education except Public Education";"Percent";100;100
"..Education except Public Education";"..Direct Wages and Salaries";68.5;81.0
"..Education except Public Education";"..Remuneration for Time Not Worked";0.4;0.5
"..Education except Public Education";"..Bonuses and Gratuities";6.8;8.4
"..Education except Public Education";"..Payments in Kind";0.1;0.2
"..Education except Public Education";"..Housing";0.2;0.6
"..Education except Public Education";"..Social Security Expenditures";22.3;8.1
"..Education except Public Education";"..Cost of Training";1.1;0.7
"..Education except Public Education";"..Cost of Welfare Services";0.4;0.3
"..Education except Public Education";"..Other Labor Costs";0.2;0.2
"..Human Health and Social Work Activities";"Total Amount";22001632;46476310
"..Human Health and Social Work Activities";"Percent";100;100
"..Human Health and Social Work Activities";"..Direct Wages and Salaries";84.9;79.8
"..Human Health and Social Work Activities";"..Remuneration for Time Not Worked";0.2;0.3
"..Human Health and Social Work Activities";"..Bonuses and Gratuities";6.8;8.9
"..Human Health and Social Work Activities";"..Payments in Kind";0.2;0.5
"..Human Health and Social Work Activities";"..Housing";a;0.7
"..Human Health and Social Work Activities";"..Social Security Expenditures";7.3;8.4
"..Human Health and Social Work Activities";"..Cost of Training";0.4;0.5
"..Human Health and Social Work Activities";"..Cost of Welfare Services";0.2;0.1
"..Human Health and Social Work Activities";"..Other Labor Costs";0.1;0.8
"..Arts, Entertainment and Recreation";"Total Amount";8484846;23923513
"..Arts, Entertainment and Recreation";"Percent";100;100
