"Female Share in Occupational Employment (Based on 1992 PSOC)"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Female Share in Occupational Employment (%)";"TOTAL";..;..;..;..;..;..;39;39;38;38;38;39;39;39;39;39;39;39;39;40;40;..;..;..
"Female Share in Occupational Employment (%)";"..Officials of Government  and Special Interest- Organizations, Corporate Executives, Managers, Managing Proprietors and Supervisors";..;..;..;..;..;..;59;58;58;57;57;58;58;55;53;53;52;48;47;47;47;..;..;..
"Female Share in Occupational Employment (%)";"..Professionals";..;..;..;..;..;..;68;68;68;68;68;69;69;69;68;69;68;68;68;66;67;..;..;..
"Female Share in Occupational Employment (%)";"..Technicians and Associate  Professionals";..;..;..;..;..;..;49;50;51;50;52;51;51;51;52;52;51;48;50;52;51;..;..;..
"Female Share in Occupational Employment (%)";"..Clerks";..;..;..;..;..;..;67;66;66;65;65;64;63;64;62;62;62;62;62;62;62;..;..;..
"Female Share in Occupational Employment (%)";"..Service Workers and Shop and Market Sales Workers";..;..;..;..;..;..;53;53;51;50;50;51;51;51;51;51;51;51;51;51;51;..;..;..
"Female Share in Occupational Employment (%)";"..Farmers, Forestry Workers and Fishermen";..;..;..;..;..;..;17;17;16;14;14;15;15;14;14;15;15;16;16;17;17;..;..;..
"Female Share in Occupational Employment (%)";"..Trades and Related Workers";..;..;..;..;..;..;28;28;27;26;26;25;25;22;21;21;21;18;17;16;15;..;..;..
"Female Share in Occupational Employment (%)";"..Plant and Machine Operators  and Assemblers";..;..;..;..;..;..;8;8;8;9;9;9;9;10;9;10;11;12;13;13;14;..;..;..
"Female Share in Occupational Employment (%)";"..Laborers and Unskilled Workers";..;..;..;..;..;..;45;46;45;43;45;44;44;43;43;43;42;41;40;41;40;..;..;..
"Female Share in Occupational Employment (%)";"..Special Occupations";..;..;..;..;..;..;15;11;10;13;12;12;14;13;15;19;21;15;14;14;16;..;..;..
