"Number of Establishments Employing 20 or More Workers by Occupational Safety and Health (OSH) Policies/Programs Implemented and Major Industry Group, Philippines: 2019 and 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSHP/2501B3GO021.px/table/tableViewLayout1/?rxid=3049f06d-0444-47da-a5f4-70953d8d74ce"
"Policy and Program on Anti-Sexual Harassment";"..Education Except Public Education";3156;1810
"Policy and Program on Anti-Sexual Harassment";"..Human Health and Social Work Activities Except Public Health Activities";1130;920
"Policy and Program on Anti-Sexual Harassment";"..Arts, Entertainment and  Recreation";190;103
"Policy and Program on Anti-Sexual Harassment";"..Other Service Activities Except Activities of Membership Organization";311;166
"Work Accident Prevention Program";"Establishments with Implemented OSH Policies/Programs";27712;19172
"Work Accident Prevention Program";"..Agriculture, Forestry and Fishing";631;441
"Work Accident Prevention Program";"..Mining and Quarrying";120;114
"Work Accident Prevention Program";"..Manufacturing";5208;3870
"Work Accident Prevention Program";"..Electricity, Gas, Steam and Air Conditioning Supply";243;228
"Work Accident Prevention Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";217;120
"Work Accident Prevention Program";"..Construction";1070;781
"Work Accident Prevention Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6672;5236
"Work Accident Prevention Program";"..Transportation and Storage";937;703
"Work Accident Prevention Program";"..Accommodation and Food Service Activities";3707;2273
"Work Accident Prevention Program";"..Information and Communication";795;445
"Work Accident Prevention Program";"..Financial and Insurance Activities";1052;664
"Work Accident Prevention Program";"..Real Estate Activities";473;347
"Work Accident Prevention Program";"..Professional, Scientific and Technical Activities";663;323
"Work Accident Prevention Program";"..Administrative and Support Service Activities";2012;1335
"Work Accident Prevention Program";"..Education Except Public Education";2335;1229
"Work Accident Prevention Program";"..Human Health and Social Work Activities Except Public Health Activities";1172;844
"Work Accident Prevention Program";"..Arts, Entertainment and  Recreation";187;102
"Work Accident Prevention Program";"..Other Service Activities Except Activities of Membership Organization";218;119
"Industrial Hygiene Program";"Establishments with Implemented OSH Policies/Programs";20688;12131
"Industrial Hygiene Program";"..Agriculture, Forestry and Fishing";484;347
"Industrial Hygiene Program";"..Mining and Quarrying";98;62
"Industrial Hygiene Program";"..Manufacturing";4265;2618
"Industrial Hygiene Program";"..Electricity, Gas, Steam and Air Conditioning Supply";176;139
"Industrial Hygiene Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";122;90
"Industrial Hygiene Program";"..Construction";608;406
"Industrial Hygiene Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4919;3098
"Industrial Hygiene Program";"..Transportation and Storage";577;434
"Industrial Hygiene Program";"..Accommodation and Food Service Activities";3285;1667
"Industrial Hygiene Program";"..Information and Communication";554;224
"Industrial Hygiene Program";"..Financial and Insurance Activities";627;357
"Industrial Hygiene Program";"..Real Estate Activities";316;213
"Industrial Hygiene Program";"..Professional, Scientific and Technical Activities";367;187
"Industrial Hygiene Program";"..Administrative and Support Service Activities";1364;740
"Industrial Hygiene Program";"..Education Except Public Education";1654;826
"Industrial Hygiene Program";"..Human Health and Social Work Activities Except Public Health Activities";941;575
"Industrial Hygiene Program";"..Arts, Entertainment and  Recreation";178;66
"Industrial Hygiene Program";"..Other Service Activities Except Activities of Membership Organization";151;85
"Indoor Air Quality Program";"Establishments with Implemented OSH Policies/Programs";16080;9150
"Indoor Air Quality Program";"..Agriculture, Forestry and Fishing";295;200
"Indoor Air Quality Program";"..Mining and Quarrying";82;39
"Indoor Air Quality Program";"..Manufacturing";3244;1879
"Indoor Air Quality Program";"..Electricity, Gas, Steam and Air Conditioning Supply";169;121
"Indoor Air Quality Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";82;70
"Indoor Air Quality Program";"..Construction";521;283
"Indoor Air Quality Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3477;2297
"Indoor Air Quality Program";"..Transportation and Storage";389;302
"Indoor Air Quality Program";"..Accommodation and Food Service Activities";2519;1172
"Indoor Air Quality Program";"..Information and Communication";478;219
"Indoor Air Quality Program";"..Financial and Insurance Activities";648;343
"Indoor Air Quality Program";"..Real Estate Activities";237;201
"Indoor Air Quality Program";"..Professional, Scientific and Technical Activities";337;144
"Indoor Air Quality Program";"..Administrative and Support Service Activities";1132;613
"Indoor Air Quality Program";"..Education Except Public Education";1468;668
"Indoor Air Quality Program";"..Human Health and Social Work Activities Except Public Health Activities";714;507
"Indoor Air Quality Program";"..Arts, Entertainment and  Recreation";173;42
"Indoor Air Quality Program";"..Other Service Activities Except Activities of Membership Organization";115;52
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"Establishments with Implemented OSH Policies/Programs";13619;8045
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Agriculture, Forestry and Fishing";278;252
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Mining and Quarrying";83;42
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Manufacturing";3241;2027
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Electricity, Gas, Steam and Air Conditioning Supply";144;149
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Water Supply; Sewerage, Waste Management and Remediation Activities";147;88
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Construction";489;283
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2929;1863
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Transportation and Storage";267;211
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Accommodation and Food Service Activities";1901;1250
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Information and Communication";252;110
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Financial and Insurance Activities";522;173
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Real Estate Activities";180;122
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Professional, Scientific and Technical Activities";291;121
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Administrative and Support Service Activities";914;399
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Education Except Public Education";1108;386
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Human Health and Social Work Activities Except Public Health Activities";722;489
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Arts, Entertainment and  Recreation";58;27
"Chemical Safety Program such as provision of Globally Harmonized System (GHS) labels and safety data sheet";"..Other Service Activities Except Activities of Membership Organization";94;52
"Fire Prevention and Control Program";"Establishments with Implemented OSH Policies/Programs";32021;25159
"Fire Prevention and Control Program";"..Agriculture, Forestry and Fishing";677;654
"Fire Prevention and Control Program";"..Mining and Quarrying";132;128
"Fire Prevention and Control Program";"..Manufacturing";5544;4833
"Fire Prevention and Control Program";"..Electricity, Gas, Steam and Air Conditioning Supply";253;243
"Fire Prevention and Control Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";248;197
"Fire Prevention and Control Program";"..Construction";1021;772
"Fire Prevention and Control Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7621;6995
"Fire Prevention and Control Program";"..Transportation and Storage";977;757
"Fire Prevention and Control Program";"..Accommodation and Food Service Activities";4305;2755
"Fire Prevention and Control Program";"..Information and Communication";911;554
"Fire Prevention and Control Program";"..Financial and Insurance Activities";1439;1045
"Fire Prevention and Control Program";"..Real Estate Activities";546;430
"Fire Prevention and Control Program";"..Professional, Scientific and Technical Activities";642;382
"Fire Prevention and Control Program";"..Administrative and Support Service Activities";2253;1643
"Fire Prevention and Control Program";"..Education Except Public Education";3635;2343
"Fire Prevention and Control Program";"..Human Health and Social Work Activities Except Public Health Activities";1378;1136
"Fire Prevention and Control Program";"..Arts, Entertainment and  Recreation";221;147
"Fire Prevention and Control Program";"..Other Service Activities Except Activities of Membership Organization";217;145
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"Establishments with Implemented OSH Policies/Programs";26104;15149
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Agriculture, Forestry and Fishing";471;297
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Mining and Quarrying";108;86
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Manufacturing";4791;2988
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Electricity, Gas, Steam and Air Conditioning Supply";225;212
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Water Supply; Sewerage, Waste Management and Remediation Activities";207;99
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Construction";823;609
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5910;3915
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Transportation and Storage";727;475
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Accommodation and Food Service Activities";4053;1901
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Information and Communication";781;324
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Financial and Insurance Activities";1080;620
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Real Estate Activities";434;321
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Professional, Scientific and Technical Activities";593;238
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Administrative and Support Service Activities";1964;1066
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Education Except Public Education";2400;1046
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Human Health and Social Work Activities Except Public Health Activities";1181;780
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Arts, Entertainment and  Recreation";175;81
"Program on Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses";"..Other Service Activities Except Activities of Membership Organization";182;91
"Emergency Response Preparedness and Response Program";"Establishments with Implemented OSH Policies/Programs";28346;18522
"Emergency Response Preparedness and Response Program";"..Agriculture, Forestry and Fishing";453;401
"Emergency Response Preparedness and Response Program";"..Mining and Quarrying";105;110
"Emergency Response Preparedness and Response Program";"..Manufacturing";5015;3447
"Emergency Response Preparedness and Response Program";"..Electricity, Gas, Steam and Air Conditioning Supply";260;232
"Emergency Response Preparedness and Response Program";"..Water Supply; Sewerage, Waste Management and Remediation Activities";223;185
"Emergency Response Preparedness and Response Program";"..Construction";881;585
"Emergency Response Preparedness and Response Program";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6344;4562
"Emergency Response Preparedness and Response Program";"..Transportation and Storage";797;546
"Emergency Response Preparedness and Response Program";"..Accommodation and Food Service Activities";4057;2068
"Emergency Response Preparedness and Response Program";"..Information and Communication";774;434
"Emergency Response Preparedness and Response Program";"..Financial and Insurance Activities";1267;856
"Emergency Response Preparedness and Response Program";"..Real Estate Activities";389;378
"Emergency Response Preparedness and Response Program";"..Professional, Scientific and Technical Activities";578;307
"Emergency Response Preparedness and Response Program";"..Administrative and Support Service Activities";2137;1356
"Emergency Response Preparedness and Response Program";"..Education Except Public Education";3358;1893
"Emergency Response Preparedness and Response Program";"..Human Health and Social Work Activities Except Public Health Activities";1315;978
"Emergency Response Preparedness and Response Program";"..Arts, Entertainment and  Recreation";247;102
"Emergency Response Preparedness and Response Program";"..Other Service Activities Except Activities of Membership Organization";147;83
"Program on Ergonomics";"Establishments with Implemented OSH Policies/Programs";15126;7609
"Program on Ergonomics";"..Agriculture, Forestry and Fishing";250;152
"Program on Ergonomics";"..Mining and Quarrying";53;47
"Program on Ergonomics";"..Manufacturing";2680;1632
"Program on Ergonomics";"..Electricity, Gas, Steam and Air Conditioning Supply";171;134
"Program on Ergonomics";"..Water Supply; Sewerage, Waste Management and Remediation Activities";102;50
"Program on Ergonomics";"..Construction";406;297
"Program on Ergonomics";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3440;1865
"Program on Ergonomics";"..Transportation and Storage";436;213
"Program on Ergonomics";"..Accommodation and Food Service Activities";2036;964
"Program on Ergonomics";"..Information and Communication";374;179
"Program on Ergonomics";"..Financial and Insurance Activities";802;268
"Program on Ergonomics";"..Real Estate Activities";150;153
"Program on Ergonomics";"..Professional, Scientific and Technical Activities";487;155
"Program on Ergonomics";"..Administrative and Support Service Activities";1491;632
"Program on Ergonomics";"..Education Except Public Education";1299;412
"Program on Ergonomics";"..Human Health and Social Work Activities Except Public Health Activities";774;405
"Program on Ergonomics";"..Arts, Entertainment and  Recreation";101;27
"Program on Ergonomics";"..Other Service Activities Except Activities of Membership Organization";74;23
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"Establishments with Implemented OSH Policies/Programs";23110;12131
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Agriculture, Forestry and Fishing";359;276
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Mining and Quarrying";86;61
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Manufacturing";3778;2210
"Program on the Promotion of Healthy Lifestyle such as smoking cessation, regular physical exercise and good nutrition";"..Electricity, Gas, Steam and Air Conditioning Supply";223;207
