"Working Children by Sex and Major Industry Group"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E6/0563K3E6030.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sex";"Major Industry Group";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent Distribution of Working Children";"Girls";"..Others";..;..;..;..;..;..;..;..;..;4.5;4.4;4.8;4.4;5.8;5.4;4.8;5.3;6.5;7.3;7.4;6.8;7.0;7.8;7.5
"Total Working Children (000)";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;2356;2290;2354;2316;2153;2199;2095;2482;2273;2076;2170;1839;1509;1344;1389
"Total Working Children (000)";"TOTAL";"..Agriculture, Hunting and Forestry";..;..;..;..;..;..;..;..;..;1372;1301;1295;1288;1196;1211;1131;1275;1226;1095;1135;921;700;568;613
"Total Working Children (000)";"TOTAL";"..Fishing";..;..;..;..;..;..;..;..;..;149;144;151;140;121;136;130;131;125;107;117;88;79;65;50
"Total Working Children (000)";"TOTAL";"..Mining and Quarrying";..;..;..;..;..;..;..;..;..;11;14;16;15;15;17;16;19;19;17;15;13;8;10;10
"Total Working Children (000)";"TOTAL";"..Manufacturing";..;..;..;..;..;..;..;..;..;106;123;126;116;92;95;99;121;101;102;102;100;72;72;78
"Total Working Children (000)";"TOTAL";"..Construction";..;..;..;..;..;..;..;..;..;28;28;27;28;32;28;33;35;40;45;51;47;57;57;80
"Total Working Children (000)";"TOTAL";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;..;..;..;..;..;..;..;..;353;345;388;375;367;364;360;544;430;405;465;414;372;383;381
"Total Working Children (000)";"TOTAL";"..Other Service Activities/Activities of Households as Employers";..;..;..;..;..;..;..;..;..;227;228;244;247;219;238;226;229;193;163;146;132;110;85;82
"Total Working Children (000)";"TOTAL";"..Others";..;..;..;..;..;..;..;..;..;109;107;108;106;112;109;101;127;140;143;139;124;110;104;95
"Total Working Children (000)";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;1527;1466;1487;1462;1365;1383;1323;1567;1448;1336;1374;1163;978;907;926
"Total Working Children (000)";"Boys";"..Agriculture, Hunting and Forestry";..;..;..;..;..;..;..;..;..;1023;973;974;948;893;900;835;954;917;822;838;677;535;461;474
"Total Working Children (000)";"Boys";"..Fishing";..;..;..;..;..;..;..;..;..;137;130;138;127;113;121;116;117;110;97;99;78;67;61;47
"Total Working Children (000)";"Boys";"..Mining and Quarrying";..;..;..;..;..;..;..;..;..;10;11;12;13;13;15;15;16;17;16;15;11;8;8;9
"Total Working Children (000)";"Boys";"..Manufacturing";..;..;..;..;..;..;..;..;..;64;68;61;62;49;51;55;67;55;54;56;56;45;49;52
"Total Working Children (000)";"Boys";"..Construction";..;..;..;..;..;..;..;..;..;28;27;26;28;31;28;33;35;40;45;50;46;55;56;79
"Total Working Children (000)";"Boys";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;..;..;..;..;..;..;..;..;158;151;170;174;167;166;163;251;193;185;213;189;173;179;180
"Total Working Children (000)";"Boys";"..Other Service Activities/Activities of Households as Employers";..;..;..;..;..;..;..;..;..;37;35;39;42;33;38;42;48;32;30;24;29;21;23;25
"Total Working Children (000)";"Boys";"..Others";..;..;..;..;..;..;..;..;..;72;71;66;68;66;65;64;79;86;89;80;76;73;70;60
"Total Working Children (000)";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;829;824;866;854;788;816;772;914;825;740;796;676;531;436;464
"Total Working Children (000)";"Girls";"..Agriculture, Hunting and Forestry";..;..;..;..;..;..;..;..;..;349;328;320;341;304;311;296;322;309;273;297;244;165;107;140
"Total Working Children (000)";"Girls";"..Fishing";..;..;..;..;..;..;..;..;..;13;14;13;13;8;15;14;14;14;10;17;9;11;4;4
"Total Working Children (000)";"Girls";"..Mining and Quarrying";..;..;..;..;..;..;..;..;..;2;3;3;2;2;2;1;2;2;1;1;1;1;2;1
"Total Working Children (000)";"Girls";"..Manufacturing";..;..;..;..;..;..;..;..;..;42;55;64;54;43;44;43;54;46;48;46;45;27;24;26
"Total Working Children (000)";"Girls";"..Construction";..;..;..;..;..;..;..;..;..;....;1;1;....;1;1;1;....;....;....;....;1;2;....;1
"Total Working Children (000)";"Girls";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;..;..;..;..;..;..;..;..;195;194;217;201;200;199;197;293;237;220;252;225;199;204;201
"Total Working Children (000)";"Girls";"..Other Service Activities/Activities of Households as Employers";..;..;..;..;..;..;..;..;..;191;193;205;205;186;200;184;180;162;133;122;103;89;62;57
"Total Working Children (000)";"Girls";"..Others";..;..;..;..;..;..;..;..;..;37;36;42;38;46;44;37;48;54;54;59;46;37;34;35
